Date,Open,High,Low,Close,Volume
2013-01-02,360.07,363.86,358.63,361.99,2542268
2013-01-03,362.83,366.33,360.72,362.2,2318140
2013-01-04,365.03,371.11,364.2,369.35,2763552
2013-01-07,368.09,370.06,365.66,367.74,1655967
2013-01-08,368.14,368.52,362.58,367.02,1676740
2013-01-09,366.5,369.54,364.66,369.43,2025751
2013-01-10,371.79,372.87,367.12,371.11,1835780
2013-01-11,371.37,371.58,368.52,370.36,1285125
2013-01-14,368.87,371.47,361.54,361.99,2864106
2013-01-15,360.02,367.87,356.41,362.83,3927990
2013-01-16,361.56,362.53,357.19,357.95,2024991
2013-01-17,359.21,360.18,355.87,356.02,2212357
2013-01-18,355.54,356.74,351.02,352.61,3226898
2013-01-22,352.68,353.02,348.11,351.79,3792336
2013-01-23,368.36,374.87,368.26,371.12,5911865
2013-01-24,370.99,378.79,370.62,377.29,3383596
2013-01-25,375.76,379.62,375.5,377.21,2225811
2013-01-28,376.26,378.18,374.32,375.74,1627833
2013-01-29,373.75,378.85,373.64,377.22,1747734
2013-01-30,377.25,380.86,376.83,377.29,1732972
2013-01-31,375.63,379.19,375.5,378.22,1634556
2013-02-01,379.5,388.7,379.4,388.2,3746165
2013-02-04,384.23,385.62,379.51,379.89,3041242
2013-02-05,380.95,385.94,380.11,383.25,1870716
2013-02-06,379.91,386.87,379.63,385.47,2079687
2013-02-07,385.23,389.79,383.13,387.36,2840506
2013-02-08,390.46,393.73,390.17,393.08,3024853
2013-02-11,389.59,391.89,387.26,391.6,2167656
2013-02-12,391.27,394.34,390.07,390.74,1858945
2013-02-13,390.46,393.07,390.37,391.82,1198170
2013-02-14,390.25,394.76,389.27,394.3,1735219
2013-02-15,394.09,397.03,393.93,396.84,2729917
2013-02-19,398.39,403.9,398.04,403.83,2932924
2013-02-20,403.05,404.89,396.29,396.63,2765029
2013-02-21,399.4,403.13,396.01,398.16,3511036
2013-02-22,400.03,401.03,397.3,400.25,2054050
2013-02-25,401.55,404.61,395.64,395.78,2307008
