Date,Open,High,Low,Close,Volume
2013-01-02,23.09,23.16,22.82,23.06,1228718
2013-01-03,23.01,23.36,22.96,23.18,1754532
2013-01-04,23.26,23.66,23.01,23.6,1513428
2013-01-07,23.5,23.6,22.9,22.98,1997418
2013-01-08,22.89,23.23,22.8,23.04,2137828
2013-01-09,25.08,25.08,24.06,24.43,7141538
2013-01-10,24.58,24.58,24.3,24.55,2057808
2013-01-11,24.5,24.56,24.39,24.51,1030330
2013-01-14,24.58,24.72,24.5,24.71,1353276
2013-01-15,24.31,24.94,24.31,24.92,1737536
2013-01-16,24.76,25.0,24.72,24.76,1698794
2013-01-17,25.05,25.36,24.79,24.82,2806690
2013-01-18,24.84,25.05,24.76,25.04,1943568
2013-01-22,24.98,25.12,24.89,25.12,1091434
2013-01-23,25.04,25.08,24.78,24.78,1278536
2013-01-24,24.76,24.96,24.72,24.84,2246796
2013-01-25,24.9,24.99,24.78,24.94,1035766
2013-01-28,24.96,25.05,24.82,24.87,1679462
2013-01-29,24.8,24.83,24.64,24.74,1341844
2013-01-30,24.72,24.72,24.56,24.64,1197196
2013-01-31,24.64,24.68,24.44,24.63,838606
2013-02-01,24.71,24.74,24.5,24.62,961476
2013-02-04,24.52,24.71,24.38,24.4,964280
2013-02-05,24.54,24.82,24.44,24.8,1101698
2013-02-06,24.76,24.94,24.6,24.93,814802
2013-02-07,24.87,25.02,24.6,24.78,985686
2013-02-08,24.77,25.05,24.74,24.97,868196
2013-02-11,24.91,25.05,24.85,24.96,917958
2013-02-12,24.9,24.97,24.75,24.78,1177270
2013-02-13,24.75,24.9,24.5,24.9,1127310
2013-02-14,24.82,25.1,24.82,24.96,913392
2013-02-15,24.9,25.22,24.84,25.06,972142
2013-02-19,25.1,25.62,25.06,25.5,2713356
2013-02-20,25.56,25.56,25.14,25.15,1276624
2013-02-21,25.0,25.04,24.24,24.66,1321032
2013-02-22,24.86,25.1,24.62,24.84,1118784
2013-02-25,24.96,24.96,24.44,24.44,914772
2013-02-26,24.54,24.6,24.28,24.54,1125596
2013-02-27,24.52,24.66,24.29,24.6,1899972
2013-02-28,24.59,24.64,23.99,24.1,2576326
2013-03-01,24.0,24.15,23.74,24.02,2337856
2013-03-04,23.96,24.12,23.87,24.11,1395336
2013-03-05,24.2,24.42,24.15,24.18,1066004
2013-03-06,24.26,24.32,23.74,23.75,1570938
2013-03-07,23.7,23.77,23.5,23.64,2215878
2013-03-08,23.82,23.84,23.62,23.68,1134128
2013-03-11,23.68,23.94,23.62,23.82,782468
2013-03-12,23.84,24.08,23.69,24.06,1467614
2013-03-13,24.07,24.41,24.07,24.32,1619580
2013-03-14,24.4,24.55,24.24,24.34,753372
2013-03-15,24.26,24.3,23.68,23.96,2527512
2013-03-18,23.7,23.83,23.48,23.63,1268430
2013-03-19,23.63,23.78,23.44,23.7,1024018
2013-03-20,23.77,23.93,23.68,23.88,752296
2013-03-21,23.76,24.19,23.76,24.14,1489372
2013-03-22,24.18,24.28,23.94,24.22,1183908
2013-03-25,24.31,24.48,24.17,24.45,944068
2013-03-26,24.55,24.74,24.48,24.7,1146966
2013-03-27,24.54,24.74,24.32,24.72,1285000
2013-03-28,24.7,24.88,24.56,24.83,1399224
2013-04-01,24.88,24.95,24.42,24.57,1740960
2013-04-02,24.6,24.64,24.36,24.5,1632428
2013-04-03,22.9,23.38,22.08,22.26,10833060
2013-04-04,22.24,22.42,21.87,22.34,3159710
2013-04-05,22.05,22.25,22.02,22.22,2446732
2013-04-08,22.2,22.62,22.16,22.6,2112858
2013-04-09,23.05,23.2,22.76,22.78,2795330
2013-04-10,22.78,23.16,22.78,23.04,1607356
2013-04-11,23.05,23.2,23.03,23.18,1248516
2013-04-12,23.15,23.16,22.68,22.77,1147322
2013-04-15,22.62,22.67,22.26,22.27,1676558
2013-04-16,22.42,22.63,22.25,22.61,1449348
2013-04-17,22.47,22.52,22.14,22.5,1752582
2013-04-18,22.58,22.6,22.21,22.32,1869730
2013-04-19,22.4,22.52,22.15,22.38,1919264
2013-04-22,22.42,22.66,22.18,22.64,1395100
2013-04-23,22.76,22.98,22.64,22.96,1660892
2013-04-24,23.0,23.04,22.82,22.91,1611610
2013-04-25,22.93,23.07,22.81,22.87,836948
2013-04-26,22.82,22.96,22.75,22.96,1081310
2013-04-29,23.0,23.11,22.88,23.06,1200898
2013-04-30,22.64,23.48,22.64,23.2,1878212
2013-05-01,23.04,23.41,22.94,23.37,1957840
2013-05-02,23.4,23.58,23.39,23.44,1335180
2013-05-03,23.58,23.76,23.43,23.45,1595508
2013-05-06,23.45,23.69,23.38,23.54,1964876
2013-05-07,23.63,23.72,23.52,23.58,1672490
2013-05-08,23.6,23.68,23.52,23.59,939158
2013-05-09,23.6,23.66,23.44,23.48,713676
2013-05-10,23.48,23.6,23.34,23.39,986042
2013-05-13,23.4,23.4,23.12,23.28,1083978
2013-05-14,23.24,23.69,23.24,23.64,900662
2013-05-15,23.54,23.68,23.26,23.32,1926530
2013-05-16,23.26,23.83,23.22,23.38,2076422
2013-05-17,23.39,23.84,23.34,23.69,1534638
2013-05-20,23.61,23.75,23.57,23.64,1340084
2013-05-21,23.62,23.86,23.58,23.7,1678580
2013-05-22,23.68,23.88,23.39,23.49,1510590
2013-05-23,23.3,23.62,23.24,23.48,2289982
2013-05-24,23.41,23.56,23.24,23.55,1018148
2013-05-28,23.76,23.98,23.43,23.44,1065626
2013-05-29,23.42,24.06,23.39,24.0,2516750
2013-05-30,24.03,24.46,24.0,24.35,1855684
2013-05-31,24.22,24.36,23.94,23.98,1336694
2013-06-03,23.96,24.09,23.68,24.07,1652548
2013-06-04,24.04,24.16,23.7,23.81,1717224
2013-06-05,23.73,23.89,23.56,23.56,1518806
2013-06-06,23.48,23.58,23.38,23.57,1271076
2013-06-07,23.74,23.89,23.56,23.62,1509930
2013-06-10,23.66,24.0,23.56,23.84,1384160
2013-06-11,23.66,24.0,23.51,23.9,1906708
2013-06-12,23.96,24.0,23.8,23.85,1220180
2013-06-13,23.81,24.26,23.57,24.22,1844162
2013-06-14,24.26,24.38,24.08,24.08,1255428
2013-06-17,24.24,24.3,24.12,24.19,1066136
2013-06-18,24.26,24.47,24.18,24.45,886730
2013-06-19,24.34,24.38,23.96,23.98,1234300
2013-06-20,23.78,23.9,23.36,23.36,904592
2013-06-21,23.5,23.55,22.89,22.94,2998654
2013-06-24,22.82,23.03,22.42,22.9,1999764
2013-06-25,23.06,23.14,22.96,23.0,874718
2013-06-26,23.22,23.31,23.0,23.16,761328
2013-06-27,23.28,23.56,23.2,23.47,822878
2013-06-28,23.44,23.44,23.05,23.16,2361562
2013-07-01,23.25,23.56,23.21,23.36,1386302
2013-07-02,23.39,23.56,23.18,23.3,1198126
2013-07-03,23.26,23.38,23.1,23.23,826332
2013-07-05,23.38,23.52,23.31,23.5,912534
2013-07-08,23.62,23.92,23.61,23.77,1432402
2013-07-09,23.88,23.99,23.8,23.86,1445544
2013-07-10,23.86,23.98,23.77,23.87,1473262
2013-07-11,24.07,24.25,23.92,24.04,1285244
2013-07-12,24.03,24.23,23.94,24.01,977380
2013-07-15,24.0,24.18,23.96,24.0,867110
2013-07-16,24.0,24.03,23.86,23.9,932856
2013-07-17,24.0,24.05,23.89,23.97,1965006
2013-07-18,23.98,24.3,23.94,24.14,1309916
2013-07-19,24.1,24.25,24.06,24.17,1399958
2013-07-22,24.2,24.63,24.18,24.5,1592474
2013-07-23,24.62,24.88,24.42,24.7,1675664
2013-07-24,24.82,24.82,24.42,24.47,2658470
2013-07-25,24.4,24.6,24.29,24.34,2784094
2013-07-26,22.91,23.32,22.48,23.08,6855358
2013-07-29,23.02,23.12,22.7,22.94,2563936
2013-07-30,23.03,23.47,22.93,23.42,1755184
2013-07-31,23.52,23.74,23.14,23.16,2056458
2013-08-01,23.6,24.3,23.58,24.25,3561984
2013-08-02,24.28,24.48,24.05,24.12,1150344
2013-08-05,24.04,24.24,24.04,24.18,623186
2013-08-06,24.14,24.25,24.02,24.23,1025812
2013-08-07,24.22,24.22,23.78,23.85,1092300
2013-08-08,23.97,24.16,23.86,23.97,1177006
2013-08-09,23.94,24.08,23.83,23.86,544672
2013-08-12,23.8,23.99,23.72,23.81,637360
2013-08-13,24.01,24.06,23.65,23.82,1275670
2013-08-14,23.44,24.0,23.4,24.0,1978446
2013-08-15,23.73,23.88,23.7,23.86,1317166
2013-08-16,23.84,24.0,23.78,23.99,1159248
2013-08-19,23.96,24.08,23.86,23.96,1500628
2013-08-20,23.93,24.24,23.77,24.18,1199704
2013-08-21,24.1,24.3,24.0,24.19,1012726
2013-08-22,24.18,24.5,24.18,24.44,519896
2013-08-23,24.5,24.5,24.3,24.48,754016
2013-08-26,24.5,24.68,24.42,24.5,980176
2013-08-27,24.32,24.38,23.96,24.0,673536
2013-08-28,23.96,24.15,23.88,24.08,537978
2013-08-29,23.98,24.12,23.92,24.02,1012470
2013-08-30,24.05,24.05,23.78,23.82,880122
2013-09-03,24.03,24.04,23.68,23.92,3013860
2013-09-04,23.96,24.08,23.94,23.98,573724
2013-09-05,23.92,24.03,23.86,23.89,912162
2013-09-06,24.02,24.27,23.84,24.14,760714
2013-09-09,24.24,24.6,24.24,24.51,738096
2013-09-10,24.65,24.76,24.6,24.64,746370
2013-09-11,24.64,24.85,24.6,24.82,629770
2013-09-12,24.83,24.96,24.66,24.68,516090
2013-09-13,24.79,24.79,24.52,24.7,597360
2013-09-16,24.89,25.14,24.83,24.96,1064418
2013-09-17,24.96,25.09,24.86,24.96,947300
2013-09-18,24.88,25.12,24.79,25.1,935060
2013-09-19,25.16,25.21,24.95,24.96,698844
