Date,Open,High,Low,Close,Volume
2013-01-02,63.57,63.71,62.61,63.48,9072207
2013-01-03,63.78,63.93,63.08,63.3,6057180
2013-01-04,63.21,63.37,63.0,63.18,4780124
2013-01-07,62.6,63.0,62.38,62.84,5467113
2013-01-08,62.75,63.46,62.73,63.22,5433220
2013-01-09,63.51,63.63,63.01,63.17,4712397
2013-01-10,63.38,63.62,62.78,63.62,6714096
2013-01-11,63.47,63.76,63.34,63.7,4569202
2013-01-14,63.66,63.9,63.39,63.48,4532612
2013-01-15,63.5,64.01,63.45,63.95,5119318
2013-01-16,63.64,64.0,63.55,63.86,3915388
2013-01-17,64.19,65.29,64.04,65.05,7797153
2013-01-18,65.15,65.48,64.96,65.47,6543957
2013-01-22,65.39,65.98,65.22,65.75,6575349
2013-01-23,65.47,66.48,65.31,66.46,6795891
2013-01-24,66.56,67.69,66.56,67.35,8485401
2013-01-25,67.61,68.13,67.29,67.82,7496958
2013-01-28,68.15,68.15,67.26,67.58,6561406
2013-01-29,67.5,67.8,66.97,67.2,6505695
2013-01-30,67.22,67.58,67.01,67.24,5102578
2013-01-31,67.23,67.56,66.92,66.92,5615917
2013-02-01,67.62,67.74,67.2,67.3,4985562
2013-02-04,66.86,67.22,66.32,66.36,4741322
2013-02-05,66.63,66.93,66.31,66.39,7112041
2013-02-06,66.04,66.72,66.0,66.67,5187674
2013-02-07,66.65,66.7,65.83,66.31,5744286
2013-02-08,66.55,67.02,66.41,67.01,4459340
2013-02-11,66.87,66.98,66.22,66.38,3954037
2013-02-12,66.7,67.43,66.52,67.32,4933456
2013-02-13,67.52,67.67,67.18,67.45,3669187
2013-02-14,67.13,67.47,66.96,67.34,5439665
2013-02-15,67.52,67.99,66.8,67.52,8132842
2013-02-19,67.63,67.92,66.95,67.55,5456081
2013-02-20,67.44,67.6,66.37,66.44,5599582
2013-02-21,65.86,65.92,64.29,64.38,10622595
2013-02-22,64.8,65.74,64.5,65.58,7504437
2013-02-25,65.96,66.55,63.82,63.92,10274782
2013-02-26,65.56,68.0,65.49,67.56,22796668
2013-02-27,67.58,68.28,67.37,68.06,14181149
2013-02-28,67.91,69.19,67.86,68.5,8708733
2013-03-01,68.38,69.12,68.09,69.03,6243147
2013-03-04,68.95,70.3,68.93,70.29,8377924
2013-03-05,70.58,70.96,70.12,70.47,8327418
2013-03-06,70.47,70.96,70.28,70.48,5277526
2013-03-07,70.4,70.5,69.94,70.25,4998862
2013-03-08,70.59,71.45,70.39,71.37,6473326
2013-03-11,71.32,71.38,71.0,71.32,4902736
2013-03-12,70.9,71.14,70.46,70.75,4450525
2013-03-13,70.79,70.94,70.35,70.76,5827127
2013-03-14,70.87,70.96,70.18,70.24,6314880
2013-03-15,70.03,70.19,69.05,69.05,11277942
2013-03-18,68.45,69.91,68.45,69.35,6011229
2013-03-19,69.55,69.74,68.56,68.79,7657998
2013-03-20,69.39,69.55,68.84,68.88,6112207
2013-03-21,68.65,69.31,68.42,68.95,8046339
2013-03-22,69.23,69.57,68.8,69.56,5291731
2013-03-25,69.8,70.36,69.27,69.47,7027403
2013-03-26,69.66,70.4,69.55,70.05,4661146
2013-03-27,69.21,69.7,69.0,69.65,4156287
2013-03-28,69.44,69.96,69.33,69.78,6752513
2013-04-01,69.51,70.77,69.51,69.67,5359603
2013-04-02,69.9,71.05,69.83,71.02,7291540
2013-04-03,70.85,70.94,70.02,70.36,7798415
2013-04-04,70.36,70.8,70.08,70.69,6613666
2013-04-05,70.0,70.25,69.61,70.06,6987428
2013-04-08,69.95,71.25,69.78,71.22,6097280
2013-04-09,71.23,71.57,70.95,71.2,5996769
2013-04-10,71.4,71.78,70.97,71.69,5423690
2013-04-11,71.83,72.6,71.73,71.9,7627871
2013-04-12,72.41,73.66,72.15,73.62,10493907
2013-04-15,73.35,74.19,72.21,72.23,8369018
2013-04-16,72.55,72.8,72.03,72.46,8120552
