Date,Open,High,Low,Close,Volume
2013-01-02,69.74,70.1,68.1,68.44,2207361
2013-01-03,68.26,68.28,66.07,66.25,2831918
2013-01-04,66.83,67.74,66.45,67.47,1878533
2013-01-07,67.14,67.8,66.65,67.28,1416281
2013-01-08,67.25,67.78,65.99,66.01,1989162
2013-01-09,66.21,67.09,66.2,66.91,1646018
2013-01-10,67.34,69.48,67.25,69.24,2058486
2013-01-11,69.67,69.77,68.75,69.56,1865652
2013-01-14,69.6,70.36,69.4,70.24,1266946
2013-01-15,69.87,71.75,69.78,71.58,1990388
2013-01-16,71.4,71.57,70.62,70.76,1429434
2013-01-17,70.76,71.7,70.62,71.51,1320585
2013-01-18,71.66,71.74,71.2,71.4,2084218
2013-01-22,71.26,71.99,70.7,71.93,2264110
2013-01-23,71.93,72.58,71.52,72.58,1192334
2013-01-24,72.61,73.95,72.48,73.86,1871808
2013-01-25,74.0,74.97,73.52,74.93,1688530
2013-01-28,75.13,75.26,74.57,74.76,1577334
2013-01-29,74.54,74.82,74.01,74.52,1316747
2013-01-30,74.29,74.9,74.03,74.37,1872441
2013-01-31,74.1,74.6,73.33,74.36,2130972
2013-02-01,74.77,75.39,73.98,75.35,2642246
2013-02-04,75.45,79.96,75.02,78.86,5674447
2013-02-05,79.25,80.7,78.93,80.63,2454456
2013-02-06,80.53,81.32,80.11,81.24,1814627
2013-02-07,81.2,81.62,80.47,81.52,1873321
2013-02-08,81.87,81.87,81.19,81.35,2647293
2013-02-11,81.16,81.2,79.96,80.18,3285021
2013-02-12,80.4,80.63,78.82,79.2,2500221
2013-02-13,79.48,79.48,77.7,78.09,2256022
2013-02-14,78.08,78.17,77.73,77.83,1744374
2013-02-15,77.87,78.82,77.53,77.99,2340734
2013-02-19,69.97,73.34,69.78,73.01,14911972
2013-02-20,73.25,73.42,72.26,72.6,3045736
2013-02-21,72.74,73.72,71.82,72.65,2667482
2013-02-22,72.64,72.94,70.27,70.61,3795389
2013-02-25,70.78,71.21,69.66,69.66,3033362
2013-02-26,69.71,69.81,67.82,68.96,2808282
2013-02-27,68.91,69.36,68.09,69.21,2069655
2013-02-28,69.14,69.5,68.01,68.26,2935329
2013-03-01,68.05,68.26,67.52,67.88,2884714
2013-03-04,67.55,67.78,66.65,66.85,2970917
2013-03-05,66.95,67.78,66.88,67.44,2007669
2013-03-06,67.46,67.77,66.68,67.0,2934265
2013-03-07,67.09,67.7,67.01,67.39,1929321
2013-03-08,67.47,68.6,67.23,68.03,1873107
