Date,Open,High,Low,Close,Volume
2013-01-02,62.34,62.5,61.65,61.98,3822816
2013-01-03,62.06,63.21,61.88,62.23,3062658
2013-01-04,62.39,62.75,62.31,62.4,1830952
2013-01-07,62.17,62.47,61.92,62.26,2876381
2013-01-08,60.94,62.23,60.83,62.22,3123222
2013-01-09,62.51,62.88,61.83,61.87,2930376
2013-01-10,62.27,62.85,62.17,62.76,2524177
2013-01-11,63.05,63.05,62.45,62.56,1384897
2013-01-14,62.57,62.98,62.54,62.88,1405721
2013-01-15,62.63,62.82,62.42,62.62,1791305
2013-01-16,62.41,62.5,62.1,62.29,1125099
2013-01-17,62.69,63.44,62.37,63.3,1856542
2013-01-18,63.52,63.72,62.74,63.72,2537115
2013-01-22,63.54,63.92,63.05,63.65,2228064
2013-01-23,63.51,63.99,63.46,63.93,1447112
2013-01-24,63.95,64.98,63.88,64.83,2026922
2013-01-25,64.74,65.22,64.62,64.99,2118573
2013-01-28,64.9,65.6,64.76,65.44,2792998
2013-01-29,64.06,64.45,63.11,64.14,4302842
2013-01-30,63.49,64.27,63.25,63.56,2754746
2013-01-31,63.48,63.51,62.83,62.83,3727729
2013-02-01,63.31,63.36,62.62,62.9,2829420
2013-02-04,62.5,62.82,61.76,61.79,2939585
2013-02-05,62.28,62.99,62.06,62.84,2605359
2013-02-06,62.57,62.73,62.09,62.27,2379521
2013-02-07,62.32,62.43,61.62,62.07,1844321
2013-02-08,61.9,62.73,61.79,62.72,1560108
2013-02-11,62.7,62.93,62.48,62.8,1185514
2013-02-12,62.87,63.12,62.66,63.02,1053150
2013-02-13,63.21,63.56,62.91,63.55,1363042
2013-02-14,63.55,63.87,63.4,63.7,1488484
2013-02-15,63.87,64.13,63.24,63.25,2256622
2013-02-19,64.64,64.65,63.99,64.19,2914342
2013-02-20,64.02,64.2,63.12,63.12,1524301
2013-02-21,62.81,62.95,61.49,61.62,2370680
2013-02-22,61.88,62.24,61.31,61.48,2704199
2013-02-25,61.77,61.89,59.75,59.77,2581036
2013-02-26,59.99,60.33,59.71,60.08,2100551
2013-02-27,60.12,61.65,60.06,61.45,2027007
2013-02-28,61.53,62.01,61.32,61.5,2455285
2013-03-01,61.16,62.02,60.45,61.6,1840708
2013-03-04,61.34,61.67,60.65,61.54,2159982
2013-03-05,62.0,62.65,61.9,62.3,1544918
2013-03-06,62.56,62.78,62.06,62.61,2380643
2013-03-07,62.84,62.85,62.02,62.17,1665324
2013-03-08,62.58,62.7,62.03,62.44,1559319
2013-03-11,62.31,62.68,62.09,62.49,1219328
2013-03-12,62.41,62.5,61.2,61.26,2365961
2013-03-13,61.2,61.63,61.04,61.32,1667008
2013-03-14,61.46,61.67,60.84,61.25,2409260
2013-03-15,61.37,62.23,61.14,62.23,6753497
2013-03-18,61.56,62.52,61.51,62.32,2145778
2013-03-19,62.44,62.56,61.51,62.49,2692024
2013-03-20,62.73,63.41,62.57,63.16,2508344
2013-03-21,62.75,63.46,62.45,62.54,2727878
2013-03-22,62.71,62.79,62.14,62.26,2036819
2013-03-25,62.42,62.48,61.04,61.44,3653462
2013-03-26,61.35,61.44,60.86,61.01,3338526
2013-03-27,60.67,60.87,60.18,60.62,3482818
2013-03-28,60.65,61.06,60.37,60.94,1929287
2013-04-01,60.83,61.07,60.4,60.88,2276503
2013-04-02,61.19,61.45,60.74,60.86,1593746
2013-04-03,61.0,61.54,60.77,61.1,2562774
2013-04-04,61.26,62.08,61.09,61.72,2355961
2013-04-05,60.86,61.76,60.83,61.57,2841781
2013-04-08,61.41,61.95,61.25,61.9,2124692
2013-04-09,62.06,62.46,61.62,62.14,1347616
2013-04-10,62.15,62.68,61.87,62.58,1609296
2013-04-11,62.69,63.64,62.39,63.55,2161958
2013-04-12,63.28,63.66,63.09,63.44,2843715
2013-04-15,63.01,63.08,61.5,61.53,3007206
2013-04-16,62.02,62.82,61.6,62.76,1965022
2013-04-17,62.38,62.45,60.64,61.04,3753488
2013-04-18,60.98,61.19,60.17,60.5,2009225
2013-04-19,60.66,60.82,60.02,60.5,2688260
2013-04-22,60.75,60.97,60.13,60.78,2526860
2013-04-23,61.54,62.99,61.19,62.76,3100375
2013-04-24,62.96,64.48,62.88,64.2,3339916
2013-04-25,64.25,65.94,64.25,65.18,5199911
2013-04-26,65.18,65.24,64.21,64.38,2552586
2013-04-29,64.68,64.95,64.41,64.83,1385450
2013-04-30,64.64,64.89,63.94,64.56,1856652
2013-05-01,64.27,64.5,63.84,63.87,1913944
2013-05-02,64.15,64.67,64.0,64.52,2751877
2013-05-03,65.15,65.96,65.15,65.71,2666455
2013-05-06,65.57,65.78,65.24,65.75,2029331
2013-05-07,65.88,66.83,65.82,66.75,2190513
2013-05-08,66.7,67.82,66.47,67.74,2413795
2013-05-09,67.56,68.82,67.18,68.15,3046878
2013-05-10,68.29,68.47,67.63,68.3,2078837
2013-05-13,68.2,68.49,67.88,68.29,1203314
2013-05-14,68.4,69.61,68.29,69.38,2585865
2013-05-15,69.13,70.2,69.08,70.18,2016857
2013-05-16,69.91,70.15,69.6,69.91,1843598
2013-05-17,70.14,70.85,70.08,70.78,3013615
2013-05-20,70.64,71.49,70.54,71.0,1496723
