Date,Open,High,Low,Close,Volume
2013-01-02,26.66,26.98,26.52,26.96,4927623
2013-01-03,26.96,27.16,26.77,27.01,3910882
2013-01-04,27.0,27.6,26.86,27.56,5369072
2013-01-07,27.39,27.59,27.25,27.48,4703667
2013-01-08,27.42,27.43,27.08,27.23,2108322
2013-01-09,27.34,27.5,27.3,27.37,3017871
2013-01-10,27.52,27.62,27.32,27.56,2627100
2013-01-11,27.55,27.83,27.49,27.74,3362812
2013-01-14,27.5,27.55,27.05,27.34,4613849
2013-01-15,27.16,27.53,27.07,27.53,1741375
2013-01-16,27.38,27.5,27.19,27.23,2395196
2013-01-17,27.47,27.63,27.28,27.48,2629475
2013-01-18,27.49,27.68,27.27,27.66,3347838
2013-01-22,27.56,27.89,27.55,27.89,3367376
2013-01-23,27.83,27.83,27.48,27.59,2791961
2013-01-24,27.63,28.08,27.55,27.77,3491430
2013-01-25,27.96,28.26,27.76,28.2,3229062
2013-01-28,28.22,28.25,27.76,27.99,2571425
2013-01-29,27.94,28.39,27.87,28.33,4397561
2013-01-30,28.24,28.49,28.2,28.28,3920516
2013-01-31,27.0,28.14,26.74,27.25,10624919
2013-02-01,27.18,28.01,27.0,27.77,7145359
2013-02-04,27.55,27.56,26.95,27.28,5283543
2013-02-05,27.28,27.63,27.14,27.59,5683629
2013-02-06,27.37,27.54,27.21,27.5,4112956
2013-02-07,27.56,27.61,27.02,27.34,2650303
2013-02-08,27.44,27.54,27.15,27.31,3318753
2013-02-11,27.36,27.59,27.29,27.43,2707768
2013-02-12,27.65,27.86,27.47,27.71,4691082
2013-02-13,27.73,27.85,27.47,27.63,2120034
2013-02-14,27.45,27.81,27.34,27.78,2606689
2013-02-15,27.76,27.79,27.13,27.36,5588816
2013-02-19,27.27,27.69,27.09,27.66,3643153
2013-02-20,27.57,27.67,27.14,27.16,5226048
2013-02-21,27.05,27.11,26.23,26.3,5723753
2013-02-22,26.48,26.61,26.35,26.59,5053727
2013-02-25,26.77,26.95,25.92,25.93,4947667
2013-02-26,26.09,26.15,25.46,25.64,8729386
2013-02-27,25.63,26.56,25.55,26.44,5617561
2013-02-28,26.37,26.92,26.31,26.79,5530162
2013-03-01,26.93,26.99,26.24,26.83,7572157
2013-03-04,26.79,27.55,26.7,27.46,7209816
2013-03-05,27.7,27.94,27.6,27.7,3958678
2013-03-06,27.93,28.04,27.72,27.78,3153158
2013-03-07,27.85,28.04,27.8,27.94,3134881
2013-03-08,28.13,28.19,27.79,28.11,3040292
2013-03-11,28.08,28.26,27.85,28.25,2715845
2013-03-12,28.25,28.25,27.98,28.12,2958994
2013-03-13,27.71,28.49,27.64,28.45,3274645
2013-03-14,28.52,29.23,28.43,28.83,4620923
2013-03-15,28.9,29.2,28.62,29.13,5255918
2013-03-18,28.77,29.14,28.5,28.91,2932815
2013-03-19,29.02,29.13,28.19,28.35,5178375
2013-03-20,28.6,28.76,28.44,28.6,3234655
2013-03-21,28.44,28.62,28.2,28.27,2254167
2013-03-22,28.42,28.43,28.22,28.39,1918577
2013-03-25,28.57,28.64,28.15,28.32,2521800
2013-03-26,28.44,28.75,28.3,28.74,2224859
2013-03-27,28.5,28.76,28.36,28.65,2623950
2013-03-28,28.69,29.0,28.6,28.96,2769992
2013-04-01,28.95,29.1,28.3,28.37,2739964
2013-04-02,28.49,28.84,28.42,28.83,2926199
2013-04-03,28.91,28.91,28.02,28.14,4465629
2013-04-04,28.27,28.76,28.15,28.69,3756915
2013-04-05,28.19,28.42,27.86,28.37,4142977
2013-04-08,28.37,28.76,28.16,28.76,1965702
2013-04-09,28.91,29.04,28.69,28.88,3009666
2013-04-10,29.2,29.94,29.17,29.88,4545166
2013-04-11,29.95,30.25,29.73,30.18,4675502
2013-04-12,30.03,30.22,29.96,30.13,3255028
2013-04-15,29.95,30.08,28.92,28.95,4813002
2013-04-16,29.25,29.51,29.12,29.51,2387882
2013-04-17,29.16,29.35,28.46,28.68,4627385
2013-04-18,28.73,28.76,28.19,28.32,2589925
2013-04-19,28.48,28.91,28.39,28.89,2367935
2013-04-22,28.98,29.26,28.61,29.2,2123115
2013-04-23,29.71,30.08,29.32,29.69,4388820
2013-04-24,29.77,29.86,29.53,29.68,2232847
2013-04-25,29.8,29.85,29.57,29.7,2921075
2013-04-26,29.67,29.73,29.28,29.55,3786780
2013-04-29,29.73,29.83,29.49,29.71,3789631
2013-04-30,31.38,31.97,30.54,31.74,11840679
2013-05-01,31.75,32.22,31.4,31.44,6668825
2013-05-02,31.73,31.85,31.51,31.8,4731230
2013-05-03,32.23,32.77,32.12,32.46,4426857
2013-05-06,32.48,32.74,32.44,32.58,3715181
2013-05-07,32.7,32.83,32.46,32.61,3676470
2013-05-08,32.55,33.03,32.31,33.0,3096621
2013-05-09,33.04,33.2,32.76,32.97,2719505
2013-05-10,33.22,34.16,33.01,34.11,10048696
2013-05-13,33.89,34.17,33.72,34.04,3961100
2013-05-14,34.04,34.5,34.0,34.48,3392520
2013-05-15,34.03,34.63,33.86,34.6,4578546
2013-05-16,34.62,34.88,34.24,34.3,4118127
2013-05-17,34.51,34.65,34.31,34.59,4665878
2013-05-20,34.55,34.95,34.5,34.6,2651408
2013-05-21,34.61,34.8,34.38,34.44,2810086
2013-05-22,34.48,35.02,33.88,34.04,3215122
2013-05-23,33.56,33.65,33.14,33.54,5157889
2013-05-24,33.31,33.64,33.13,33.56,2477471
2013-05-28,34.24,34.66,34.1,34.49,3978332
2013-05-29,34.13,34.46,33.92,34.17,3910975
2013-05-30,34.19,34.82,34.05,34.64,3097687
2013-05-31,34.46,34.54,33.74,33.74,4415973
2013-06-03,33.75,33.8,32.98,33.46,4006552
2013-06-04,33.52,34.14,33.18,33.3,5063568
2013-06-05,33.22,33.29,32.34,32.58,4283491
2013-06-06,32.57,33.14,32.37,33.14,4914422
2013-06-07,33.38,34.49,33.3,34.44,5681253
2013-06-10,34.59,34.6,33.9,34.26,3747468
2013-06-11,33.78,34.18,33.37,33.62,3020711
2013-06-12,33.96,33.99,33.07,33.16,2271749
2013-06-13,33.11,34.06,33.0,34.01,2865913
2013-06-14,33.88,34.08,33.39,33.52,3158771
2013-06-17,33.95,34.51,33.89,34.35,2661250
2013-06-18,34.45,34.66,34.31,34.54,2182647
2013-06-19,34.58,34.63,34.01,34.01,3524021
2013-06-20,33.56,33.58,32.68,32.8,3866735
2013-06-21,33.15,33.44,32.59,32.81,6144586
2013-06-24,32.25,32.25,31.09,31.3,5970312
2013-06-25,31.79,31.9,31.28,31.5,6816144
2013-06-26,31.92,32.12,31.66,31.92,4633527
2013-06-27,32.26,32.56,32.09,32.51,3415437
2013-06-28,32.39,32.55,31.62,31.8,5866059
2013-07-01,32.14,32.27,31.74,31.75,3394982
2013-07-02,31.72,31.96,31.22,31.49,3434152
2013-07-03,31.28,31.68,31.18,31.45,1467363
2013-07-05,31.85,31.94,31.42,31.92,1646730
2013-07-08,32.11,32.16,31.82,31.93,2219952
2013-07-09,32.25,32.34,31.62,32.05,3090797
2013-07-10,32.04,32.05,31.31,31.34,5773820
2013-07-11,31.88,32.19,31.86,32.07,4335146
2013-07-12,32.11,32.26,31.53,31.75,6226589
2013-07-15,31.87,32.2,31.59,32.13,3794276
2013-07-16,32.21,32.25,31.62,31.94,3488537
2013-07-17,32.09,32.15,31.75,31.82,2546444
2013-07-18,32.01,32.73,31.92,32.52,4267146
2013-07-19,32.32,32.59,31.92,32.49,4356131
2013-07-22,32.5,33.14,32.38,33.0,3173712
2013-07-23,33.08,33.24,32.88,32.98,3058144
2013-07-24,32.98,33.08,32.5,32.69,3739578
2013-07-25,32.54,32.94,32.44,32.8,2359703
2013-07-26,32.65,32.9,32.41,32.85,2943100
2013-07-29,32.6,32.76,32.23,32.23,2600327
2013-07-30,32.46,32.6,32.22,32.24,4145428
2013-07-31,32.23,32.72,32.0,32.19,6707829
2013-08-01,32.57,33.13,32.46,33.04,5657240
2013-08-02,33.04,33.2,32.81,33.1,3199967
2013-08-05,33.03,33.25,32.87,33.12,1979394
2013-08-06,33.15,33.26,32.8,33.01,2808241
2013-08-07,32.79,32.81,32.4,32.67,2633983
2013-08-08,32.89,33.0,32.4,32.6,2150315
2013-08-09,32.48,32.75,32.26,32.57,2615515
2013-08-12,32.26,32.53,32.08,32.3,3249649
2013-08-13,32.4,33.32,32.4,33.12,4116297
2013-08-14,33.11,33.36,32.86,32.88,2087247
2013-08-15,32.42,32.51,31.96,32.11,2715806
2013-08-16,32.06,32.43,31.99,32.04,3634575
2013-08-19,31.7,31.9,31.2,31.2,2760811
2013-08-20,31.2,31.58,30.93,31.46,3570183
2013-08-21,31.29,31.48,30.79,31.09,2756367
2013-08-22,31.16,31.73,31.16,31.6,1760795
2013-08-23,31.64,31.76,31.45,31.57,1517093
2013-08-26,31.58,31.72,31.21,31.23,2260640
2013-08-27,30.73,30.8,30.24,30.32,3433219
2013-08-28,30.24,30.71,30.14,30.49,3253156
2013-08-29,30.37,31.11,30.3,30.86,2322382
2013-08-30,30.92,30.96,30.23,30.36,2417257
2013-09-03,30.92,31.18,30.32,30.59,2517921
2013-09-04,30.58,31.23,30.5,30.99,2958078
2013-09-05,31.11,31.34,30.72,30.76,2862480
2013-09-06,30.85,31.02,30.09,30.45,4876257
2013-09-09,30.6,30.98,30.6,30.83,2927943
2013-09-10,31.2,31.67,31.2,31.37,2855917
2013-09-11,31.33,31.53,31.1,31.23,2149742
2013-09-12,31.24,31.46,30.97,31.05,3397946
2013-09-13,31.03,31.54,30.77,31.06,2390989
2013-09-16,31.67,31.83,31.35,31.61,4131365
2013-09-17,31.65,31.83,31.49,31.67,1713642
2013-09-18,31.66,32.72,31.49,32.55,4833355
2013-09-19,32.81,33.02,32.56,32.63,4666708
2013-09-20,32.7,32.89,32.51,32.63,5102211
2013-09-23,32.4,32.59,32.16,32.48,3585147
2013-09-24,32.47,32.54,32.17,32.2,2283980
2013-09-25,32.2,32.36,32.0,32.06,1548321
2013-09-26,32.02,32.24,31.92,32.23,2188242
2013-09-27,31.98,32.14,31.78,32.09,2493160
2013-09-30,31.71,32.0,31.59,31.9,2806414
2013-10-01,32.01,32.32,31.76,32.22,3407623
2013-10-02,31.92,32.36,31.8,32.36,3136758
2013-10-03,32.29,32.35,31.63,32.04,2973517
2013-10-04,32.04,32.46,32.01,32.38,1506478
2013-10-07,32.07,32.3,31.92,31.92,1931369
2013-10-08,32.02,32.28,31.5,31.5,3565225
2013-10-09,31.7,32.36,31.54,32.16,4228065
2013-10-10,32.93,33.93,32.93,33.92,6236361
2013-10-11,33.9,34.64,33.78,34.35,3749579
2013-10-14,34.01,34.73,33.93,34.65,3070171
2013-10-15,34.54,34.63,32.08,32.42,22098936
2013-10-16,32.18,32.32,31.5,32.07,15402967
2013-10-17,31.87,32.78,31.87,32.46,9351055
2013-10-18,32.64,32.93,32.46,32.77,5755386
2013-10-21,32.9,32.92,32.5,32.53,3073192
2013-10-22,32.75,32.83,32.25,32.5,4121664
2013-10-23,32.42,32.53,32.11,32.46,3765623
2013-10-24,32.59,32.69,32.4,32.65,3464462
2013-10-25,32.73,32.93,32.62,32.87,2567207
2013-10-28,32.79,32.86,32.42,32.75,2659199
2013-10-29,32.8,33.37,32.78,33.36,4672258
2013-10-30,33.47,33.52,32.83,32.91,3296144
2013-10-31,33.65,34.25,33.32,33.75,8799294
2013-11-01,33.91,34.16,33.68,33.84,4096174
2013-11-04,34.03,34.03,33.33,33.36,4525836
2013-11-05,33.25,33.34,32.73,32.91,4654025
2013-11-06,33.05,33.38,32.75,33.06,3292965
2013-11-07,33.18,33.32,32.34,32.37,4543445
2013-11-08,32.25,33.32,32.25,33.32,4124471
2013-11-11,33.66,33.89,33.33,33.57,2544698
2013-11-12,33.56,33.68,33.06,33.21,3528708
2013-11-13,32.94,33.41,32.73,33.28,4955231
2013-11-14,34.18,34.32,33.77,34.07,4619063
2013-11-15,33.77,34.07,33.63,33.84,2881759
2013-11-18,33.85,34.05,33.61,33.71,2625178
2013-11-19,33.73,33.84,33.47,33.6,3909709
2013-11-20,33.75,33.94,33.38,33.48,3539926
2013-11-21,33.55,33.86,33.36,33.78,3163923
2013-11-22,33.84,34.05,33.55,33.9,3271172
2013-11-25,34.02,34.39,33.8,34.26,2982201
2013-11-26,34.37,34.65,34.21,34.52,4263716
2013-11-27,34.59,35.23,34.49,35.03,4264758
2013-11-29,35.1,35.26,34.8,34.85,1569677
2013-12-02,34.86,35.48,34.81,35.14,3833423
2013-12-03,34.91,35.02,34.73,34.99,3861686
2013-12-04,34.73,35.21,34.54,34.92,4479294
2013-12-05,34.63,34.85,34.34,34.39,4365925
2013-12-06,34.94,35.7,34.94,35.46,4503326
2013-12-09,35.54,35.86,35.34,35.67,2683298
2013-12-10,35.51,35.66,35.23,35.38,2435020
2013-12-11,35.48,35.5,34.57,34.64,3780860
2013-12-12,34.7,34.77,34.28,34.39,3086874
2013-12-13,34.6,34.83,34.39,34.58,2947073
2013-12-16,34.82,35.24,34.77,35.07,2792768
2013-12-17,35.07,35.22,34.46,34.47,4241502
2013-12-18,34.55,35.37,33.94,35.36,4844960
2013-12-19,35.34,35.54,35.09,35.25,2539154
2013-12-20,35.28,35.89,35.28,35.83,3999718
2013-12-23,36.0,36.32,35.88,36.25,2540310
2013-12-24,36.25,36.51,36.21,36.43,1197264
2013-12-26,36.44,36.73,36.4,36.55,1712790
2013-12-27,36.52,36.7,36.36,36.49,1324784
2013-12-30,36.44,36.79,36.3,36.35,1477863
2013-12-31,36.4,36.69,36.33,36.4,1593860
2014-01-02,36.26,36.4,35.68,35.87,1866179
2014-01-03,36.02,36.28,35.98,36.12,2036579
2014-01-06,36.59,36.73,36.25,36.37,3758472
2014-01-07,36.7,36.88,36.56,36.69,2293786
2014-01-08,36.73,36.73,36.38,36.53,2391922
2014-01-09,36.71,36.72,35.96,36.04,3090378
2014-01-10,36.28,36.38,35.65,35.85,3813375
2014-01-13,35.79,35.98,34.96,35.05,3299585
2014-01-14,35.22,35.41,34.84,35.22,3651674
2014-01-15,35.25,35.49,35.04,35.46,3024282
2014-01-16,35.46,35.53,35.16,35.2,2395795
2014-01-17,35.2,35.3,34.91,35.01,2653642
2014-01-21,35.19,35.37,34.89,35.04,2487329
2014-01-22,35.22,35.89,35.08,35.85,3207213
2014-01-23,35.58,35.65,34.93,34.99,3690689
2014-01-24,34.69,34.82,33.47,33.48,3833279
2014-01-27,33.52,33.74,32.73,33.08,3250592
2014-01-28,33.21,33.74,33.21,33.43,5133826
2014-01-29,32.8,33.32,32.69,33.05,6463513
2014-01-30,33.68,34.26,33.45,33.5,4303382
2014-01-31,34.43,34.43,32.88,33.25,3903246
2014-02-03,33.06,33.12,31.81,31.89,4662131
2014-02-04,32.17,32.73,31.86,32.46,3929520
2014-02-05,32.29,32.45,31.73,31.77,5066308
2014-02-06,31.89,32.8,31.81,32.75,5530218
2014-02-07,32.95,33.39,32.45,32.88,4660932
2014-02-10,33.42,34.45,33.41,34.1,8795972
2014-02-11,34.22,34.56,33.95,34.35,5230837
2014-02-12,34.44,34.84,34.24,34.35,3561619
2014-02-13,34.07,34.55,33.92,34.53,2932402
2014-02-14,34.41,34.57,34.13,34.36,2446790
2014-02-18,34.29,34.48,33.95,34.14,2644620
2014-02-19,33.99,34.62,33.78,33.82,2843501
2014-02-20,33.78,33.98,33.39,33.69,2995139
2014-02-21,33.68,33.74,33.31,33.54,4027657
2014-02-24,33.53,34.06,33.45,33.83,2660334
2014-02-25,33.83,33.95,33.25,33.34,2559076
2014-02-26,33.38,33.57,33.04,33.11,3992453
2014-02-27,33.07,34.12,33.05,34.12,3675117
2014-02-28,34.08,34.52,33.98,34.3,4577970
2014-03-03,33.72,33.72,33.2,33.35,6007999
2014-03-04,33.91,34.5,33.9,34.45,3237038
2014-03-05,34.5,34.61,34.28,34.42,2686140
2014-03-06,34.48,34.73,34.27,34.38,3273986
2014-03-07,34.71,34.79,34.34,34.52,3059072
2014-03-10,34.53,34.9,34.13,34.86,4210237
2014-03-11,34.89,35.14,34.59,34.75,4485649
2014-03-12,34.7,35.58,34.68,35.58,6280946
2014-03-13,35.61,35.91,34.72,34.81,3919780
2014-03-14,34.69,34.89,34.4,34.53,3095775
2014-03-17,34.76,35.15,34.58,34.9,2275900
2014-03-18,35.05,35.33,34.81,35.09,2438286
2014-03-19,35.18,35.19,34.52,34.92,3723686
2014-03-20,34.68,36.27,34.66,36.25,4597659
2014-03-21,36.65,36.81,36.03,36.15,7200229
2014-03-24,36.26,36.4,36.0,36.19,3556269
2014-03-25,36.41,36.57,36.0,36.24,3572984
2014-03-26,36.49,36.82,36.28,36.28,3815368
2014-03-27,36.27,36.49,35.98,36.13,3477202
2014-03-28,36.33,36.73,36.21,36.44,1997168
2014-03-31,36.81,37.18,36.68,37.0,3110946
2014-04-01,36.71,37.46,36.66,37.46,3120172
2014-04-02,37.48,37.87,37.29,37.68,3032557
2014-04-03,36.5,36.94,36.32,36.65,8470799
2014-04-04,37.04,37.09,35.41,35.65,5912613
2014-04-07,35.54,35.54,34.54,34.63,5864529
2014-04-08,34.79,35.23,34.39,35.13,4032394
2014-04-09,35.25,35.6,35.1,35.55,3680406
2014-04-10,35.0,35.75,34.72,34.72,4723121
2014-04-11,34.53,34.8,34.01,34.09,3948223
2014-04-14,34.49,34.7,34.04,34.41,2705340
2014-04-15,34.54,34.95,34.0,34.63,3181513
2014-04-16,34.93,35.18,34.66,35.18,2086919
2014-04-17,35.25,35.41,35.04,35.22,2150759
2014-04-21,35.26,35.51,35.05,35.34,1573788
2014-04-22,35.32,35.9,35.19,35.71,1958415
2014-04-23,35.71,35.91,35.63,35.77,1316646
2014-04-24,35.94,35.96,35.32,35.38,2622972
2014-04-25,35.31,35.41,34.71,34.88,2040909
2014-04-28,35.12,35.16,34.25,34.79,2613264
2014-04-29,35.12,35.34,34.97,35.22,1720965
2014-04-30,35.21,35.34,34.74,35.21,2799831
2014-05-01,35.75,36.46,35.46,36.02,5342723
2014-05-02,36.86,36.9,35.92,35.96,3691477
2014-05-05,35.61,36.02,35.45,35.78,1647413
2014-05-06,35.68,35.68,35.23,35.26,2786715
2014-05-07,35.42,35.75,35.0,35.72,2240515
2014-05-08,35.68,36.23,35.36,35.52,2210701
2014-05-09,35.62,36.02,35.5,35.85,2876383
2014-05-12,35.96,36.35,35.96,36.17,2311992
2014-05-13,36.3,36.56,35.93,36.04,2221857
2014-05-14,35.79,35.87,35.5,35.58,2014611
2014-05-15,35.35,35.41,34.36,34.62,2885743
2014-05-16,34.63,34.75,34.31,34.69,2442749
2014-05-19,34.49,35.2,34.46,35.12,1767762
2014-05-20,35.47,35.74,34.71,34.94,2304999
2014-05-21,35.19,35.44,35.07,35.3,2854377
2014-05-22,35.27,35.58,35.26,35.42,3565706
2014-05-23,35.51,35.75,35.45,35.67,1885254
2014-05-27,35.87,36.07,35.82,36.05,3239812
2014-05-28,36.09,36.37,35.91,35.94,4289912
2014-05-29,36.0,36.68,35.91,36.63,3628739
2014-05-30,36.46,36.74,36.42,36.7,2568707
2014-06-02,36.83,36.95,36.44,36.81,1974746
2014-06-03,36.65,37.09,36.59,37.08,2154840
2014-06-04,36.9,37.3,36.78,37.27,2925831
2014-06-05,37.35,37.77,37.14,37.66,1819117
2014-06-06,37.88,38.35,37.82,38.18,2603398
2014-06-09,38.07,38.41,37.97,38.2,2479264
2014-06-10,38.07,38.12,37.71,37.97,1907793
2014-06-11,37.83,37.96,37.59,37.87,2358866
2014-06-12,37.88,38.06,37.58,37.68,1556389
2014-06-13,37.75,37.83,37.12,37.24,3052218
2014-06-16,37.13,37.22,36.77,37.07,2337260
2014-06-17,37.06,37.49,36.77,37.35,2524482
2014-06-18,37.42,37.51,36.85,37.31,6458093
2014-06-19,37.4,37.5,37.06,37.2,2300288
2014-06-20,37.31,37.42,37.14,37.24,2339004
2014-06-23,37.31,37.7,37.03,37.55,2839713
2014-06-24,37.33,37.61,37.04,37.08,1588904
2014-06-25,36.95,37.51,36.85,37.49,1978171
2014-06-26,37.42,37.42,37.04,37.32,1872387
2014-06-27,37.13,37.78,37.13,37.74,3489748
2014-06-30,37.5,37.93,37.43,37.75,2261716
2014-07-01,37.99,38.56,37.91,38.35,2136660
2014-07-02,38.25,38.34,38.01,38.21,1653256
2014-07-03,38.25,38.73,38.25,38.66,911569
2014-07-07,38.55,38.84,38.25,38.7,2049129
2014-07-08,38.56,38.64,37.94,38.09,2314546
2014-07-09,38.28,38.68,38.2,38.36,2669212
2014-07-10,37.76,37.87,37.36,37.74,2557170
2014-07-11,37.81,38.06,37.63,37.96,1359355
2014-07-14,38.34,38.49,38.04,38.1,1613777
2014-07-15,38.15,38.46,37.9,38.08,2191942
2014-07-16,38.34,38.46,38.01,38.23,1551173
2014-07-17,38.0,38.39,37.6,37.63,1278352
2014-07-18,37.72,38.1,37.71,38.05,1428294
2014-07-21,38.0,38.15,37.74,38.09,1244129
2014-07-22,38.01,38.78,38.0,38.73,2755301
2014-07-23,38.74,38.75,38.36,38.61,1583219
2014-07-24,38.5,38.77,38.42,38.55,1605963
2014-07-25,38.35,38.61,38.15,38.41,1204823
2014-07-28,38.32,38.54,38.09,38.43,1377270
2014-07-29,38.5,38.75,38.16,38.19,1613458
2014-07-30,38.34,38.67,37.99,38.38,2923734
2014-07-31,38.07,38.86,37.55,37.63,3442708
2014-08-01,38.07,38.71,37.32,37.82,4643634
2014-08-04,37.92,38.34,37.8,38.27,2359928
2014-08-05,37.99,38.18,37.45,37.54,2579094
2014-08-06,37.37,38.38,37.36,38.06,2694333
2014-08-07,38.32,38.46,37.63,37.81,2289612
2014-08-08,37.87,37.97,37.47,37.85,5055852
2014-08-11,38.06,38.54,37.9,38.37,2297152
2014-08-12,38.36,38.76,38.28,38.72,2452245
2014-08-13,38.86,38.96,38.67,38.82,1569894
2014-08-14,38.83,39.29,38.79,39.26,2451828
2014-08-15,39.3,39.47,38.53,38.92,2402187
2014-08-18,39.35,39.68,39.21,39.49,2503551
2014-08-19,39.3,39.63,39.24,39.56,1841151
2014-08-20,39.53,40.29,39.41,40.09,3632961
2014-08-21,40.25,40.43,40.09,40.38,2228846
2014-08-22,40.34,40.46,39.82,40.0,3054569
2014-08-25,40.33,40.74,40.2,40.61,2134374
2014-08-26,40.64,41.14,40.61,41.07,2349867
2014-08-27,41.09,41.11,40.56,40.78,2060529
2014-08-28,40.52,40.69,40.33,40.58,2168562
2014-08-29,40.77,40.99,40.65,40.84,1678007
2014-09-02,40.77,41.2,40.64,40.96,2627271
2014-09-03,41.24,41.28,40.66,40.72,2715516
2014-09-04,40.89,41.14,40.52,40.65,3111267
2014-09-05,40.59,41.05,40.47,40.97,3298951
2014-09-08,40.88,41.1,40.79,40.96,1716125
2014-09-09,40.85,40.95,40.22,40.33,2626620
2014-09-10,40.45,40.63,40.22,40.47,2079774
2014-09-11,40.36,40.77,40.28,40.73,2336029
2014-09-12,40.71,40.9,40.58,40.8,2961162
2014-09-15,40.71,40.84,40.38,40.41,2263624
2014-09-16,40.2,40.7,39.97,40.61,2182007
2014-09-17,40.65,41.07,40.5,40.85,2479952
2014-09-18,41.07,41.44,40.99,41.25,2210923
2014-09-19,41.32,41.41,40.92,40.99,2885499
2014-09-22,40.76,40.88,40.38,40.63,2600029
2014-09-23,40.52,40.81,40.2,40.27,2363378
