Date,Open,High,Low,Close,Volume
15-Mar-18,49.46,49.56,48.72,48.92,2321836
14-Mar-18,50.35,50.61,49.35,49.48,1411446
13-Mar-18,50.00,50.97,49.89,50.33,1203484
12-Mar-18,49.91,50.31,49.38,49.85,1401100
9-Mar-18,50.43,50.76,49.38,49.99,2148364
8-Mar-18,51.42,51.52,49.95,50.13,2456820
7-Mar-18,52.19,52.33,50.64,51.05,2268846
6-Mar-18,50.99,52.51,50.81,52.49,3286235
5-Mar-18,52.90,53.18,51.74,51.90,2988274
2-Mar-18,47.85,53.23,47.46,53.04,4985294
1-Mar-18,50.65,50.87,49.15,50.48,3405552
28-Feb-18,51.51,51.95,50.89,51.31,2167688
27-Feb-18,53.14,53.53,51.01,51.03,2769921
26-Feb-18,53.63,53.80,52.21,52.40,2237668
23-Feb-18,50.69,54.00,50.23,53.56,7127872
22-Feb-18,50.16,50.74,50.00,50.27,1014627
21-Feb-18,50.52,51.10,50.04,50.06,1125792
20-Feb-18,50.97,51.43,50.15,50.49,1343886
16-Feb-18,51.13,51.80,50.90,51.50,1346662
15-Feb-18,50.76,51.60,50.30,51.24,1333622
14-Feb-18,48.87,50.67,48.49,50.36,1487097
13-Feb-18,48.30,49.23,48.18,49.17,1001251
12-Feb-18,48.18,48.76,47.67,48.37,910082
9-Feb-18,47.67,48.61,46.20,47.89,2079440
8-Feb-18,48.89,49.08,47.20,47.23,1791575
7-Feb-18,49.35,50.15,48.50,49.30,2221331
6-Feb-18,47.06,48.75,46.10,48.26,2463963
5-Feb-18,47.58,48.49,46.51,46.64,2622579
2-Feb-18,48.82,49.41,47.53,47.85,1842334
1-Feb-18,48.90,51.00,48.40,49.23,1447209
31-Jan-18,49.61,50.15,49.07,49.31,1357407
30-Jan-18,50.60,50.81,49.05,49.41,1608686
29-Jan-18,50.25,51.25,50.25,50.89,1301369
26-Jan-18,49.54,50.40,49.05,50.40,2416973
25-Jan-18,50.91,51.00,49.38,49.50,1945760
24-Jan-18,51.92,52.24,50.13,50.62,2557942
23-Jan-18,51.82,52.49,51.41,52.00,1181859
22-Jan-18,52.00,52.83,51.51,52.82,1100002
19-Jan-18,51.42,52.10,51.06,52.00,1504232
18-Jan-18,50.84,51.40,50.69,51.22,884781
17-Jan-18,50.52,51.16,50.13,50.97,1217288
16-Jan-18,51.85,51.97,50.04,50.18,1973686
12-Jan-18,50.38,53.00,50.30,51.82,5201554
11-Jan-18,49.36,50.11,48.71,50.09,2008416
10-Jan-18,47.64,49.50,47.55,49.20,3099386
9-Jan-18,48.24,48.24,47.44,47.89,1710393
8-Jan-18,48.56,49.24,47.55,48.27,1778522
5-Jan-18,48.22,48.65,47.90,48.25,1352990
4-Jan-18,48.38,48.62,46.30,48.06,2351475
3-Jan-18,49.30,49.70,48.53,48.65,2138922
2-Jan-18,48.76,49.86,48.51,49.12,3562343
29-Dec-17,47.78,48.07,47.28,47.38,1149723
28-Dec-17,47.92,47.92,47.19,47.71,1270979
27-Dec-17,48.24,48.49,47.69,47.93,2055334
26-Dec-17,47.60,49.09,47.59,48.47,1585632
22-Dec-17,47.52,47.75,47.27,47.54,1715969
21-Dec-17,46.84,47.68,46.75,47.50,1232457
20-Dec-17,46.81,47.13,46.31,46.84,1816309
19-Dec-17,46.81,46.99,45.99,46.51,1323091
18-Dec-17,45.74,46.82,45.62,46.63,1741335
15-Dec-17,45.32,46.04,45.16,45.49,2854172
14-Dec-17,46.25,46.84,44.86,44.96,1719117
13-Dec-17,45.89,46.49,45.56,46.27,1383989
12-Dec-17,45.74,46.39,45.08,45.74,1653300
11-Dec-17,45.96,46.11,45.37,45.84,1683980
8-Dec-17,45.02,45.83,44.68,45.78,1483419
7-Dec-17,45.81,46.01,44.69,44.98,2123782
6-Dec-17,46.20,46.55,45.11,45.32,2354876
5-Dec-17,47.19,47.19,45.62,46.15,2109495
4-Dec-17,46.14,47.85,46.13,47.26,3982844
1-Dec-17,45.38,45.94,44.40,45.50,2450236
30-Nov-17,45.61,46.96,45.15,45.45,4559270
29-Nov-17,42.87,46.35,42.78,45.76,7680403
28-Nov-17,41.39,42.72,41.11,42.67,2103450
27-Nov-17,41.08,41.90,40.61,41.34,2857388
24-Nov-17,41.23,41.48,40.71,40.96,974197
22-Nov-17,41.27,41.88,41.04,41.16,1607744
21-Nov-17,41.37,41.46,40.41,41.30,1458947
20-Nov-17,40.91,41.46,40.37,41.44,1899757
17-Nov-17,40.86,41.22,40.32,40.86,2346833
16-Nov-17,39.56,40.50,39.03,39.97,2033639
