Date,Open,High,Low,Close,Volume
2013-01-02,19.64,19.66,19.43,19.53,2734831
2013-01-03,19.56,19.71,19.41,19.63,3007469
2013-01-04,19.63,19.8,19.55,19.8,3116727
2013-01-07,19.71,19.85,19.65,19.85,1448885
2013-01-08,19.81,19.84,19.63,19.77,1684755
2013-01-09,19.76,19.81,19.66,19.76,1835877
2013-01-10,19.82,19.89,19.68,19.81,2533168
2013-01-11,19.76,19.82,19.67,19.8,1787756
2013-01-14,19.81,19.89,19.72,19.77,1267990
2013-01-15,19.75,19.88,19.69,19.84,2265893
2013-01-16,19.63,19.75,19.61,19.74,2606909
2013-01-17,19.78,19.93,19.74,19.83,4465001
2013-01-18,19.89,19.94,19.74,19.87,2984635
2013-01-22,19.84,20.15,19.84,20.11,3403027
2013-01-23,20.07,20.23,20.04,20.14,3481097
2013-01-24,20.15,20.38,20.14,20.36,4031407
2013-01-25,20.39,20.77,20.31,20.7,10024001
2013-01-28,20.72,20.81,20.59,20.78,3650334
2013-01-29,20.74,20.88,20.68,20.82,3140758
2013-01-30,20.78,20.83,20.63,20.78,2712702
2013-01-31,20.73,20.82,20.65,20.77,3886153
2013-02-01,20.93,21.07,20.81,21.05,4821034
2013-02-04,20.9,21.09,20.9,21.04,4438145
2013-02-05,21.1,21.11,20.96,21.02,3441425
2013-02-06,20.98,21.27,20.84,21.25,3005269
2013-02-07,21.3,21.31,21.07,21.21,2609654
2013-02-08,21.23,21.59,21.16,21.55,2854829
2013-02-11,21.55,21.57,21.4,21.43,2148883
2013-02-12,21.48,21.69,21.4,21.51,4412901
2013-02-13,21.67,21.71,21.46,21.54,3459359
2013-02-14,21.53,21.59,21.42,21.54,2617343
2013-02-15,21.59,21.81,21.53,21.71,4532601
2013-02-19,21.75,21.92,21.66,21.92,2947224
2013-02-20,21.87,21.98,21.52,21.52,3086219
2013-02-21,21.52,21.6,21.27,21.35,2344182
2013-02-22,21.43,21.75,21.43,21.71,2323659
2013-02-25,21.77,21.84,21.18,21.18,2527008
2013-02-26,21.28,21.48,21.18,21.42,2453339
2013-02-27,21.46,21.98,21.42,21.76,6995116
2013-02-28,21.78,21.94,21.71,21.77,4918344
2013-03-01,21.67,21.82,21.54,21.8,2256019
2013-03-04,21.78,22.04,21.74,21.95,3416131
2013-03-05,22.08,22.27,21.93,22.21,1908336
2013-03-06,22.22,22.27,21.98,22.24,2066558
2013-03-07,22.21,22.3,22.02,22.1,2225095
2013-03-08,22.2,22.24,21.98,22.07,1722572
2013-03-11,22.01,22.11,21.87,21.96,2739684
2013-03-12,21.97,21.99,21.84,21.95,2806615
2013-03-13,22.0,22.06,21.82,21.9,2658759
2013-03-14,21.93,22.16,21.92,22.06,1656394
2013-03-15,21.97,22.08,21.86,22.07,2279014
2013-03-18,21.95,22.03,21.84,21.93,2441163
2013-03-19,21.94,22.05,21.81,21.96,2487593
2013-03-20,22.07,22.21,21.95,22.21,2223334
2013-03-21,22.08,22.26,22.07,22.1,2524756
2013-03-22,22.16,22.43,22.0,22.31,2275496
2013-03-25,22.46,22.49,22.15,22.18,2833790
2013-03-26,22.32,22.32,22.1,22.17,2785888
2013-03-27,22.04,22.22,21.97,22.21,3302691
2013-03-28,22.29,22.42,22.17,22.4,3726643
2013-04-01,22.2,22.35,22.04,22.35,2205202
2013-04-02,22.48,22.55,22.37,22.54,2450652
2013-04-03,22.65,22.68,22.33,22.43,2427816
2013-04-04,22.5,22.76,22.44,22.75,2638276
2013-04-05,22.48,22.63,22.37,22.6,2874218
2013-04-08,22.59,23.02,22.56,23.0,1973901
2013-04-09,23.03,23.41,22.83,23.19,5024368
2013-04-10,23.23,23.26,23.13,23.23,3704773
2013-04-11,23.24,23.58,23.24,23.36,2747316
2013-04-12,23.3,23.41,23.19,23.24,2722741
2013-04-15,23.09,23.27,22.73,22.75,3417495
2013-04-16,22.87,23.12,22.75,23.03,3471037
2013-04-17,22.95,22.97,22.45,22.51,4393751
2013-04-18,22.58,22.68,22.38,22.55,2630989
2013-04-19,22.64,22.93,22.54,22.89,1992101
2013-04-22,22.96,23.0,22.73,22.8,1934328
2013-04-23,22.95,23.0,22.73,22.97,2397029
2013-04-24,23.0,23.12,22.89,22.99,1691754
2013-04-25,23.14,23.26,22.8,23.14,2281263
2013-04-26,23.16,23.23,23.04,23.1,1287822
2013-04-29,23.16,23.51,23.06,23.48,2169083
2013-04-30,23.46,23.78,23.35,23.78,2690757
2013-05-01,23.74,23.88,23.55,23.67,3164015
2013-05-02,23.67,24.34,23.43,24.16,2982606
2013-05-03,24.27,24.6,24.2,24.56,3493995
2013-05-06,24.32,24.69,24.22,24.69,2869093
2013-05-07,24.69,24.95,24.66,24.87,2414168
2013-05-08,24.88,25.06,24.76,25.0,1938798
2013-05-09,25.09,25.09,24.78,24.81,2447766
2013-05-10,24.88,25.08,24.75,24.97,2811650
2013-05-13,24.92,25.05,24.85,24.86,2884063
2013-05-14,24.9,24.97,24.74,24.77,3344711
2013-05-15,24.75,24.8,24.49,24.67,7265882
2013-05-16,24.65,24.67,24.06,24.15,7269804
2013-05-17,24.2,24.32,24.15,24.22,8500076
2013-05-20,24.21,24.27,24.02,24.12,3769336
2013-05-21,24.21,24.37,24.15,24.19,2245109
2013-05-22,24.17,24.48,23.52,23.67,3163649
2013-05-23,23.44,23.45,22.98,23.38,4051868
2013-05-24,23.23,23.32,23.0,23.15,2832845
2013-05-28,23.36,23.44,22.64,22.82,4127053
2013-05-29,22.66,22.7,22.18,22.55,3379111
2013-05-30,22.55,22.71,22.16,22.19,2779920
2013-05-31,22.1,22.37,22.02,22.15,6458389
2013-06-03,22.15,22.27,21.91,22.13,6749433
2013-06-04,22.13,22.17,21.82,21.83,3191076
2013-06-05,21.81,21.96,21.31,21.35,6179127
2013-06-06,21.27,22.0,21.21,21.99,4736234
2013-06-07,22.09,22.15,21.65,22.13,2660709
2013-06-10,22.18,22.34,22.0,22.19,7319822
2013-06-11,22.04,22.18,21.81,21.84,4576575
2013-06-12,21.94,21.96,21.61,21.69,4194816
2013-06-13,21.69,22.11,21.64,22.08,4925913
2013-06-14,22.02,22.14,21.94,22.01,4157454
2013-06-17,21.98,22.12,21.95,22.06,3827541
2013-06-18,22.1,22.32,21.91,22.27,5222230
2013-06-19,22.31,22.36,21.52,21.58,4437435
2013-06-20,21.41,21.41,20.47,20.59,5960952
2013-06-21,20.83,21.02,20.49,20.84,5283555
2013-06-24,20.58,21.21,20.25,20.76,4867423
2013-06-25,20.99,21.21,20.69,20.91,6507673
2013-06-26,21.12,21.3,21.0,21.05,4479806
2013-06-27,21.21,21.63,21.17,21.63,3631248
2013-06-28,21.6,21.68,21.29,21.43,3841871
2013-07-01,21.3,21.43,21.03,21.06,2849193
2013-07-02,21.08,21.57,21.06,21.57,4743848
2013-07-03,21.53,21.53,21.25,21.44,1859059
2013-07-05,21.57,21.57,21.02,21.38,2350803
2013-07-08,21.49,21.78,21.44,21.68,4087846
2013-07-09,21.79,22.1,21.76,22.03,2155516
2013-07-10,22.03,22.03,21.72,21.96,2556938
2013-07-11,22.26,22.54,22.26,22.47,2549657
2013-07-12,22.39,22.56,22.22,22.34,2175482
2013-07-15,22.35,22.6,22.29,22.5,1195610
2013-07-16,22.52,22.6,22.4,22.51,2393363
2013-07-17,22.63,22.68,22.44,22.56,1942915
2013-07-18,22.58,22.97,22.56,22.96,2131670
2013-07-19,22.98,23.07,22.9,22.97,2675777
2013-07-22,22.92,23.14,22.85,23.12,1850009
2013-07-23,23.11,23.22,23.0,23.15,1275306
2013-07-24,23.2,23.24,22.42,22.55,2185763
2013-07-25,22.49,22.7,22.48,22.69,1658054
2013-07-26,22.6,22.73,22.41,22.71,1131946
2013-07-29,22.63,22.78,22.54,22.62,1601441
2013-07-30,22.71,22.8,22.35,22.4,4560695
2013-07-31,22.6,22.91,22.16,22.55,6172549
2013-08-01,22.66,22.88,22.54,22.84,5251101
2013-08-02,22.74,22.95,22.47,22.5,2561653
2013-08-05,22.44,22.52,22.17,22.19,2119061
2013-08-06,22.18,22.32,21.89,21.98,3152895
2013-08-07,21.96,22.02,21.72,21.96,1932959
2013-08-08,22.04,22.12,21.74,22.08,2851475
2013-08-09,22.16,22.3,22.01,22.13,3420324
2013-08-12,22.07,22.12,21.86,21.88,2229801
2013-08-13,21.86,21.94,21.6,21.68,2337207
2013-08-14,21.64,21.81,21.62,21.73,1558210
2013-08-15,21.57,21.6,21.16,21.29,2360414
2013-08-16,21.24,21.33,20.5,20.5,5441786
2013-08-19,20.52,20.58,20.08,20.1,3723040
2013-08-20,20.16,20.76,19.89,20.57,4100650
2013-08-21,20.49,20.66,20.1,20.37,4216949
2013-08-22,20.46,20.56,20.25,20.51,2261738
2013-08-23,20.54,20.62,20.4,20.57,3750833
2013-08-26,20.59,20.62,20.41,20.48,3107202
2013-08-27,20.26,20.5,20.13,20.25,3151887
2013-08-28,20.3,20.33,20.09,20.16,2155352
2013-08-29,20.14,20.22,20.03,20.21,2229806
2013-08-30,20.26,20.32,19.99,20.03,3128537
2013-09-03,20.23,20.3,19.68,19.89,4865658
2013-09-04,19.86,20.36,19.8,20.29,2679172
2013-09-05,20.25,20.32,19.79,19.83,2925806
2013-09-06,20.02,20.21,19.98,20.1,3537093
2013-09-09,20.21,20.42,20.06,20.38,3672626
2013-09-10,20.45,20.57,20.19,20.33,2983400
2013-09-11,20.39,20.47,20.11,20.47,3626262
2013-09-12,20.49,20.68,20.22,20.23,3665465
2013-09-13,20.21,20.44,20.18,20.25,2526220
2013-09-16,20.73,20.83,20.6,20.71,2468699
2013-09-17,20.75,20.89,20.64,20.64,1844886
2013-09-18,20.69,20.95,20.32,20.94,8734619
2013-09-19,21.0,21.37,20.99,21.11,4444599
2013-09-20,21.16,21.16,20.62,20.63,4753950
2013-09-23,20.58,20.73,20.43,20.49,2977619
2013-09-24,20.51,20.56,20.22,20.26,3821075
2013-09-25,20.31,20.45,20.1,20.19,3840083
2013-09-26,20.21,20.45,20.19,20.42,2592968
2013-09-27,20.36,20.46,20.22,20.37,2190574
2013-09-30,20.26,20.42,20.12,20.18,4749209
2013-10-01,19.96,20.38,19.9,20.17,4220907
2013-10-02,20.5,20.79,20.07,20.18,3329095
