Date,Open,High,Low,Close,Volume
2013-01-02,13.17,13.2,13.06,13.18,7393974
2013-01-03,13.17,13.28,13.12,13.2,5841638
2013-01-04,13.22,13.26,13.11,13.23,7104866
2013-01-07,13.19,13.22,12.88,12.91,7604596
2013-01-08,12.9,12.92,12.61,12.64,11521638
2013-01-09,12.66,12.8,12.6,12.78,5545304
2013-01-10,12.84,12.96,12.74,12.78,5660000
2013-01-11,12.86,12.87,12.65,12.85,6614868
2013-01-14,12.83,12.95,12.8,12.93,6878772
2013-01-15,12.87,13.07,12.86,13.06,6395616
2013-01-16,13.02,13.16,13.0,13.14,5537568
2013-01-17,13.14,13.39,13.11,13.34,7749788
2013-01-18,13.38,13.55,13.33,13.54,8890756
2013-01-22,13.51,13.72,13.49,13.72,6234354
2013-01-23,13.68,13.96,13.66,13.83,9853754
2013-01-24,13.83,14.0,13.81,13.88,7861366
2013-01-25,13.88,13.98,13.84,13.92,6093690
2013-01-28,13.88,13.98,13.8,13.9,6520786
2013-01-29,13.84,13.9,13.8,13.86,7058876
2013-01-30,13.84,13.88,13.73,13.88,5714878
2013-01-31,13.84,13.88,13.81,13.85,7330938
2013-02-01,13.92,13.99,13.8,13.94,10585972
2013-02-04,13.9,13.9,13.76,13.84,6311622
2013-02-05,13.9,13.99,13.85,13.94,4318978
2013-02-06,13.9,13.98,13.85,13.93,4846708
2013-02-07,13.9,14.04,13.88,14.01,6131322
2013-02-08,14.03,14.14,13.99,14.1,6722508
2013-02-11,14.22,14.4,14.18,14.2,8946862
2013-02-12,14.2,14.32,14.08,14.27,7079172
2013-02-13,14.25,14.3,14.18,14.23,5036106
2013-02-14,14.16,14.2,14.09,14.12,8497132
2013-02-15,14.08,14.1,13.9,13.94,12235870
2013-02-19,14.0,14.12,14.0,14.1,7671416
2013-02-20,14.08,14.09,13.82,13.84,8548452
2013-02-21,13.9,14.5,13.9,14.38,18029552
2013-02-22,14.39,14.44,14.3,14.4,9723084
2013-02-25,14.44,14.46,14.18,14.18,6756072
2013-02-26,14.22,14.38,14.18,14.36,9539142
2013-02-27,14.34,14.58,14.29,14.55,8383602
2013-02-28,14.55,14.76,14.54,14.6,13483222
2013-03-01,14.59,14.76,14.52,14.76,8592370
2013-03-04,14.72,14.8,14.63,14.74,9299838
2013-03-05,14.76,14.84,14.7,14.8,6129012
2013-03-06,14.8,14.88,14.66,14.68,8675416
2013-03-07,15.02,15.31,14.92,15.12,15358596
2013-03-08,15.12,15.6,15.1,15.58,14930938
2013-03-11,15.46,15.5,15.36,15.48,9642084
2013-03-12,15.44,15.52,15.38,15.4,8328838
2013-03-13,15.44,15.7,15.44,15.66,7152678
2013-03-14,15.66,15.78,15.65,15.75,7481884
2013-03-15,15.7,15.9,15.68,15.81,10707238
2013-03-18,15.66,15.9,15.62,15.83,7096874
2013-03-19,15.89,15.94,15.79,15.87,5932858
2013-03-20,15.96,16.05,15.91,15.94,6113954
2013-03-21,15.87,16.02,15.86,16.0,7670946
2013-03-22,16.0,16.28,15.98,16.2,7477596
2013-03-25,16.21,16.35,16.2,16.32,7447284
2013-03-26,16.42,16.57,16.37,16.4,9021232
2013-03-27,16.35,16.62,16.32,16.55,8094290
2013-03-28,16.56,16.64,16.53,16.57,8190802
2013-04-01,16.54,16.55,16.22,16.27,10163200
2013-04-02,16.35,16.53,16.28,16.4,10206462
2013-04-03,16.4,16.4,15.95,16.02,10079162
2013-04-04,16.01,16.26,16.01,16.16,7163644
2013-04-05,15.94,16.14,15.93,16.02,8464192
2013-04-08,15.98,16.04,15.76,15.94,9770504
2013-04-09,15.96,16.14,15.95,16.03,7352310
2013-04-10,16.06,16.36,16.06,16.32,7693468
2013-04-11,16.38,16.75,16.35,16.58,9582204
2013-04-12,16.53,16.7,16.48,16.56,6732514
2013-04-15,16.56,16.64,16.36,16.36,8230062
2013-04-16,16.43,16.66,16.36,16.65,6795486
2013-04-17,16.58,16.76,16.42,16.72,10304718
2013-04-18,16.75,16.88,16.68,16.88,10258876
2013-04-19,16.92,16.95,16.76,16.86,7006994
2013-04-22,16.85,17.18,16.84,17.1,6066338
2013-04-23,17.16,17.34,17.08,17.34,7527896
2013-04-24,17.32,17.62,17.26,17.3,8822584
2013-04-25,17.29,17.32,16.65,17.16,15315076
2013-04-26,17.14,17.2,16.96,17.14,6615282
2013-04-29,17.15,17.25,17.0,17.22,4476230
2013-04-30,17.21,17.24,17.05,17.19,5290166
2013-05-01,17.19,17.29,17.07,17.1,5338590
2013-05-02,17.1,17.37,17.06,17.31,4330332
2013-05-03,17.42,17.62,17.32,17.36,8027908
2013-05-06,17.32,17.35,17.24,17.25,6457918
2013-05-07,17.31,17.5,17.26,17.5,6946142
2013-05-08,17.52,17.56,17.34,17.36,7247230
2013-05-09,17.34,17.39,17.2,17.22,4498806
2013-05-10,17.22,17.29,17.14,17.24,5186512
2013-05-13,17.12,17.16,16.93,16.98,8749950
2013-05-14,17.02,17.41,17.02,17.4,7516876
2013-05-15,17.42,17.64,17.32,17.61,7000536
2013-05-16,17.56,17.72,17.48,17.54,6791738
2013-05-17,17.52,17.71,17.48,17.71,5669016
2013-05-20,17.7,17.7,17.34,17.36,6152976
2013-05-21,17.35,17.52,17.27,17.42,7718766
2013-05-22,17.41,17.61,16.95,17.06,12675938
2013-05-23,17.06,17.2,16.88,17.1,9934044
2013-05-24,17.02,17.13,16.94,17.12,4207592
2013-05-28,17.21,17.42,17.18,17.27,4399210
2013-05-29,17.23,17.31,17.1,17.21,5723820
2013-05-30,17.2,17.32,17.14,17.2,4197180
2013-05-31,17.15,17.18,16.84,16.84,7117324
2013-06-03,16.85,16.94,16.55,16.92,8343182
2013-06-04,16.92,17.18,16.92,16.98,12691272
2013-06-05,16.92,16.99,16.42,16.52,10266378
2013-06-06,16.5,16.59,16.38,16.56,8998980
2013-06-07,16.7,17.3,16.7,17.28,13142008
2013-06-10,17.32,17.47,17.25,17.36,6976568
2013-06-11,17.28,17.6,17.24,17.29,5680056
2013-06-12,17.34,17.4,17.11,17.15,6372254
2013-06-13,17.39,17.54,17.24,17.53,7901248
2013-06-14,17.5,17.62,17.34,17.4,4910806
2013-06-17,17.5,17.72,17.46,17.59,6632116
2013-06-18,17.64,17.78,17.55,17.76,9344632
2013-06-19,17.72,17.82,17.55,17.56,6903586
2013-06-20,17.4,17.4,16.42,16.49,16901524
2013-06-21,16.66,16.98,16.61,16.88,11179442
2013-06-24,16.76,17.12,16.62,17.0,9611490
2013-06-25,17.09,17.34,17.06,17.26,9093192
2013-06-26,17.38,17.46,17.18,17.24,7857628
2013-06-27,17.26,17.47,17.24,17.36,6453408
2013-06-28,17.3,17.44,17.25,17.27,7890812
2013-07-01,17.34,17.45,17.3,17.34,5364320
2013-07-02,17.34,18.14,17.34,17.96,15516828
2013-07-03,17.89,17.95,17.8,17.8,3965944
2013-07-05,17.94,18.04,17.82,18.04,5444638
2013-07-08,18.06,18.1,17.95,18.1,5367612
2013-07-09,18.28,18.66,18.28,18.58,14561444
2013-07-10,18.64,18.82,18.64,18.67,7597386
2013-07-11,18.94,19.1,18.74,18.9,8660012
2013-07-12,18.54,18.88,18.54,18.82,8955380
2013-07-15,18.64,19.0,18.62,18.88,7714796
2013-07-16,18.89,19.08,18.8,19.06,9385584
2013-07-17,19.1,19.26,19.02,19.22,6640698
2013-07-18,19.24,19.5,19.2,19.24,9410084
2013-07-19,19.36,19.42,19.26,19.4,8313498
2013-07-22,19.47,19.52,19.4,19.52,6619216
2013-07-23,19.54,19.66,19.38,19.46,6864652
2013-07-24,19.53,19.57,19.4,19.56,8524056
2013-07-25,19.48,19.84,19.45,19.84,8894336
2013-07-26,19.75,19.83,19.62,19.82,7234682
2013-07-29,19.77,19.94,19.7,19.92,4973216
2013-07-30,19.95,19.99,19.78,19.8,7531320
2013-07-31,19.77,19.88,19.6,19.64,10609952
2013-08-01,19.75,19.88,19.7,19.82,4371540
2013-08-02,19.8,19.8,19.36,19.59,9793080
2013-08-05,19.59,19.74,19.52,19.58,5495156
2013-08-06,19.56,19.65,19.34,19.64,6664286
2013-08-07,19.62,19.67,19.48,19.5,6279824
2013-08-08,19.62,19.86,19.52,19.8,5486214
2013-08-09,19.73,19.74,19.33,19.44,7028534
2013-08-12,19.37,19.49,19.26,19.48,5188510
2013-08-13,19.44,19.6,19.34,19.57,5154218
2013-08-14,19.5,19.56,19.38,19.41,4408454
2013-08-15,19.3,19.3,18.94,19.0,8291060
2013-08-16,19.04,19.2,18.98,19.12,7662868
2013-08-19,19.08,19.12,18.77,18.97,6314368
2013-08-20,18.94,19.05,18.88,18.89,5186706
2013-08-21,18.84,18.88,18.7,18.74,6716912
2013-08-22,18.78,18.82,18.58,18.61,8036086
2013-08-23,18.6,18.78,18.55,18.76,6456790
2013-08-26,18.8,18.81,18.42,18.43,6389862
2013-08-27,18.29,18.34,18.18,18.2,7010118
2013-08-28,18.16,18.25,17.96,18.2,8792200
2013-08-29,18.16,18.46,18.1,18.39,4855906
2013-08-30,18.44,18.44,18.23,18.3,4939814
2013-09-03,18.48,18.56,18.36,18.41,5180162
2013-09-04,18.45,18.85,18.42,18.67,10291256
2013-09-05,18.65,18.68,18.5,18.68,5844104
2013-09-06,18.73,18.86,18.56,18.7,7624680
