Date,Open,High,Low,Close,Volume
2013-01-02,24.49,24.56,24.01,24.22,1620882
2013-01-03,24.25,24.39,24.01,24.09,1996271
2013-01-04,24.1,24.19,23.87,24.01,1655537
2013-01-07,23.96,24.06,23.62,23.81,1855539
2013-01-08,23.81,23.93,23.62,23.92,1965721
2013-01-09,23.98,24.04,23.81,23.85,1911369
2013-01-10,24.08,24.16,23.73,24.16,2555245
2013-01-11,24.16,24.28,24.0,24.19,985719
2013-01-14,24.19,24.23,23.91,24.01,1134539
2013-01-15,23.85,24.16,23.8,24.09,1334974
2013-01-16,24.0,24.09,23.82,23.87,918179
2013-01-17,23.98,24.03,23.78,23.97,772690
2013-01-18,24.02,24.1,23.81,24.1,969468
2013-01-22,24.12,24.44,24.01,24.43,1048881
2013-01-23,24.37,24.49,24.31,24.4,1237605
2013-01-24,24.41,24.89,24.39,24.8,1409923
2013-01-25,24.92,25.1,24.8,25.1,1104994
2013-01-28,25.11,25.21,24.94,25.05,1136969
2013-01-29,24.96,25.33,24.91,25.33,971302
2013-01-30,25.31,25.48,25.07,25.3,1133801
2013-01-31,25.21,25.51,25.0,25.45,1669495
2013-02-01,25.62,25.62,25.11,25.3,2815557
2013-02-04,25.08,25.54,25.03,25.44,1660432
2013-02-05,25.61,25.96,25.43,25.77,1737273
2013-02-06,25.66,26.3,25.65,26.28,2329244
2013-02-07,26.29,26.72,26.0,26.7,2185804
2013-02-08,26.82,26.94,26.64,26.73,1357550
2013-02-11,26.7,26.85,26.48,26.58,999351
2013-02-12,26.69,27.01,26.59,26.87,944684
2013-02-13,26.9,27.18,26.83,27.05,1671480
2013-02-14,26.98,27.62,26.93,27.57,1182282
2013-02-15,27.49,27.59,27.02,27.06,1587347
2013-02-19,27.15,27.31,27.02,27.18,2639071
2013-02-20,27.17,27.49,27.08,27.36,1918367
2013-02-21,27.24,27.61,27.14,27.31,2732332
2013-02-22,27.45,28.16,27.34,28.16,2525553
2013-02-25,28.24,28.34,26.67,26.76,2702420
2013-02-26,26.35,26.93,26.23,26.52,2404935
2013-02-27,26.55,26.83,26.28,26.73,2047918
2013-02-28,26.79,27.23,26.77,26.9,18699388
2013-03-01,26.89,27.14,26.27,26.4,4076554
2013-03-04,26.45,26.51,25.46,25.87,6959990
2013-03-05,26.08,26.48,25.9,26.19,3515833
2013-03-06,26.25,26.55,26.16,26.4,1941789
2013-03-07,26.46,26.61,26.1,26.37,2328760
2013-03-08,26.58,26.68,26.28,26.67,1535431
2013-03-11,26.55,26.72,25.95,26.67,1650102
2013-03-12,26.62,26.98,26.51,26.89,1747056
2013-03-13,26.87,26.93,26.45,26.62,1765116
2013-03-14,26.72,27.18,26.53,27.18,1257610
2013-03-15,27.09,27.36,26.86,27.25,3496833
2013-03-18,26.85,27.11,26.57,26.65,1555218
2013-03-19,26.66,27.03,26.3,26.5,1171002
2013-03-20,26.72,26.86,26.53,26.72,1146553
2013-03-21,26.59,26.95,26.48,26.59,1533994
2013-03-22,26.72,26.88,26.51,26.83,1089852
2013-03-25,27.0,27.19,26.76,27.02,1442213
2013-03-26,27.2,27.42,27.09,27.38,2044488
2013-03-27,27.26,27.29,26.87,27.19,1930977
2013-03-28,27.23,27.5,27.07,27.43,1720113
2013-04-01,27.36,27.88,27.14,27.44,1374531
2013-04-02,27.52,27.58,27.24,27.36,1193169
2013-04-03,27.38,27.57,27.06,27.44,1568616
2013-04-04,27.48,28.0,27.43,28.0,1608802
2013-04-05,27.64,27.64,27.2,27.49,1218209
2013-04-08,27.48,27.93,27.3,27.93,935624
2013-04-09,28.01,28.46,27.93,28.46,1158816
2013-04-10,28.59,29.14,28.46,29.14,1644497
2013-04-11,29.12,29.57,29.0,29.22,1735575
2013-04-12,29.05,29.12,28.7,29.03,975866
2013-04-15,28.83,28.96,28.44,28.47,1716882
2013-04-16,28.75,29.6,28.7,29.58,1631641
2013-04-17,29.31,29.33,28.5,28.85,1656650
2013-04-18,28.9,28.94,28.37,28.6,1145400
2013-04-19,28.72,29.08,28.41,29.05,1429039
2013-04-22,29.07,29.36,28.63,29.24,1194495
2013-04-23,29.47,29.98,29.42,29.92,1322582
2013-04-24,30.04,30.39,29.96,30.3,1790688
2013-04-25,30.39,30.49,30.18,30.25,1280176
2013-04-26,30.19,30.2,29.89,29.99,744133
2013-04-29,30.16,30.23,29.93,30.16,767550
2013-04-30,30.51,30.89,30.1,30.89,1998826
2013-05-01,30.81,30.89,30.22,30.6,2031512
2013-05-02,30.7,31.1,30.51,31.1,1181759
2013-05-03,31.3,31.77,31.09,31.29,1633043
2013-05-06,31.31,31.91,31.31,31.88,1321557
2013-05-07,32.0,32.43,31.83,32.0,1178187
2013-05-08,32.01,32.33,31.92,32.2,1275053
2013-05-09,32.08,32.25,31.73,31.85,1194111
2013-05-10,31.89,31.99,31.1,31.7,1635773
2013-05-13,31.58,31.79,31.43,31.69,1101471
2013-05-14,31.7,31.95,31.67,31.85,1087028
2013-05-15,31.78,31.84,31.48,31.79,1438967
2013-05-16,31.66,31.95,31.56,31.7,992100
2013-05-17,31.76,32.13,31.69,32.02,947066
2013-05-20,32.02,32.19,31.7,31.87,1066116
2013-05-21,31.87,32.0,31.53,31.57,1022703
2013-05-22,31.58,31.99,30.97,31.28,2008906
2013-05-23,30.85,30.85,30.38,30.58,2314747
2013-05-24,30.36,30.68,30.27,30.65,861295
2013-05-28,31.1,31.5,30.49,31.15,2029116
2013-05-29,30.92,31.33,30.69,30.96,1171980
2013-05-30,30.96,31.62,30.96,31.52,1176910
2013-05-31,31.48,31.85,31.31,31.38,1952086
2013-06-03,31.47,31.51,30.32,30.71,1206743
2013-06-04,30.65,30.73,29.78,29.91,1658643
2013-06-05,29.85,29.93,29.21,29.22,1547849
2013-06-06,29.24,29.55,28.76,29.36,1632973
2013-06-07,29.62,29.78,29.36,29.52,1361338
2013-06-10,29.62,29.68,29.13,29.25,1093623
2013-06-11,28.92,28.98,28.36,28.37,1617719
2013-06-12,28.59,28.64,27.72,27.75,1692636
2013-06-13,27.72,28.18,27.7,28.15,1335518
2013-06-14,28.15,28.2,27.7,27.76,937717
2013-06-17,27.97,28.21,27.54,27.74,1184913
2013-06-18,27.8,27.91,27.3,27.36,1667133
2013-06-19,27.3,27.34,26.42,26.43,2485059
2013-06-20,26.16,26.21,25.31,25.41,2368749
2013-06-21,25.61,26.0,25.22,25.71,3698695
2013-06-24,25.42,25.54,24.7,24.93,2429021
2013-06-25,25.25,25.43,24.84,24.98,2065746
2013-06-26,25.22,25.22,24.75,25.01,1739337
2013-06-27,25.27,25.99,25.09,25.82,1760714
2013-06-28,25.74,26.39,25.62,26.22,2752946
2013-07-01,26.31,26.6,26.29,26.45,1588069
2013-07-02,26.48,26.73,25.96,26.11,1479190
2013-07-03,25.9,26.14,25.73,25.75,865343
2013-07-05,25.93,26.16,25.9,26.13,921421
2013-07-08,26.22,26.28,25.61,25.65,1784037
2013-07-09,25.85,26.24,25.7,26.1,1218155
2013-07-10,26.06,26.3,25.77,26.04,1050882
2013-07-11,26.44,26.81,26.24,26.79,1260279
2013-07-12,26.79,26.81,26.48,26.77,902302
2013-07-15,26.82,27.03,26.68,26.76,1054472
2013-07-16,26.77,27.02,26.71,26.96,912116
2013-07-17,27.13,27.38,26.96,27.35,906379
2013-07-18,27.46,27.98,27.44,27.97,1206951
2013-07-19,27.94,27.94,27.42,27.68,985326
2013-07-22,27.69,27.81,27.54,27.67,1019739
2013-07-23,27.66,27.83,27.45,27.75,927130
2013-07-24,27.75,27.86,27.16,27.2,1148955
2013-07-25,27.07,27.27,26.98,27.22,841542
2013-07-26,27.01,27.03,26.65,27.01,686433
2013-07-29,26.89,26.99,26.42,26.44,999341
2013-07-30,26.69,26.88,26.61,26.71,878826
2013-07-31,26.81,26.95,26.43,26.83,1177177
2013-08-01,27.04,27.42,26.91,27.4,1025831
2013-08-02,27.29,27.29,26.83,27.09,788184
2013-08-05,26.99,27.25,26.75,27.05,622631
2013-08-06,26.93,27.05,26.72,26.76,656467
2013-08-07,26.69,26.85,26.38,26.76,1212662
2013-08-08,26.94,27.0,26.71,26.94,736269
2013-08-09,26.9,27.24,26.63,27.18,833908
2013-08-12,27.03,27.16,26.71,26.84,994002
2013-08-13,26.91,27.1,26.86,26.9,884373
2013-08-14,26.83,26.95,26.69,26.72,793803
2013-08-15,26.47,26.7,26.37,26.48,1205544
2013-08-16,26.41,26.62,26.33,26.59,1108284
2013-08-19,26.5,26.56,25.64,25.69,1213978
2013-08-20,25.67,25.95,25.45,25.86,779866
2013-08-21,25.78,25.86,25.49,25.57,774398
2013-08-22,25.63,25.89,25.5,25.63,813140
2013-08-23,25.76,26.05,25.54,26.01,574624
2013-08-26,26.02,26.12,25.72,25.74,606439
2013-08-27,25.44,25.6,25.12,25.13,640381
2013-08-28,25.14,25.33,24.88,24.9,1125960
2013-08-29,24.83,25.19,24.8,25.08,672939
2013-08-30,25.13,25.13,24.82,24.93,893402
2013-09-03,25.18,25.63,25.13,25.52,1631897
2013-09-04,25.49,26.31,25.42,26.19,1481816
2013-09-05,26.19,26.45,26.19,26.34,1015456
2013-09-06,26.46,26.7,26.2,26.57,958410
2013-09-09,26.55,27.28,26.51,27.26,988488
2013-09-10,27.6,28.0,27.45,27.95,1379152
2013-09-11,27.92,28.01,27.61,27.84,1207040
2013-09-12,27.74,27.91,27.5,27.54,809991
2013-09-13,27.64,27.91,27.52,27.85,928755
2013-09-16,28.14,28.37,28.01,28.3,1217958
2013-09-17,28.31,28.74,27.83,28.05,2307554
2013-09-18,27.99,28.0,27.36,27.69,2139042
2013-09-19,27.72,27.86,27.59,27.61,1471213
2013-09-20,27.73,27.86,27.26,27.27,4271542
2013-09-23,27.06,27.3,26.94,27.04,1308001
2013-09-24,27.02,27.38,26.93,27.08,1293768
2013-09-25,27.12,27.45,27.11,27.28,948550
2013-09-26,27.31,27.5,27.19,27.37,662074
2013-09-27,27.15,27.43,27.09,27.3,1069454
2013-09-30,26.97,27.31,26.94,27.24,1210753
2013-10-01,27.26,27.74,27.2,27.39,1641623
2013-10-02,27.21,27.73,27.11,27.73,1536825
2013-10-03,27.64,27.64,27.25,27.31,1487623
2013-10-04,27.28,27.69,27.17,27.68,1428776
2013-10-07,27.46,27.56,27.31,27.35,1297653
2013-10-08,27.29,27.54,27.14,27.15,1576494
2013-10-09,27.26,27.46,26.82,27.39,1285652
2013-10-10,27.72,28.07,27.72,28.07,2042247
2013-10-11,28.09,28.78,28.0,28.78,1528047
2013-10-14,28.56,28.59,28.17,28.56,740720
2013-10-15,28.5,28.51,27.9,28.02,773152
2013-10-16,28.23,28.58,28.11,28.44,1114769
2013-10-17,28.29,28.75,28.26,28.43,929558
2013-10-18,28.52,28.7,28.45,28.7,760097
2013-10-21,28.68,28.78,28.6,28.78,586384
2013-10-22,28.94,29.56,28.85,29.48,1293300
2013-10-23,29.39,29.49,29.12,29.32,864905
2013-10-24,29.37,29.44,29.14,29.35,853734
2013-10-25,29.33,29.42,29.0,29.15,883452
2013-10-28,29.22,29.24,29.02,29.14,894265
2013-10-29,29.15,29.31,28.74,28.82,954344
2013-10-30,28.87,29.11,28.75,28.85,724771
2013-10-31,28.85,28.93,28.34,28.34,1022571
2013-11-01,28.43,28.76,28.4,28.71,5128825
2013-11-04,28.78,29.19,28.74,29.13,995743
2013-11-05,29.04,29.3,28.84,29.11,1038604
2013-11-06,29.11,29.45,28.98,29.08,733752
2013-11-07,29.26,29.27,28.38,28.46,822992
2013-11-08,28.4,28.9,28.32,28.88,947040
2013-11-11,28.88,28.93,28.65,28.75,574867
2013-11-12,28.71,28.72,28.12,28.17,827218
2013-11-13,28.04,28.11,27.78,28.11,904389
2013-11-14,28.22,28.28,27.92,28.06,1047291
2013-11-15,27.95,28.49,27.95,28.27,1172518
2013-11-18,28.39,28.75,28.19,28.23,656940
2013-11-19,28.2,28.82,28.15,28.35,967329
2013-11-20,28.35,28.45,27.75,27.84,864926
2013-11-21,27.89,28.35,27.88,28.29,1163581
2013-11-22,28.37,28.9,28.25,28.89,845817
2013-11-25,28.92,29.19,28.86,28.92,681908
2013-11-26,28.86,29.15,28.68,28.69,874281
2013-11-27,28.76,28.99,28.51,28.54,609553
2013-11-29,28.54,28.93,28.38,28.66,519457
2013-12-02,28.66,29.06,28.34,28.41,681905
2013-12-03,28.31,28.39,27.5,27.8,1224346
2013-12-04,27.62,28.12,27.52,27.94,917097
2013-12-05,27.83,27.98,27.56,27.77,939827
2013-12-06,28.1,28.14,27.84,28.11,615296
2013-12-09,28.16,28.25,27.95,28.04,739525
2013-12-10,27.93,28.09,27.74,27.8,733310
2013-12-11,27.77,27.83,27.0,27.1,1198558
2013-12-12,27.1,27.64,26.98,27.45,1164019
2013-12-13,27.56,27.67,27.14,27.2,674359
2013-12-16,27.28,27.55,27.17,27.44,1366587
2013-12-17,27.65,27.65,27.17,27.55,1224965
2013-12-18,27.55,27.94,26.98,27.91,1212317
2013-12-19,27.82,27.82,27.36,27.41,890621
2013-12-20,27.45,28.21,27.45,27.95,2108470
2013-12-23,28.03,28.29,27.93,28.14,759748
2013-12-24,28.13,28.28,28.02,28.24,263203
2013-12-26,28.27,28.56,28.27,28.39,550407
2013-12-27,28.39,28.67,28.15,28.18,627686
2013-12-30,28.24,28.61,28.23,28.29,752160
2013-12-31,28.35,28.58,28.21,28.34,738727
2014-01-02,28.37,28.65,28.24,28.5,1237210
2014-01-03,28.47,28.64,28.26,28.37,870233
2014-01-06,28.42,28.48,27.92,27.99,901016
2014-01-07,28.09,28.24,27.84,27.92,804465
2014-01-08,27.88,28.19,27.68,27.8,1490183
2014-01-09,27.96,28.07,27.58,27.91,853049
2014-01-10,27.95,28.3,27.94,28.18,952271
2014-01-13,28.09,28.19,27.32,27.37,1512836
2014-01-14,27.42,27.7,27.4,27.61,1063723
2014-01-15,27.61,27.9,27.33,27.87,1637928
2014-01-16,27.83,28.4,27.71,27.85,1637680
2014-01-17,27.9,28.38,27.53,27.94,2325394
2014-01-21,28.1,28.58,27.86,28.46,7195110
2014-01-22,28.55,28.72,28.51,28.65,1895699
2014-01-23,28.48,28.57,27.94,28.11,2036500
2014-01-24,27.94,27.94,27.4,27.41,2392875
2014-01-27,27.39,27.51,26.82,27.03,2143185
2014-01-28,27.12,27.62,27.08,27.56,1548607
2014-01-29,27.55,27.66,27.26,27.34,1360390
2014-01-30,27.5,27.56,27.35,27.52,1071634
2014-01-31,27.0,27.44,26.94,27.33,1757832
2014-02-03,27.02,27.08,26.04,26.33,3791911
2014-02-04,26.43,26.72,26.22,26.67,1725997
2014-02-05,26.59,27.0,26.5,26.62,1331395
2014-02-06,26.66,27.03,26.62,27.0,1834403
2014-02-07,27.13,27.74,27.13,27.71,1418591
2014-02-10,27.72,28.15,27.51,28.14,1479208
2014-02-11,28.07,28.4,28.06,28.27,1912342
2014-02-12,28.22,28.31,28.04,28.18,1396976
2014-02-13,27.92,28.41,27.78,28.29,961168
2014-02-14,28.22,28.34,27.99,28.13,1181198
2014-02-18,28.2,28.38,27.99,28.21,1307781
2014-02-19,28.2,28.29,27.59,27.62,2339807
2014-02-20,27.69,27.86,27.5,27.8,1221696
2014-02-21,27.8,28.16,27.8,27.95,1262389
2014-02-24,27.96,28.28,27.93,27.97,1408005
2014-02-25,27.96,28.02,27.72,27.99,2423496
2014-02-26,28.0,28.05,27.84,27.99,1567407
2014-02-27,27.87,28.16,27.8,28.15,1538936
2014-02-28,28.15,28.21,27.8,27.94,2085343
2014-03-03,27.66,27.77,27.26,27.56,2642631
2014-03-04,27.97,28.28,27.85,28.22,2353508
2014-03-05,28.21,28.24,27.84,28.0,1086716
2014-03-06,28.03,28.39,27.97,28.03,1713825
2014-03-07,28.16,28.16,27.73,27.85,1214163
2014-03-10,27.83,27.84,27.5,27.58,1262519
2014-03-11,27.6,27.6,26.82,26.93,2448519
2014-03-12,26.75,26.87,26.64,26.71,1224107
2014-03-13,26.67,26.71,26.12,26.22,1695703
2014-03-14,26.24,26.43,26.18,26.33,1159193
2014-03-17,26.47,26.68,26.31,26.39,936832
2014-03-18,26.46,26.7,26.35,26.68,1382390
2014-03-19,26.74,26.78,26.4,26.55,1355179
2014-03-20,26.45,26.66,26.31,26.6,1128698
2014-03-21,27.49,27.49,26.87,27.15,2350823
2014-03-24,27.15,27.23,26.8,27.0,1154230
2014-03-25,27.11,27.26,26.96,27.19,1068313
2014-03-26,27.25,27.49,26.8,26.82,1463211
2014-03-27,26.75,26.85,26.53,26.73,1229119
2014-03-28,26.9,27.43,26.88,27.28,1281177
2014-03-31,27.56,28.11,27.48,28.0,2364287
2014-04-01,28.04,28.09,27.58,27.85,1337670
2014-04-02,27.93,27.94,27.69,27.73,1040162
2014-04-03,27.81,27.81,27.24,27.36,1171644
2014-04-04,27.5,27.6,26.99,27.03,1055455
2014-04-07,26.98,26.99,26.54,26.64,1719203
2014-04-08,26.62,26.66,26.25,26.37,1994432
2014-04-09,26.41,26.59,26.35,26.54,1945827
2014-04-10,26.54,26.84,26.18,26.39,2162779
2014-04-11,26.16,26.38,25.76,25.79,2314846
2014-04-14,25.98,26.11,25.54,25.81,2300895
2014-04-15,25.83,25.97,25.39,25.75,1246295
2014-04-16,25.97,26.1,25.74,26.0,1521788
2014-04-17,25.98,26.19,25.91,26.08,2584116
2014-04-21,26.1,26.24,25.94,26.04,1186328
2014-04-22,26.01,26.45,25.91,26.33,1445424
2014-04-23,26.32,26.41,26.17,26.25,795021
2014-04-24,26.35,26.4,26.08,26.21,806669
2014-04-25,26.15,26.24,25.69,25.71,957266
2014-04-28,25.84,25.98,25.12,25.39,1549356
2014-04-29,25.55,25.66,25.5,25.6,950954
2014-04-30,25.55,25.57,25.3,25.52,1071612
2014-05-01,25.5,25.7,25.43,25.63,678991
2014-05-02,25.63,26.08,25.59,25.76,1055846
2014-05-05,25.66,25.72,25.38,25.57,609468
2014-05-06,25.53,25.66,25.31,25.33,1139720
2014-05-07,25.39,25.69,25.26,25.68,1568721
2014-05-08,25.6,26.02,25.54,25.75,1218448
2014-05-09,26.05,26.05,25.45,25.6,1384839
2014-05-12,25.77,25.77,25.35,25.49,1415963
2014-05-13,25.46,25.62,25.38,25.49,1166890
2014-05-14,25.58,25.74,25.35,25.48,1404797
2014-05-15,25.46,25.55,25.06,25.16,1605090
2014-05-16,25.18,25.18,24.75,25.1,1214143
2014-05-19,25.0,25.14,24.85,25.09,1056227
2014-05-20,24.99,24.99,24.57,24.63,1663584
2014-05-21,24.67,24.88,24.52,24.57,1945978
2014-05-22,24.57,25.36,24.57,25.24,1463886
2014-05-23,25.22,25.53,25.16,25.41,938365
2014-05-27,25.6,25.91,25.53,25.85,1293128
2014-05-28,25.86,26.0,25.71,25.76,999941
2014-05-29,25.79,25.92,25.54,25.63,767465
2014-05-30,25.59,25.78,25.5,25.65,2206661
2014-06-02,25.69,25.85,25.45,25.5,751456
2014-06-03,25.45,25.47,25.0,25.0,1247777
2014-06-04,25.0,25.2,24.94,25.18,1302663
2014-06-05,25.23,25.72,25.04,25.64,1224737
2014-06-06,25.65,26.25,25.65,26.15,1169906
2014-06-09,26.12,26.47,26.07,26.3,1016082
2014-06-10,26.16,26.3,26.11,26.24,618356
2014-06-11,26.08,26.08,25.84,25.88,974080
2014-06-12,25.84,25.92,25.67,25.74,943813
2014-06-13,25.74,25.82,25.55,25.77,942526
2014-06-16,25.75,26.17,25.65,26.16,1427045
2014-06-17,26.14,26.56,25.93,26.53,4063121
2014-06-18,26.46,26.71,26.23,26.63,1969688
2014-06-19,26.63,26.72,26.38,26.68,1856634
2014-06-20,26.78,26.78,26.34,26.56,2629981
2014-06-23,26.54,26.67,26.31,26.5,1540275
2014-06-24,26.4,26.5,26.24,26.33,1522851
2014-06-25,26.19,26.51,26.18,26.42,1314471
2014-06-26,26.44,26.44,26.06,26.23,812303
2014-06-27,26.18,26.56,26.07,26.14,4339642
2014-06-30,26.14,26.33,25.98,26.22,1763501
2014-07-01,26.3,26.5,26.03,26.06,1656973
2014-07-02,25.97,26.03,25.67,25.76,1089879
2014-07-03,25.9,26.02,25.78,25.89,642278
2014-07-07,25.79,25.79,25.44,25.64,933572
2014-07-08,25.54,25.57,25.2,25.33,1084899
2014-07-09,25.37,25.57,25.36,25.53,1271656
2014-07-10,25.0,25.56,25.0,25.53,1135460
2014-07-11,25.5,25.52,25.21,25.47,1028555
2014-07-14,25.69,25.81,25.56,25.61,821366
2014-07-15,25.57,25.77,25.36,25.36,1195634
2014-07-16,25.45,25.57,25.24,25.29,1113036
