Date,Open,High,Low,Close,Volume
2013-01-02,65.02,65.73,64.9,65.12,196890
2013-01-03,65.14,65.86,65.14,65.44,274999
2013-01-04,65.52,65.75,65.3,65.71,148194
2013-01-07,65.72,65.98,65.36,65.8,133995
2013-01-08,65.81,66.0,65.37,65.65,123784
2013-01-09,65.73,65.99,65.58,65.73,168000
2013-01-10,65.85,65.85,65.39,65.73,189043
2013-01-11,65.1,65.14,64.54,65.14,166183
2013-01-14,65.29,65.93,65.01,65.8,252535
2013-01-15,65.76,66.19,65.64,66.13,176318
2013-01-16,66.01,66.12,65.69,65.92,209082
2013-01-17,66.15,66.28,65.8,65.94,145734
2013-01-18,65.93,66.01,65.61,65.82,134564
2013-01-22,65.94,66.18,65.81,65.98,193943
2013-01-23,66.41,66.74,66.12,66.67,220357
2013-01-24,66.9,66.95,66.23,66.5,153653
2013-01-25,66.72,66.76,65.94,66.2,195662
2013-01-28,66.2,66.37,65.86,66.13,196712
2013-01-29,66.32,66.7,66.0,66.69,212740
2013-01-30,66.44,66.57,65.9,66.0,178236
2013-01-31,66.11,66.11,65.05,65.37,218175
2013-02-01,65.72,66.0,65.5,65.8,263365
2013-02-04,65.72,66.27,65.63,65.81,343756
2013-02-05,65.99,66.05,65.12,65.15,195946
2013-02-06,65.15,65.94,64.76,65.42,390830
2013-02-07,67.27,67.27,65.43,65.43,362705
2013-02-08,66.22,67.2,65.9,66.48,371596
2013-02-11,66.56,67.67,66.54,67.26,347471
2013-02-12,67.29,67.49,66.92,67.4,146545
2013-02-13,67.7,67.86,67.1,67.41,128883
2013-02-14,67.23,67.86,67.23,67.56,406930
2013-02-15,67.67,68.18,67.62,67.85,216563
2013-02-19,68.09,68.8,68.08,68.8,240519
2013-02-20,68.83,69.41,68.73,68.8,371928
2013-02-21,69.19,69.29,68.66,68.96,472885
2013-02-22,68.91,69.69,68.8,69.39,340183
2013-02-25,69.54,69.6,68.77,68.78,257290
2013-02-26,68.96,69.44,68.54,69.14,225300
2013-02-27,69.36,70.16,69.1,69.55,282324
2013-02-28,69.5,69.77,69.3,69.44,542266
2013-03-01,69.53,70.06,68.95,69.89,490337
2013-03-04,69.74,69.86,69.06,69.18,575210
2013-03-05,69.54,69.61,68.84,69.06,369465
2013-03-06,69.39,69.39,68.65,68.75,462051
2013-03-07,69.07,69.42,68.28,68.39,363211
2013-03-08,68.58,68.85,68.07,68.21,356369
2013-03-11,68.24,68.36,67.76,68.36,320639
2013-03-12,68.32,68.41,67.7,67.77,223026
2013-03-13,68.0,68.22,67.45,68.13,290523
2013-03-14,68.35,69.56,68.18,69.53,330708
2013-03-15,69.28,70.07,69.09,70.02,360603
2013-03-18,69.69,70.84,69.63,70.68,527339
2013-03-19,70.68,70.82,69.89,70.22,423584
2013-03-20,70.38,70.5,69.61,69.77,578338
2013-03-21,69.62,70.16,69.01,69.02,383027
2013-03-22,69.33,69.37,68.31,68.75,480545
2013-03-25,68.95,69.34,68.5,68.75,252588
2013-03-26,68.87,69.25,68.82,69.21,252335
2013-03-27,68.99,69.26,68.84,69.02,155742
2013-03-28,69.11,69.5,68.8,69.06,280130
2013-04-01,69.06,69.56,68.96,69.21,574508
2013-04-02,69.64,69.96,69.39,69.45,295248
2013-04-03,69.66,69.84,69.22,69.4,299513
2013-04-04,69.68,70.48,69.42,70.32,341711
2013-04-05,70.01,71.14,69.76,71.07,371796
2013-04-08,71.07,71.34,70.81,71.28,196383
2013-04-09,71.49,72.04,70.99,71.57,304404
2013-04-10,71.12,71.59,70.56,70.59,233955
2013-04-11,69.88,70.64,69.76,69.9,468234
2013-04-12,69.83,70.1,69.67,69.85,301330
2013-04-15,70.0,70.16,68.78,68.78,448985
2013-04-16,69.13,69.45,68.91,69.39,241842
2013-04-17,68.05,68.81,68.01,68.27,320540
2013-04-18,68.45,68.64,68.18,68.33,208200
2013-04-19,68.55,68.84,68.34,68.72,211208
2013-04-22,68.87,68.87,68.22,68.6,201754
2013-04-23,68.83,68.88,68.23,68.76,148336
2013-04-24,68.79,69.06,68.48,68.6,399111
2013-04-25,68.71,68.81,67.93,68.45,165568
2013-04-26,68.46,68.66,67.97,67.97,293709
2013-04-29,68.31,68.84,68.13,68.7,395901
2013-04-30,68.7,69.08,68.43,68.73,478698
2013-05-01,68.18,68.81,68.03,68.36,410708
2013-05-02,68.63,68.85,68.15,68.8,476400
2013-05-03,69.27,69.92,69.11,69.83,445442
2013-05-06,69.82,70.86,69.7,70.79,361011
2013-05-07,70.72,71.29,70.61,71.24,235497
2013-05-08,71.23,71.62,70.99,71.61,232676
2013-05-09,71.91,71.91,71.3,71.65,203598
2013-05-10,71.72,72.04,71.38,71.98,204821
2013-05-13,72.1,72.53,71.79,72.4,176031
2013-05-14,72.39,73.03,72.39,73.01,282623
2013-05-15,72.97,73.32,72.66,73.2,286250
2013-05-16,73.03,73.68,73.03,73.59,233626
2013-05-17,73.87,74.19,73.62,73.92,598922
2013-05-20,74.07,74.41,73.86,74.41,357083
2013-05-21,74.6,74.94,74.16,74.29,594750
2013-05-22,74.18,74.7,72.89,73.27,263104
2013-05-23,72.5,72.82,71.74,71.96,319863
2013-05-24,71.82,72.21,71.2,72.06,132839
2013-05-28,72.45,72.65,70.86,70.94,240470
2013-05-29,70.24,70.46,68.55,69.6,231340
2013-05-30,69.67,70.04,68.55,68.67,156793
2013-05-31,68.59,69.14,67.92,67.97,306534
2013-06-03,65.76,67.23,65.07,65.89,2435722
2013-06-04,66.03,67.7,65.7,67.09,1219379
2013-06-05,67.25,67.25,66.29,66.77,500273
2013-06-06,66.69,67.21,66.08,67.02,449477
2013-06-07,67.02,67.02,65.06,65.81,540026
2013-06-10,66.03,66.11,65.35,65.55,246122
2013-06-11,65.26,65.53,64.56,64.69,545037
2013-06-12,65.11,65.19,64.01,64.23,1939551
2013-06-13,64.21,65.42,64.06,65.26,596648
2013-06-14,65.22,65.81,64.48,64.87,993111
2013-06-17,65.28,65.84,64.23,64.9,503282
2013-06-18,64.93,65.7,64.56,65.4,307634
2013-06-19,64.21,65.59,63.32,63.47,419721
2013-06-20,63.09,63.13,61.15,61.39,626666
2013-06-21,61.84,62.73,61.05,62.5,1088267
2013-06-24,61.84,63.41,60.88,62.88,719402
2013-06-25,63.45,65.35,62.91,65.1,706749
2013-06-26,65.53,66.5,65.45,66.13,679216
2013-06-27,66.39,67.41,66.1,67.41,529047
2013-06-28,67.04,68.3,66.65,67.77,1027336
2013-07-01,67.86,68.22,67.1,67.37,350147
2013-07-02,67.31,68.33,67.05,68.01,597782
2013-07-03,67.73,67.73,66.48,67.3,344454
2013-07-05,67.33,67.85,65.15,66.32,452957
2013-07-08,66.35,67.13,65.99,66.35,287234
2013-07-09,66.39,68.15,66.39,67.85,275153
2013-07-10,67.95,68.01,66.75,67.18,448149
2013-07-11,67.53,67.85,67.12,67.77,725248
2013-07-12,67.83,67.83,66.95,67.32,272393
2013-07-15,67.35,67.53,66.77,67.47,169732
2013-07-16,67.34,67.89,67.33,67.89,211874
2013-07-17,68.22,68.41,67.64,68.27,259403
2013-07-18,68.4,69.31,68.16,69.25,324819
2013-07-19,69.02,69.45,68.77,69.19,703023
2013-07-22,69.26,69.99,68.96,69.46,489521
2013-07-23,69.72,69.92,68.9,69.35,227093
2013-07-24,69.27,69.3,67.38,67.89,378685
2013-07-25,67.82,68.3,67.6,68.0,552222
2013-07-26,67.87,68.34,67.57,68.18,285884
2013-07-29,68.11,68.46,67.82,68.11,302718
2013-07-30,68.61,68.68,67.73,68.19,293060
2013-07-31,68.65,68.92,66.78,67.55,394219
2013-08-01,67.6,67.97,65.77,66.25,600686
2013-08-02,66.43,66.75,65.32,65.42,345519
2013-08-05,65.29,66.17,65.29,66.16,263943
2013-08-06,65.92,66.18,64.78,65.08,441250
2013-08-07,65.09,65.23,64.14,64.32,737543
2013-08-08,64.62,64.73,63.82,64.59,276687
2013-08-09,64.47,65.84,64.21,65.4,246005
2013-08-12,65.14,65.14,64.03,64.49,314040
2013-08-13,64.73,64.73,63.18,63.38,193470
2013-08-14,63.01,63.54,62.92,63.19,228392
2013-08-15,61.97,62.56,61.76,62.35,339826
2013-08-16,62.11,62.34,61.01,61.04,424898
2013-08-19,61.1,61.39,60.72,60.8,288643
