Date,Open,High,Low,Close,Volume
2013-01-02,11.96,12.42,11.92,12.27,13731220
2013-01-03,12.27,12.67,12.17,12.46,11209710
2013-01-04,12.45,12.69,12.44,12.64,9495856
2013-01-07,12.53,12.73,12.45,12.68,9185573
2013-01-08,12.84,13.05,12.71,12.95,20627027
2013-01-09,13.12,13.18,12.77,12.89,18146561
2013-01-10,12.85,12.86,12.32,12.67,25264695
2013-01-11,12.62,12.8,12.58,12.8,12463959
2013-01-14,12.72,12.83,12.6,12.75,9460807
2013-01-15,12.59,13.17,12.59,13.15,14773681
2013-01-16,13.01,13.11,12.85,12.98,11172500
2013-01-17,12.99,13.13,12.79,12.96,10358812
2013-01-18,12.83,12.93,12.76,12.89,6358699
2013-01-22,12.86,13.08,12.77,13.06,9676338
2013-01-23,13.07,13.11,12.86,12.94,7710367
2013-01-24,12.92,13.11,12.86,12.97,8958189
2013-01-25,13.03,13.11,12.9,13.0,10625113
2013-01-28,13.04,13.29,12.81,12.98,14560852
2013-01-29,12.66,12.79,12.5,12.62,17035118
2013-01-30,12.52,12.82,12.52,12.57,10478467
2013-01-31,12.71,12.8,12.6,12.77,10085307
2013-02-01,12.78,13.01,12.7,12.96,8688564
2013-02-04,12.84,12.98,12.7,12.77,7370866
2013-02-05,12.79,13.08,12.74,12.97,7602627
2013-02-06,12.8,13.02,12.76,12.99,10371987
2013-02-07,12.92,13.05,12.74,12.94,11812314
2013-02-08,12.99,13.56,12.96,13.51,20787412
2013-02-11,13.5,13.59,13.02,13.05,16176593
2013-02-12,13.05,13.36,13.03,13.32,9386695
2013-02-13,13.45,13.47,13.24,13.34,7762187
2013-02-14,13.24,13.3,13.18,13.29,5536626
2013-02-15,13.23,13.33,12.83,12.88,13288301
2013-02-19,12.92,12.96,12.62,12.74,20403797
2013-02-20,12.91,13.14,12.51,12.54,15965395
2013-02-21,12.5,12.5,12.01,12.37,16902673
2013-02-22,12.41,12.51,12.26,12.42,9889461
2013-02-25,12.55,12.77,12.13,12.19,12155166
2013-02-26,12.22,12.29,11.94,12.11,10202941
2013-02-27,12.17,12.5,12.16,12.48,9969473
2013-02-28,12.44,12.7,12.4,12.49,7704098
2013-03-01,12.42,12.59,12.33,12.43,7233727
2013-03-04,12.37,12.42,12.0,12.16,12993500
2013-03-05,12.24,12.38,12.06,12.09,8866685
2013-03-06,12.15,12.35,12.11,12.21,7800436
2013-03-07,12.34,12.55,12.3,12.44,7743019
2013-03-08,12.53,12.56,12.32,12.37,7811237
2013-03-11,12.43,12.61,12.33,12.45,7624624
2013-03-12,12.43,12.47,12.3,12.35,3692869
2013-03-13,12.37,12.49,12.26,12.41,4092898
2013-03-14,12.44,13.5,12.41,13.25,47074132
2013-03-15,13.16,13.22,12.98,13.16,17270771
