Date,Open,High,Low,Close,Volume
2013-01-02,92.48,93.57,92.03,93.17,991057
2013-01-03,93.0,94.15,92.66,93.27,808982
2013-01-04,93.32,94.09,93.15,93.52,700687
2013-01-07,93.43,93.73,92.36,92.74,585126
2013-01-08,92.71,93.39,91.3,93.3,854217
2013-01-09,93.71,94.78,93.46,94.53,731423
2013-01-10,95.0,95.0,93.38,94.43,912358
2013-01-11,94.85,95.61,93.72,94.23,387388
2013-01-14,94.17,94.82,93.59,94.08,455041
2013-01-15,93.45,94.32,93.45,94.16,564750
2013-01-16,93.86,94.57,93.43,93.6,186255
2013-01-17,95.11,97.05,94.69,96.88,839761
2013-01-18,97.19,97.29,95.38,96.3,376649
2013-01-22,98.47,98.47,96.7,97.15,538589
2013-01-23,97.0,98.85,96.94,98.83,559725
2013-01-24,98.4,101.2,98.4,100.7,1208862
2013-01-25,100.96,102.52,100.13,102.47,749827
2013-01-28,102.47,103.93,102.14,102.77,754400
2013-01-29,103.67,104.82,102.74,104.56,657620
2013-01-30,104.75,105.26,101.69,101.99,747050
2013-01-31,101.5,102.34,100.63,101.66,630933
2013-02-01,102.65,105.0,102.31,102.42,658351
2013-02-04,101.46,103.18,101.4,102.27,324891
2013-02-05,103.26,103.95,102.35,103.15,450585
2013-02-06,102.74,103.17,101.73,102.71,388046
2013-02-07,103.17,103.17,100.52,101.74,720971
2013-02-08,101.73,103.27,101.73,103.11,353622
2013-02-11,103.04,104.99,102.86,104.84,645477
2013-02-12,104.91,107.21,104.76,106.38,557782
2013-02-13,106.48,107.64,105.99,107.57,689895
2013-02-14,107.34,108.8,106.86,107.05,448157
2013-02-15,107.03,108.92,107.03,107.8,656210
2013-02-19,107.76,109.3,106.92,108.78,516412
2013-02-20,108.5,108.7,103.45,103.5,1440013
2013-02-21,104.0,105.0,100.96,102.21,1759249
2013-02-22,102.22,107.01,102.11,106.74,2146874
2013-02-25,107.6,107.99,101.26,101.5,1435004
2013-02-26,101.71,104.87,101.41,104.61,858275
2013-02-27,104.52,107.52,104.34,106.15,772061
2013-02-28,106.13,107.96,105.71,106.02,769506
2013-03-01,105.08,107.39,104.28,106.43,802165
2013-03-04,105.96,109.22,105.96,108.05,1052376
2013-03-05,108.24,110.5,108.24,110.25,1020981
2013-03-06,110.54,111.86,110.13,111.36,941216
2013-03-07,111.28,112.25,110.77,111.96,621263
2013-03-08,113.15,113.73,111.23,112.3,566798
2013-03-11,112.2,113.45,112.09,112.77,676879
2013-03-12,112.75,112.92,111.74,112.49,660143
2013-03-13,112.5,113.27,112.11,112.59,733857
2013-03-14,112.74,113.54,112.39,113.52,752669
2013-03-15,113.3,114.16,112.75,113.62,1276218
