Date,Open,High,Low,Close,Volume
2013-01-02,32.08,32.1,31.4,32.0,6321206
2013-01-03,31.95,32.0,30.98,31.11,7296822
2013-01-04,31.2,31.57,30.5,31.28,6589098
2013-01-07,31.04,31.04,30.02,30.12,11086844
2013-01-08,30.22,30.86,30.14,30.78,9827382
2013-01-09,31.03,31.33,30.88,31.21,7302024
2013-01-10,31.44,31.5,31.02,31.4,6480962
2013-01-11,31.35,31.49,30.85,31.0,6742668
2013-01-14,31.1,31.32,30.95,31.31,4476226
2013-01-15,31.16,32.22,31.1,32.13,5688752
2013-01-16,32.0,32.68,31.98,32.37,5763442
2013-01-17,32.6,33.04,32.52,32.69,7049776
2013-01-18,32.84,32.96,31.95,32.6,7196984
2013-01-22,32.63,33.82,32.57,33.56,6046464
2013-01-23,33.62,34.04,33.26,33.79,7568088
2013-01-24,33.78,34.54,33.78,34.32,5068168
2013-01-25,34.44,34.5,34.05,34.34,4656824
2013-01-28,34.28,34.59,33.31,34.32,5798336
2013-01-29,35.0,36.21,34.93,35.98,11115036
2013-01-30,36.55,36.7,35.44,36.44,10041986
2013-01-31,36.34,37.5,36.2,37.1,8100404
2013-02-01,37.52,38.2,37.28,38.1,7499770
2013-02-04,37.83,38.61,37.72,38.4,7423820
2013-02-05,38.66,38.7,38.08,38.34,8406454
2013-02-06,38.26,39.18,38.26,38.9,6358906
2013-02-07,38.98,39.56,38.7,39.51,8834286
2013-02-08,39.78,41.04,39.78,40.72,8354446
2013-02-11,40.86,41.25,40.54,40.84,7027128
2013-02-12,40.89,41.0,40.12,40.44,6500644
2013-02-13,40.38,40.95,40.23,40.84,4563476
2013-02-14,40.59,41.88,40.46,41.58,5921190
2013-02-15,41.4,41.59,40.76,41.28,5679968
2013-02-19,41.52,42.14,41.28,42.1,8598254
2013-02-20,42.03,42.32,40.02,40.12,9563334
2013-02-21,39.94,40.6,38.83,40.3,10590600
2013-02-22,40.65,40.8,39.98,40.76,5221710
2013-02-25,40.87,41.47,39.62,39.64,5922546
2013-02-26,39.7,40.33,39.16,40.28,5783066
2013-02-27,40.19,41.63,40.09,41.37,5972972
2013-02-28,41.32,41.93,41.28,41.44,4813234
2013-03-01,41.17,42.5,41.17,42.5,6742068
2013-03-04,42.4,44.98,42.36,44.9,11789466
2013-03-05,45.04,45.24,43.85,44.38,12052414
2013-03-06,44.62,44.84,44.13,44.27,5950438
2013-03-07,44.3,44.51,43.64,44.14,7404188
2013-03-08,44.52,44.7,43.82,44.51,7495980
