Date,Open,High,Low,Close,Volume
2013-01-02,31.43,31.65,31.03,31.65,5298250
2013-01-03,31.56,31.93,31.37,31.59,3656435
2013-01-04,31.52,32.01,31.52,32.01,3451332
2013-01-07,31.81,32.1,31.64,31.85,4782341
2013-01-08,31.77,32.0,31.5,31.94,3448671
2013-01-09,32.0,32.07,31.48,31.65,3178052
2013-01-10,31.87,32.39,31.85,32.28,4424746
2013-01-11,32.29,32.46,31.89,32.15,3339511
2013-01-14,32.1,32.26,31.81,32.06,3309420
2013-01-15,31.82,32.06,31.6,31.93,4484714
2013-01-16,31.85,32.38,31.57,32.32,5637437
2013-01-17,32.52,33.36,32.42,33.16,7179776
2013-01-18,32.94,33.33,32.7,33.08,5107525
2013-01-22,33.1,33.55,32.8,33.54,5088737
2013-01-23,33.46,33.77,33.33,33.66,4657437
2013-01-24,33.73,34.25,33.66,33.77,5171828
2013-01-25,33.89,34.05,33.59,33.78,4062979
2013-01-28,33.96,33.96,33.19,33.52,3983749
2013-01-29,33.58,34.0,33.38,33.93,4309595
2013-01-30,33.97,34.2,33.47,33.55,4465040
2013-01-31,33.41,33.79,33.12,33.61,4851422
2013-02-01,33.89,34.24,33.61,34.21,5310219
2013-02-04,33.97,34.26,33.75,34.17,4646881
2013-02-05,34.33,34.72,34.21,34.72,7008259
2013-02-06,33.88,34.45,33.75,34.4,9432562
2013-02-07,34.2,34.49,33.48,34.0,4927486
2013-02-08,34.11,34.53,34.04,34.53,5660341
2013-02-11,34.57,34.73,34.17,34.31,4660189
2013-02-12,34.37,34.68,34.17,34.61,5129802
2013-02-13,34.67,35.0,34.66,34.96,5097323
2013-02-14,34.85,35.42,34.78,35.34,5101535
2013-02-15,35.22,35.37,34.17,34.66,7522819
2013-02-19,34.98,35.86,34.93,35.71,8169333
2013-02-20,35.67,35.72,34.54,34.57,5735238
2013-02-21,34.46,34.56,33.91,34.38,7724846
2013-02-22,34.51,34.87,34.15,34.71,5303079
2013-02-25,34.94,34.96,32.94,32.94,8732707
2013-02-26,33.06,33.17,32.2,32.86,7128920
2013-02-27,32.84,33.55,32.8,33.42,4463628
2013-02-28,33.47,33.92,33.37,33.5,4419864
2013-03-01,33.3,33.33,32.58,32.89,6030066
2013-03-04,32.75,32.79,32.15,32.37,5221772
2013-03-05,32.46,32.76,32.09,32.54,5021206
2013-03-06,32.74,32.88,32.5,32.75,3847437
2013-03-07,32.85,33.44,32.72,33.34,5380285
2013-03-08,33.61,33.76,33.41,33.51,5065652
2013-03-11,33.35,33.82,33.18,33.72,3193213
2013-03-12,33.71,34.15,33.56,34.07,3689311
2013-03-13,34.06,34.42,33.99,34.37,3746744
2013-03-14,34.49,34.85,34.45,34.76,3867426
2013-03-15,34.61,35.25,34.58,35.07,5770598
2013-03-18,34.62,35.27,34.49,34.98,4470192
2013-03-19,34.87,35.02,33.71,33.96,7438031
2013-03-20,34.45,34.72,34.12,34.6,5672482
2013-03-21,34.43,34.66,34.15,34.15,3846943
2013-03-22,34.33,34.44,34.05,34.16,3485279
2013-03-25,34.37,34.43,33.57,33.72,5086984
2013-03-26,33.96,34.23,33.88,34.07,3598805
2013-03-27,33.93,34.1,33.5,34.01,3431385
2013-03-28,33.96,34.16,33.64,33.72,4429331
2013-04-01,33.82,33.9,33.38,33.6,2652312
2013-04-02,33.64,33.9,33.42,33.57,3475063
2013-04-03,33.87,33.95,33.07,33.19,5923151
2013-04-04,33.11,33.15,32.42,32.69,5019106
2013-04-05,32.1,32.69,31.84,32.48,4739811
2013-04-08,32.52,32.94,32.42,32.84,3224786
2013-04-09,32.97,33.6,32.81,33.47,3187782
2013-04-10,33.54,33.99,33.48,33.91,4784803
2013-04-11,33.98,34.12,33.74,33.8,4022922
2013-04-12,33.5,33.57,32.25,32.54,6103861
2013-04-15,32.1,32.1,30.62,30.62,7589440
2013-04-16,31.1,31.33,30.53,31.06,5592584
2013-04-17,30.71,30.76,29.7,29.99,6266080
2013-04-18,30.17,30.54,29.74,30.11,5150117
2013-04-19,30.19,30.42,29.7,29.85,5005818
2013-04-22,29.87,30.54,29.47,30.4,5123229
2013-04-23,30.5,30.94,30.21,30.69,6130973
2013-04-24,30.81,31.47,30.76,31.37,5493071
2013-04-25,31.51,32.48,31.35,31.87,6820402
2013-04-26,31.81,32.02,31.33,31.72,4695448
2013-04-29,32.26,32.64,31.86,32.6,4865343
2013-04-30,32.56,32.78,32.29,32.67,4789078
2013-05-01,32.3,32.31,31.78,31.89,5256823
2013-05-02,31.97,32.55,31.81,32.46,4213448
2013-05-03,32.76,33.6,32.75,33.53,6622774
2013-05-06,33.47,33.83,33.18,33.58,4711254
2013-05-07,33.96,34.36,33.66,34.33,6092448
2013-05-08,34.68,34.96,34.1,34.72,7150283
2013-05-09,34.73,35.0,34.05,34.78,5648091
2013-05-10,34.65,34.65,33.94,34.35,5640010
2013-05-13,34.19,34.56,34.1,34.46,5414200
2013-05-14,34.35,35.43,34.35,35.38,5887296
2013-05-15,35.19,35.19,34.46,35.0,4831562
2013-05-16,34.9,35.48,34.85,35.15,5597123
2013-05-17,35.31,36.24,35.3,36.15,5203804
2013-05-20,36.11,36.68,36.08,36.38,5169725
2013-05-21,36.34,36.62,35.87,36.09,4558661
2013-05-22,36.03,36.46,35.13,35.39,6155022
2013-05-23,34.86,35.41,34.61,35.23,5938053
2013-05-24,34.86,35.16,34.66,35.15,3220121
2013-05-28,35.63,35.77,35.2,35.48,3764278
2013-05-29,35.23,35.64,35.01,35.46,3820074
2013-05-30,35.38,35.44,34.95,35.15,5438804
2013-05-31,35.04,35.2,34.39,34.39,4505013
2013-06-03,34.61,35.48,34.49,35.46,5386892
2013-06-04,35.34,35.5,34.58,34.94,5578264
2013-06-05,34.88,34.91,34.03,34.05,4579458
2013-06-06,34.14,34.63,33.84,34.63,3286914
2013-06-07,34.85,35.23,34.55,34.73,3967519
2013-06-10,35.08,35.12,34.6,34.71,4468444
2013-06-11,34.23,34.46,33.91,34.03,2381525
2013-06-12,34.43,34.43,33.36,33.4,4696689
2013-06-13,33.38,34.5,33.35,34.37,5527836
2013-06-14,34.29,34.57,34.06,34.38,3987697
2013-06-17,34.71,35.22,34.58,34.99,4742214
