Date,Open,High,Low,Close,Volume
2013-01-02,12.56,12.73,12.51,12.72,11971086
2013-01-03,12.72,12.87,12.58,12.73,7472170
2013-01-04,12.75,13.19,12.71,13.15,13126573
2013-01-07,13.14,13.18,12.68,12.77,15271979
2013-01-08,12.8,12.84,12.4,12.49,11660601
2013-01-09,12.59,12.65,12.13,12.21,17378194
2013-01-10,12.32,12.38,12.16,12.23,12659713
2013-01-11,12.28,12.29,12.09,12.21,12830356
2013-01-14,12.29,12.29,12.06,12.2,7642898
2013-01-15,12.14,12.14,11.91,11.98,9398987
2013-01-16,11.96,12.19,11.96,12.09,8434492
2013-01-17,12.13,12.3,12.1,12.25,14521240
2013-01-18,12.25,12.25,12.02,12.17,9927631
2013-01-22,12.16,12.27,12.05,12.11,7705529
2013-01-23,12.15,12.16,12.0,12.13,10550723
2013-01-24,12.09,12.24,12.03,12.19,9927094
2013-01-25,12.21,12.42,12.15,12.41,9847955
2013-01-28,12.47,12.69,12.44,12.61,10562206
2013-01-29,12.56,12.59,12.29,12.34,9726200
2013-01-30,12.35,12.52,12.28,12.32,7190518
2013-01-31,12.32,12.46,12.18,12.26,11766209
2013-02-01,12.36,12.41,12.26,12.37,7220623
2013-02-04,12.3,12.55,12.15,12.16,12794096
2013-02-05,12.22,12.51,12.18,12.44,9183706
2013-02-06,12.14,12.44,12.07,12.34,13270448
2013-02-07,12.3,12.4,12.17,12.29,11004032
2013-02-08,12.37,12.47,12.29,12.37,7681286
2013-02-11,12.47,12.64,12.35,12.51,10207999
2013-02-12,12.4,12.56,12.38,12.43,6945765
2013-02-13,12.44,12.66,12.33,12.37,21409819
2013-02-14,12.2,12.74,12.05,12.73,22051335
2013-02-15,12.7,12.79,12.45,12.73,18346864
2013-02-19,12.74,12.75,12.48,12.56,10838822
2013-02-20,12.6,12.8,12.34,12.38,17826467
2013-02-21,12.36,12.5,12.26,12.29,14510133
2013-02-22,12.37,12.53,12.3,12.52,9253663
2013-02-25,12.55,12.65,12.28,12.3,16111033
2013-02-26,12.25,12.44,12.21,12.37,12187603
2013-02-27,12.37,12.69,12.34,12.6,11924412
2013-02-28,12.56,12.85,12.51,12.66,14784838
2013-03-01,12.57,12.75,12.46,12.71,9734824
2013-03-04,12.62,12.78,12.52,12.66,8842214
2013-03-05,12.73,12.82,12.66,12.8,9154994
2013-03-06,12.88,13.0,12.73,12.79,8573183
2013-03-07,12.86,12.99,12.69,12.76,7875550
2013-03-08,12.79,12.88,12.73,12.82,6162082
2013-03-11,12.69,12.75,12.59,12.7,7493637
2013-03-12,12.68,12.78,12.56,12.74,7771397
2013-03-13,12.74,12.96,12.62,12.74,12145998
2013-03-14,12.82,12.86,12.67,12.75,9582541
2013-03-15,12.75,12.75,12.59,12.64,8894808
2013-03-18,12.56,12.67,12.46,12.55,7457792
2013-03-19,12.56,12.62,12.38,12.47,8886910
2013-03-20,12.59,12.66,12.48,12.62,8514701
2013-03-21,12.55,12.57,12.4,12.42,8475952
2013-03-22,12.46,12.53,12.41,12.48,5811849
2013-03-25,12.55,12.56,12.32,12.41,9052001
2013-03-26,12.44,12.51,12.39,12.5,5814096
2013-03-27,12.45,12.72,12.42,12.65,6373761
2013-03-28,12.62,12.84,12.53,12.83,8731828
2013-04-01,12.8,12.8,12.32,12.41,11070735
2013-04-02,12.42,12.45,12.2,12.28,9288174
2013-04-03,12.26,12.33,12.04,12.13,8828846
2013-04-04,12.09,12.29,12.05,12.24,7368250
2013-04-05,12.07,12.46,12.04,12.46,13783874
2013-04-08,12.47,12.47,12.2,12.43,8166419
2013-04-09,12.44,12.72,12.35,12.63,9514723
2013-04-10,12.64,12.85,12.61,12.83,9617104
2013-04-11,12.65,12.85,12.3,12.77,24230658
2013-04-12,12.83,13.23,12.72,13.09,19264253
2013-04-15,13.05,13.09,12.74,12.82,10761667
2013-04-16,12.94,13.05,12.87,12.96,11721127
2013-04-17,12.86,12.98,12.71,12.78,13325330
2013-04-18,12.82,12.9,12.54,12.54,10063689
2013-04-19,12.53,12.6,12.37,12.57,7575797
2013-04-22,12.56,12.7,12.46,12.59,6139119
2013-04-23,12.7,13.05,12.68,12.92,9425441
2013-04-24,12.96,13.47,12.95,13.36,13914793
2013-04-25,13.43,13.5,13.31,13.47,8830661
2013-04-26,13.45,13.47,13.34,13.41,8108769
2013-04-29,13.43,13.62,13.37,13.57,6742750
