Date,Open,High,Low,Close,Volume
2013-01-02,12.22,12.44,12.22,12.44,3251461
2013-01-03,12.45,12.53,12.35,12.48,2626798
2013-01-04,12.53,12.68,12.5,12.6,1792442
2013-01-07,12.53,12.61,12.45,12.56,1593562
2013-01-08,12.57,12.6,12.46,12.56,2121328
2013-01-09,12.58,12.65,12.53,12.57,1660032
2013-01-10,12.6,12.66,12.51,12.61,2219708
2013-01-11,12.67,12.67,12.48,12.59,1651867
2013-01-14,12.61,12.7,12.54,12.66,1970290
2013-01-15,12.65,12.71,12.6,12.66,1495536
2013-01-16,12.58,12.7,12.51,12.64,1775838
2013-01-17,12.64,12.75,12.61,12.71,1839693
2013-01-18,12.72,12.72,12.22,12.39,7390237
2013-01-22,12.36,12.54,12.3,12.54,4244311
2013-01-23,12.56,12.66,12.47,12.49,7177511
2013-01-24,12.53,12.55,12.4,12.51,3334865
2013-01-25,12.56,12.6,12.38,12.47,9000991
2013-01-28,12.53,12.59,12.48,12.51,7124627
2013-01-29,12.55,12.62,12.5,12.56,7605937
2013-01-30,12.42,12.46,12.32,12.35,3953577
2013-01-31,12.32,12.4,12.28,12.32,5043705
2013-02-01,12.38,12.52,12.35,12.51,2566533
2013-02-04,12.49,12.53,12.39,12.4,3214018
2013-02-05,12.46,12.59,12.42,12.53,3213283
2013-02-06,12.46,12.58,12.44,12.56,4900891
2013-02-07,12.59,12.63,12.48,12.52,2695702
2013-02-08,12.51,12.58,12.51,12.55,1623927
2013-02-11,12.54,12.63,12.54,12.59,2543178
2013-02-12,12.62,12.82,12.57,12.78,2615450
2013-02-13,12.83,12.9,12.82,12.86,2166220
2013-02-14,12.84,12.91,12.79,12.91,2742914
2013-02-15,12.96,12.99,12.87,12.95,4768241
2013-02-19,13.0,13.12,12.95,13.07,2512963
2013-02-20,13.08,13.1,12.99,12.99,2265891
2013-02-21,12.96,13.01,12.87,12.9,2485438
2013-02-22,12.93,12.98,12.9,12.94,1967644
2013-02-25,13.0,13.03,12.85,12.85,3988159
2013-02-26,12.85,12.92,12.8,12.87,2215549
2013-02-27,12.88,13.03,12.81,13.01,1854149
2013-02-28,12.98,13.15,12.94,13.1,3967541
2013-03-01,13.07,13.24,12.99,13.24,4112976
2013-03-04,13.26,13.26,13.16,13.21,3741685
2013-03-05,13.24,13.3,13.18,13.21,3110249
2013-03-06,13.22,13.28,13.17,13.23,2566858
2013-03-07,13.22,13.28,13.2,13.24,2032434
2013-03-08,13.27,13.3,13.2,13.29,1978471
2013-03-11,13.29,13.32,13.24,13.31,2417976
2013-03-12,13.3,13.34,13.25,13.27,2702026
2013-03-13,13.31,13.35,13.23,13.3,3236640
2013-03-14,13.3,13.46,13.3,13.43,2624975
2013-03-15,13.43,13.56,13.43,13.55,4445451
2013-03-18,13.45,13.58,13.41,13.52,2754372
