Date,Open,High,Low,Close,Volume
2013-01-02,30.9,31.15,30.68,30.93,2864059
2013-01-03,30.99,31.13,30.85,30.93,1948331
2013-01-04,30.96,31.09,30.93,31.06,1489725
2013-01-07,30.97,30.97,30.48,30.62,1490061
2013-01-08,30.53,30.72,30.39,30.46,3733297
2013-01-09,30.56,30.56,30.03,30.1,3320552
2013-01-10,30.23,30.3,29.98,30.14,3642022
2013-01-11,30.22,30.22,29.94,30.12,2268854
2013-01-14,30.2,30.23,29.95,30.01,1757196
2013-01-15,29.99,30.05,29.76,29.97,3854091
2013-01-16,29.91,29.94,29.7,29.78,2220231
2013-01-17,29.88,29.99,29.7,29.79,2478821
2013-01-18,29.91,29.99,29.7,29.83,3316903
2013-01-22,29.83,30.42,29.83,30.35,3070818
2013-01-23,30.31,30.35,30.13,30.14,2305627
2013-01-24,30.2,30.39,30.13,30.28,1901461
2013-01-25,30.39,30.53,30.2,30.53,3144359
2013-01-28,30.54,30.68,30.28,30.68,3284304
2013-01-29,30.64,31.09,30.58,30.92,2767893
2013-01-30,30.96,31.05,30.82,30.88,2232032
2013-01-31,30.87,31.2,30.87,31.18,2884838
2013-02-01,31.2,31.33,31.1,31.17,1990349
2013-02-04,31.05,31.26,31.01,31.15,3035944
2013-02-05,31.23,31.3,30.97,30.99,2256105
2013-02-06,30.92,31.24,30.78,31.2,2504758
2013-02-07,31.24,31.76,31.05,31.54,4650991
2013-02-08,31.47,31.54,31.19,31.43,1884964
2013-02-11,31.43,31.55,31.34,31.54,1293859
2013-02-12,31.49,31.6,31.26,31.51,1675790
2013-02-13,31.56,31.69,31.41,31.5,1719853
2013-02-14,31.39,31.57,31.07,31.12,2778609
2013-02-15,31.25,31.37,31.09,31.09,3218462
2013-02-19,31.16,31.64,31.16,31.41,3325277
2013-02-20,31.4,31.65,31.26,31.29,4363138
2013-02-21,31.3,31.98,31.3,31.74,4253169
2013-02-22,31.82,32.17,31.79,32.16,7800236
2013-02-25,32.27,32.65,31.97,31.97,11652389
2013-02-26,32.15,32.36,32.03,32.16,11912953
2013-02-27,32.21,32.7,32.11,32.67,2786488
2013-02-28,32.64,32.76,32.46,32.59,3388536
2013-03-01,32.57,32.85,32.32,32.85,3758794
2013-03-04,32.88,33.44,32.73,33.21,3481110
2013-03-05,33.34,33.61,33.32,33.45,2995307
2013-03-06,33.08,33.13,32.85,32.95,2267254
2013-03-07,32.97,33.17,32.65,32.67,2790372
2013-03-08,32.7,32.78,32.52,32.69,2299779
2013-03-11,32.68,32.92,32.62,32.86,1689894
2013-03-12,32.8,32.95,32.61,32.76,1790704
2013-03-13,32.77,32.98,32.63,32.81,1928131
2013-03-14,32.86,33.0,32.69,32.95,3508252
2013-03-15,32.83,33.28,32.72,33.28,3285050
2013-03-18,33.13,33.3,32.95,33.12,1808556
2013-03-19,33.23,33.32,32.96,33.15,2478181
2013-03-20,33.31,33.64,33.25,33.56,2451169
2013-03-21,33.46,33.62,33.35,33.42,2143084
2013-03-22,33.42,33.62,33.31,33.41,1694683
2013-03-25,33.52,33.73,33.13,33.28,2160194
2013-03-26,33.43,33.65,33.37,33.59,2140026
2013-03-27,33.44,33.73,33.33,33.69,1257382
2013-03-28,33.82,34.37,33.69,34.34,3456017
2013-04-01,34.29,34.33,34.01,34.18,1994530
2013-04-02,34.3,34.39,34.11,34.23,1438846
2013-04-03,34.25,34.41,34.17,34.26,2061957
2013-04-04,34.34,34.6,34.33,34.55,2122598
2013-04-05,34.35,34.58,34.31,34.51,2041595
2013-04-08,34.17,34.55,34.12,34.54,2774256
2013-04-09,34.6,34.74,34.47,34.56,1746431
2013-04-10,34.68,35.0,34.55,34.95,1801056
2013-04-11,34.98,35.08,34.84,34.96,2573312
2013-04-12,34.9,35.14,34.89,35.06,2685347
2013-04-15,34.99,35.22,34.71,34.71,2680943
2013-04-16,34.84,35.11,34.5,35.04,2584530
2013-04-17,35.02,35.21,34.76,35.11,2734606
2013-04-18,35.17,35.42,34.92,35.38,2362018
2013-04-19,35.5,35.93,35.4,35.9,2491776
2013-04-22,35.9,35.93,35.63,35.8,1611779
2013-04-23,35.89,35.89,35.4,35.81,3345671
2013-04-24,35.87,36.17,35.7,35.89,2139104
2013-04-25,36.05,36.34,35.88,36.1,2022201
2013-04-26,36.08,36.36,36.01,36.12,1953394
2013-04-29,36.28,36.6,36.18,36.43,1591233
2013-04-30,36.46,36.89,36.04,36.61,3151386
2013-05-01,36.67,37.0,36.57,36.59,2045108
2013-05-02,36.67,36.7,36.3,36.47,2644543
2013-05-03,36.59,36.79,36.19,36.29,3369150
2013-05-06,36.23,36.28,35.43,35.43,2643197
2013-05-07,35.53,35.88,35.38,35.81,3280511
2013-05-08,35.73,35.94,35.09,35.31,3215680
2013-05-09,35.32,35.41,34.72,34.82,2727289
2013-05-10,34.82,34.85,34.52,34.81,1563807
2013-05-13,34.64,34.9,34.34,34.57,2060067
2013-05-14,34.53,34.85,34.5,34.75,2011247
2013-05-15,34.75,35.17,34.49,34.89,2453124
2013-05-16,34.84,34.93,34.57,34.65,1884423
2013-05-17,34.75,35.09,34.64,35.07,2692224
2013-05-20,35.05,35.15,34.72,34.84,1650633
2013-05-21,34.83,34.97,34.39,34.77,2927351
2013-05-22,34.75,35.12,34.12,34.3,2922233
2013-05-23,34.04,34.19,33.51,34.05,2169207
2013-05-24,33.91,34.03,33.68,33.89,1895931
2013-05-28,34.25,34.76,33.87,34.02,4362661
2013-05-29,33.79,33.84,32.86,33.3,3318041
2013-05-30,33.45,34.01,33.33,33.35,2885900
2013-05-31,33.22,33.64,33.04,33.04,3591487
2013-06-03,33.02,33.34,32.6,33.09,3887474
2013-06-04,33.03,33.05,32.66,32.84,3991754
2013-06-05,32.51,32.51,32.0,32.12,4297415
2013-06-06,32.14,32.7,32.1,32.7,2884260
2013-06-07,32.71,32.93,32.36,32.68,2193473
2013-06-10,32.76,32.77,32.39,32.5,2171541
2013-06-11,32.26,32.62,32.22,32.4,1810016
2013-06-12,32.56,32.66,31.97,32.07,3124545
2013-06-13,32.06,32.62,32.06,32.58,2903790
2013-06-14,32.58,32.88,32.56,32.63,1597174
2013-06-17,32.8,33.15,32.71,32.98,3132336
2013-06-18,32.97,33.22,32.87,33.19,1993196
2013-06-19,33.1,33.21,32.35,32.35,2272916
2013-06-20,32.17,32.25,31.12,31.21,4112313
2013-06-21,31.47,31.76,31.02,31.67,4252814
2013-06-24,31.47,32.14,31.1,31.85,3004619
2013-06-25,32.08,32.43,31.78,32.28,2291973
2013-06-26,32.51,33.0,32.41,32.9,2962117
2013-06-27,33.01,33.18,32.58,32.65,2485579
2013-06-28,32.77,33.05,32.43,32.66,8913788
2013-07-01,32.77,32.86,31.8,31.85,3552413
2013-07-02,31.8,32.1,31.66,31.84,2916295
2013-07-03,31.72,31.96,31.62,31.8,1103623
2013-07-05,31.88,31.93,31.32,31.66,2129185
2013-07-08,31.82,32.39,31.81,32.27,2566342
2013-07-09,32.42,32.6,32.23,32.27,2319384
2013-07-10,32.28,32.48,32.06,32.41,1881351
2013-07-11,32.78,33.09,32.59,33.03,2773196
2013-07-12,33.02,33.22,32.83,33.16,1577110
2013-07-15,33.1,33.91,33.04,33.91,2230182
2013-07-16,33.92,33.99,33.59,33.65,2129905
2013-07-17,33.83,33.88,33.49,33.66,1261241
2013-07-18,33.49,34.2,33.49,34.16,1872816
2013-07-19,34.31,34.37,33.99,34.22,1985776
2013-07-22,34.3,34.4,34.15,34.19,972367
2013-07-23,34.18,34.66,34.06,34.47,1912959
2013-07-24,34.45,34.45,33.59,33.82,1577371
2013-07-25,33.72,34.12,33.72,34.1,1396821
2013-07-26,33.91,34.32,33.77,34.32,1637552
2013-07-29,34.14,34.36,34.1,34.25,2388316
2013-07-30,34.49,34.79,34.05,34.24,2044167
2013-07-31,34.2,34.25,33.51,33.79,2998837
2013-08-01,33.94,34.39,33.91,34.34,2371303
2013-08-02,34.33,34.53,34.08,34.53,2018018
2013-08-05,34.39,34.39,34.13,34.15,1593013
2013-08-06,34.07,34.13,33.61,33.71,2381303
2013-08-07,33.52,33.89,33.41,33.77,2112978
2013-08-08,33.91,34.16,33.72,34.07,1951156
2013-08-09,34.1,34.23,33.86,33.92,1966494
2013-08-12,33.78,34.0,33.58,33.9,2095021
2013-08-13,33.91,33.93,33.45,33.5,2053122
2013-08-14,33.41,33.44,33.02,33.27,1339163
2013-08-15,33.1,33.13,32.8,32.9,1701260
2013-08-16,32.81,32.97,32.34,32.58,2014090
2013-08-19,32.57,32.75,32.18,32.26,1704139
2013-08-20,32.29,32.81,32.19,32.55,2042405
2013-08-21,32.47,32.47,31.9,32.13,2497673
2013-08-22,32.22,32.7,32.06,32.51,5774519
2013-08-23,32.56,32.86,32.39,32.76,5830056
2013-08-26,32.76,32.85,32.48,32.5,1757465
2013-08-27,32.26,32.66,32.25,32.5,1868663
2013-08-28,32.54,32.84,32.32,32.7,2061180
2013-08-29,32.58,32.66,32.28,32.37,1777491
2013-08-30,32.37,32.6,32.27,32.42,1716470
2013-09-03,32.63,32.7,31.91,32.14,2670156
2013-09-04,31.75,32.1,31.55,32.07,3534477
2013-09-05,32.06,32.16,31.76,31.97,2409186
2013-09-06,32.09,32.68,32.09,32.16,3210253
2013-09-09,32.16,32.32,32.0,32.12,2136626
2013-09-10,32.26,32.34,32.02,32.31,2073401
2013-09-11,32.37,32.43,31.84,32.04,3378702
2013-09-12,32.17,32.3,31.72,31.83,2314123
2013-09-13,31.91,32.36,31.86,32.33,2491234
2013-09-16,32.7,32.87,32.31,32.42,3083808
