Date,Open,High,Low,Close,Volume
2013-01-02,25.53,25.91,25.33,25.91,33522658
2013-01-03,25.98,25.99,25.56,25.85,33759282
2013-01-04,25.85,25.99,25.76,25.96,28605328
2013-01-07,25.91,26.05,25.77,25.98,25780304
2013-01-08,26.0,26.25,25.98,26.02,31063319
2013-01-09,26.22,26.56,26.19,26.47,34221016
2013-01-10,26.52,26.77,26.39,26.76,34085938
2013-01-11,26.74,26.82,26.5,26.52,27818359
2013-01-14,26.61,26.88,26.55,26.74,24032783
2013-01-15,26.59,26.64,26.5,26.62,29938183
2013-01-16,26.53,26.62,26.5,26.61,28511062
2013-01-17,26.75,26.96,26.63,26.83,37122619
2013-01-18,26.58,26.67,26.34,26.54,54787574
2013-01-22,26.57,26.68,26.42,26.68,32269329
2013-01-23,26.52,26.74,26.45,26.65,31162346
2013-01-24,26.87,27.3,26.84,26.85,44446189
2013-01-25,26.98,27.0,26.76,27.0,52137248
2013-01-28,27.1,27.14,26.84,26.84,45758594
2013-01-29,26.94,27.84,26.84,27.7,76002513
2013-01-30,27.53,27.67,27.39,27.51,45197406
2013-01-31,27.42,27.57,27.28,27.28,32972477
2013-02-01,27.58,27.8,27.37,27.63,34801834
2013-02-04,27.37,27.48,27.17,27.17,30855528
2013-02-05,27.24,27.6,27.23,27.51,27405951
2013-02-06,27.42,27.5,27.29,27.32,27738952
2013-02-07,27.33,27.36,26.93,26.96,38420482
2013-02-08,26.96,27.03,26.79,26.88,37445010
2013-02-11,26.89,27.23,26.89,27.14,26301972
2013-02-12,27.14,27.18,26.99,26.99,21160493
2013-02-13,27.01,27.19,26.83,27.0,23904119
2013-02-14,26.91,27.14,26.81,27.06,24209871
2013-02-15,27.15,27.43,27.12,27.29,29582324
2013-02-19,27.4,27.71,27.38,27.71,28422859
2013-02-20,27.65,27.75,27.55,27.57,26060109
2013-02-21,27.41,27.54,27.23,27.41,24520676
2013-02-22,27.48,27.5,27.13,27.38,29726833
2013-02-25,27.21,27.35,26.84,26.84,35541846
2013-02-26,26.89,27.1,26.82,27.03,29985991
2013-02-27,26.93,27.54,26.92,27.41,24385449
2013-02-28,27.37,27.64,27.36,27.37,30103757
2013-03-01,27.18,27.45,27.15,27.39,29067385
2013-03-04,27.31,27.7,27.26,27.69,24933670
2013-03-05,27.77,28.2,27.77,28.07,31103966
2013-03-06,28.1,28.21,27.93,28.12,27122990
2013-03-07,28.18,28.38,28.12,28.27,27695105
2013-03-08,28.33,28.36,28.04,28.19,27035132
2013-03-11,28.16,28.31,28.1,28.25,25496232
2013-03-12,28.23,28.23,27.88,27.94,29714377
2013-03-13,27.93,28.08,27.8,28.02,24740900
2013-03-14,28.04,28.11,27.88,28.11,27788247
2013-03-15,27.84,28.06,27.76,28.02,63159897
2013-03-18,27.74,28.24,27.74,28.04,29323041
2013-03-19,28.1,28.23,27.9,27.99,27108658
2013-03-20,28.17,28.4,28.11,28.29,30696743
2013-03-21,28.17,28.32,28.02,28.11,23584270
2013-03-22,28.12,28.39,28.11,28.38,23101338
2013-03-25,28.45,28.51,27.98,28.16,30717557
2013-03-26,28.26,28.66,28.23,28.6,31849081
2013-03-27,28.52,28.66,28.45,28.64,23576338
2013-03-28,28.66,28.9,28.62,28.86,27942527
2013-04-01,28.75,28.84,28.68,28.84,19286247
2013-04-02,28.97,29.32,28.94,29.23,24425175
2013-04-03,29.23,29.34,28.88,29.03,34535987
2013-04-04,29.18,29.44,29.04,29.16,30534090
2013-04-05,28.96,29.2,28.92,29.1,30439811
2013-04-08,29.0,29.17,28.64,29.16,25957429
2013-04-09,29.03,29.35,28.95,29.11,27544636
2013-04-10,29.49,30.0,29.45,29.92,40980763
2013-04-11,29.93,30.82,29.92,30.64,54660276
2013-04-12,30.45,30.88,30.45,30.67,39064800
2013-04-15,30.61,30.99,30.45,30.45,46919512
