Date,Open,High,Low,Close,Volume
2013-01-02,110.94,112.58,110.9,112.58,1088010
2013-01-03,112.68,113.46,112.14,112.58,971150
2013-01-04,112.92,113.74,112.72,113.34,771687
2013-01-07,112.69,113.34,112.37,113.09,874439
2013-01-08,113.12,113.92,112.57,113.88,861100
2013-01-09,114.15,114.16,113.02,113.87,882476
2013-01-10,114.3,114.58,113.42,114.18,973275
2013-01-11,113.74,114.64,113.52,114.0,562229
2013-01-14,113.89,114.57,113.55,114.1,580947
2013-01-15,113.6,114.26,113.41,113.81,645356
2013-01-16,113.0,113.0,111.96,112.57,862586
2013-01-17,113.26,114.08,113.17,113.23,1012848
2013-01-18,113.37,113.66,111.85,113.52,2634079
2013-01-22,112.92,114.25,112.92,114.02,1410028
2013-01-23,112.55,112.55,109.41,110.77,3016023
2013-01-24,111.32,112.36,110.49,111.12,1137575
2013-01-25,111.41,112.0,110.89,111.73,1067756
2013-01-28,111.91,111.91,109.73,109.98,1069669
2013-01-29,110.12,110.77,109.98,110.55,1532399
2013-01-30,110.5,110.71,109.59,109.94,1334047
2013-01-31,109.51,110.61,109.38,110.37,1524179
2013-02-01,111.0,111.81,110.09,111.59,1103859
2013-02-04,110.43,110.98,110.1,110.18,838416
2013-02-05,110.78,111.81,110.5,110.58,923604
2013-02-06,110.31,110.96,110.16,110.79,800355
2013-02-07,110.48,111.08,109.64,110.43,607884
2013-02-08,110.6,111.65,110.51,111.61,695502
2013-02-11,111.4,111.88,110.82,110.99,705798
2013-02-12,111.07,111.34,110.32,110.98,893725
2013-02-13,111.31,111.92,110.99,111.77,744098
2013-02-14,111.31,111.56,110.8,111.21,1304091
2013-02-15,110.76,111.48,109.52,110.15,2094841
2013-02-19,110.98,110.98,110.16,110.74,1094688
2013-02-20,110.7,111.56,109.77,110.38,1961356
2013-02-21,109.73,110.85,109.08,109.96,2355762
2013-02-22,110.28,111.28,109.95,111.17,1273210
2013-02-25,111.76,112.2,109.49,109.54,1702010
2013-02-26,110.04,111.06,110.04,110.58,1646083
2013-02-27,110.43,112.71,110.22,112.22,884309
2013-02-28,112.23,113.53,112.09,113.05,1165455
2013-03-01,112.87,113.86,111.8,113.51,1051202
2013-03-04,113.06,113.18,112.06,112.9,1126175
2013-03-05,112.9,114.53,112.9,113.41,945304
2013-03-06,113.9,114.09,112.8,112.9,1015554
2013-03-07,112.86,113.26,112.37,112.67,999882
2013-03-08,113.33,113.91,112.83,113.64,1099020
2013-03-11,113.35,113.6,112.72,113.44,953554
2013-03-12,113.45,114.0,112.45,112.92,1253843
2013-03-13,112.89,113.01,111.77,112.77,944321
2013-03-14,113.15,113.62,112.84,113.6,973865
2013-03-15,113.08,113.99,112.78,113.54,1391621
2013-03-18,112.52,113.26,112.37,112.99,1012403
2013-03-19,113.09,113.65,112.45,113.48,1390908
2013-03-20,113.97,114.12,113.48,113.64,877543
2013-03-21,111.7,112.67,111.23,111.27,1567009
2013-03-22,111.27,112.05,110.98,111.59,782439
2013-03-25,112.4,112.4,111.07,112.14,1252969
2013-03-26,112.5,113.0,111.8,112.1,740685
2013-03-27,111.6,111.61,110.58,111.34,912516
2013-03-28,111.54,111.96,111.11,111.54,1916466
2013-04-01,111.82,111.97,110.79,111.08,1215975
2013-04-02,111.44,111.51,110.64,111.0,1074958
2013-04-03,110.86,111.84,110.04,110.31,1416940
2013-04-04,110.69,111.98,110.39,111.26,930571
2013-04-05,110.11,111.03,109.91,110.98,773640
2013-04-08,111.0,111.56,110.35,111.54,601709
2013-04-09,111.89,112.19,111.05,111.36,1007506
