Date,Open,High,Low,Close,Volume
2013-01-02,113.36,114.67,113.19,114.48,494423
2013-01-03,114.25,115.73,114.0,114.61,428279
2013-01-04,114.96,115.88,114.43,115.52,280163
2013-01-07,115.03,115.7,114.79,115.04,350223
2013-01-08,114.62,115.88,114.45,114.79,641015
2013-01-09,115.08,115.44,114.94,115.2,793481
2013-01-10,115.7,115.7,113.82,114.47,709168
2013-01-11,114.73,115.11,114.18,114.38,462958
2013-01-14,114.42,114.79,113.43,114.28,320525
2013-01-15,113.83,114.38,113.31,114.32,205103
2013-01-16,113.8,114.45,113.26,114.14,347706
2013-01-17,114.27,115.5,114.27,115.22,306889
2013-01-18,115.57,116.67,115.57,116.36,1075900
2013-01-22,116.38,118.12,116.22,118.07,434978
2013-01-23,117.72,118.13,117.13,117.7,239824
2013-01-24,117.8,119.0,117.67,118.6,409869
2013-01-25,119.09,119.18,117.85,118.83,291558
2013-01-28,117.26,120.67,117.26,118.5,419156
2013-01-29,118.58,119.94,118.29,119.2,349663
2013-01-30,118.57,118.88,117.48,117.71,432969
2013-01-31,117.51,118.06,116.45,117.45,621484
2013-02-01,118.58,119.87,117.95,119.29,418743
2013-02-04,118.49,118.5,117.28,117.48,343026
2013-02-05,118.15,119.12,117.96,118.71,334934
2013-02-06,118.38,119.53,118.28,119.34,277123
2013-02-07,119.35,119.5,117.82,118.42,365789
2013-02-08,118.64,119.7,118.48,119.34,215732
2013-02-11,119.19,119.51,118.28,119.12,215313
2013-02-12,119.15,120.08,119.15,119.57,209068
2013-02-13,119.99,120.36,119.31,119.78,245859
2013-02-14,119.12,120.28,119.12,119.86,243343
2013-02-15,119.99,120.26,119.62,120.04,311470
2013-02-19,120.02,122.16,120.02,121.66,582508
2013-02-20,121.49,122.77,120.89,121.6,755469
2013-02-21,121.1,122.29,120.95,122.0,832759
2013-02-22,122.43,124.66,122.28,124.31,744228
2013-02-25,124.81,125.36,121.3,121.3,470345
2013-02-26,121.93,122.72,121.23,122.26,406381
2013-02-27,122.12,124.66,122.11,124.39,303154
2013-02-28,124.44,125.28,124.04,124.61,315668
2013-03-01,124.21,125.1,122.62,124.94,434692
2013-03-04,124.6,125.08,122.68,125.04,404342
2013-03-05,125.68,126.67,125.46,125.75,410235
2013-03-06,126.24,126.45,124.98,124.98,344190
2013-03-07,125.12,125.82,124.87,125.57,376968
2013-03-08,126.25,126.42,125.16,125.86,443557
2013-03-11,125.87,126.32,125.5,126.24,405217
2013-03-12,126.13,126.14,123.98,124.62,464425
2013-03-13,124.52,124.95,124.03,124.66,415348
2013-03-14,125.0,126.89,124.6,125.91,443370
2013-03-15,125.53,125.53,124.66,124.74,544864
2013-03-18,123.91,125.17,123.51,124.48,308135
2013-03-19,124.79,125.56,123.88,125.32,392146
2013-03-20,126.33,127.34,125.62,126.07,435587
2013-03-21,124.88,125.76,124.4,124.42,382250
2013-03-22,124.82,125.71,124.71,125.65,326626
2013-03-25,125.96,126.25,123.59,124.89,338075
2013-03-26,125.53,126.15,125.32,126.11,364460
2013-03-27,125.18,126.27,124.44,126.13,265834
2013-03-28,125.79,127.42,125.74,127.31,526038
2013-04-01,127.27,127.31,125.58,125.92,188478
2013-04-02,126.93,126.93,124.17,124.67,338677
2013-04-03,124.57,125.63,123.3,123.43,380873
2013-04-04,123.72,124.69,123.59,123.94,267489
2013-04-05,122.31,122.78,121.72,122.63,300662
2013-04-08,122.39,123.39,121.84,123.31,406917
2013-04-09,123.87,124.05,122.14,122.79,392851
2013-04-10,123.07,124.74,122.43,124.39,465503
2013-04-11,124.4,125.17,123.99,124.35,292119
2013-04-12,123.9,124.41,123.06,123.36,252556
2013-04-15,122.77,122.97,119.0,119.08,558301
2013-04-16,120.12,121.3,119.99,121.26,445604
2013-04-17,120.37,121.92,118.83,120.54,671322
2013-04-18,121.17,124.0,121.17,122.35,1175678
2013-04-19,122.43,123.35,121.29,122.5,578754
2013-04-22,122.74,123.36,122.06,122.49,384285
2013-04-23,122.99,124.18,122.35,123.95,420167
2013-04-24,124.3,124.7,123.56,123.96,403817
2013-04-25,124.3,125.13,123.49,123.66,438086
2013-04-26,123.82,123.84,122.39,123.31,253544
