Date,Open,High,Low,Close,Volume
2013-01-02,29.61,29.75,29.34,29.53,2366490
2013-01-03,29.57,29.95,29.51,29.73,1617255
2013-01-04,29.82,29.94,29.73,29.86,1417696
2013-01-07,29.72,29.83,29.54,29.72,1125620
2013-01-08,29.72,29.84,29.66,29.78,1055054
2013-01-09,29.8,30.02,29.68,30.0,1362807
2013-01-10,30.04,30.22,29.99,30.19,1636589
2013-01-11,30.17,30.26,30.14,30.19,995405
2013-01-14,30.25,30.41,30.19,30.24,1331264
2013-01-15,30.25,30.33,30.08,30.31,900626
2013-01-16,30.31,30.33,30.0,30.25,1386766
2013-01-17,30.26,30.5,30.22,30.39,1254427
2013-01-18,30.4,30.6,30.34,30.6,1124683
2013-01-22,30.54,30.89,30.47,30.87,1169922
2013-01-23,30.8,30.91,30.65,30.87,1085644
2013-01-24,30.91,30.95,30.76,30.8,1618795
2013-01-25,30.8,31.14,30.72,31.11,1258818
2013-01-28,31.34,32.4,31.34,31.78,4893533
2013-01-29,31.78,31.94,31.7,31.82,1375279
2013-01-30,31.85,31.89,31.5,31.54,2221158
2013-01-31,31.45,31.99,31.34,31.89,2991085
2013-02-01,32.04,32.2,31.81,31.82,2160658
2013-02-04,31.66,31.66,31.36,31.38,1374419
2013-02-05,31.51,31.73,31.3,31.39,2142584
2013-02-06,31.2,31.56,31.02,31.55,2862241
2013-02-07,31.46,31.95,31.46,31.84,2622869
2013-02-08,30.87,31.29,29.96,31.12,7228806
2013-02-11,31.17,31.55,31.12,31.27,2537921
2013-02-12,31.41,31.41,31.16,31.19,2328915
2013-02-13,31.26,31.39,31.17,31.22,2156026
2013-02-14,31.14,31.44,30.98,31.3,1951865
2013-02-15,31.36,31.62,31.26,31.31,1817066
2013-02-19,31.35,31.42,30.98,31.17,2551082
2013-02-20,31.12,31.34,31.12,31.19,2089764
2013-02-21,31.07,31.27,30.94,30.97,1602478
2013-02-22,31.03,31.46,30.97,31.34,1085324
2013-02-25,31.43,31.57,30.94,30.95,1528596
2013-02-26,31.08,31.26,30.68,30.9,2364751
2013-02-27,30.93,31.34,30.77,31.3,1951497
2013-02-28,31.37,31.57,31.26,31.44,1552072
2013-03-01,31.3,31.32,31.01,31.09,1893743
2013-03-04,31.12,31.24,30.91,31.2,1281132
2013-03-05,31.29,31.46,31.18,31.28,2132401
2013-03-06,31.35,31.42,31.01,31.04,2251997
2013-03-07,31.11,31.22,30.87,30.87,2393497
2013-03-08,31.05,31.33,30.94,31.3,1537862
2013-03-11,31.31,31.82,31.18,31.72,1891121
2013-03-12,31.72,31.8,31.35,31.54,1041341
2013-03-13,31.69,32.21,31.69,31.87,2354446
2013-03-14,31.88,31.95,31.8,31.9,1301467
2013-03-15,31.71,32.01,31.56,31.97,2172786
2013-03-18,31.77,32.12,31.7,32.07,950757
2013-03-19,32.05,32.33,31.96,32.1,1225224
2013-03-20,32.2,32.54,32.2,32.5,1178477
2013-03-21,32.36,32.65,32.36,32.48,942419
2013-03-22,32.51,32.76,32.49,32.65,1054405
2013-03-25,32.66,32.9,32.51,32.64,1082887
2013-03-26,32.67,32.85,32.53,32.59,1713334
2013-03-27,32.18,32.57,32.06,32.56,1205785
2013-03-28,32.56,33.01,32.4,33.0,1701853
2013-04-01,32.93,32.99,32.38,32.48,858212
2013-04-02,32.63,32.94,32.46,32.6,882988
2013-04-03,32.56,32.74,32.26,32.34,1152758
2013-04-04,32.43,32.64,32.4,32.5,1019711
2013-04-05,32.23,32.44,32.12,32.38,1171220
2013-04-08,32.32,32.51,32.07,32.49,868874
2013-04-09,32.55,32.9,32.5,32.7,1128391
2013-04-10,32.8,33.4,32.74,33.36,2664484
2013-04-11,33.31,33.77,33.07,33.74,2817636
2013-04-12,33.6,33.79,33.46,33.52,1544699
2013-04-15,33.39,33.48,32.6,32.8,2442091
2013-04-16,32.93,33.23,32.8,33.06,1395112
2013-04-17,32.89,32.95,32.16,32.43,1760944
2013-04-18,32.51,32.51,32.1,32.26,1217261
2013-04-19,32.39,32.74,32.21,32.68,1349000
2013-04-22,32.64,32.83,32.28,32.53,1111370
2013-04-23,32.62,33.0,32.62,32.81,1286129
2013-04-24,32.8,33.23,32.8,33.21,935757
2013-04-25,33.37,33.87,33.16,33.25,1983564
2013-04-26,33.29,34.54,33.12,34.31,3857707
2013-04-29,33.76,34.32,33.58,33.67,2092227
2013-04-30,33.68,34.29,33.59,34.08,2550474
2013-05-01,34.0,34.62,33.96,34.1,1591166
2013-05-02,34.19,34.25,33.88,34.12,896478
2013-05-03,34.28,34.51,34.18,34.48,1403746
2013-05-06,34.43,34.71,34.29,34.67,1117238
2013-05-07,34.75,35.08,34.68,34.98,1606873
2013-05-08,34.93,35.01,34.74,34.83,1041862
2013-05-09,34.74,34.89,34.39,34.56,1132778
2013-05-10,34.56,34.61,33.94,33.95,2342987
2013-05-13,33.97,34.05,33.76,33.79,1334261
2013-05-14,33.84,34.0,33.69,33.9,2172335
2013-05-15,33.89,34.58,33.73,34.41,2739006
2013-05-16,34.33,34.56,34.14,34.54,2434200
2013-05-17,34.68,34.98,34.59,34.89,2157879
2013-05-20,34.88,35.1,34.84,34.96,1403160
2013-05-21,34.98,35.28,34.91,35.09,1113714
2013-05-22,35.06,35.28,34.51,34.55,1338214
2013-05-23,34.7,35.0,34.54,34.71,1872293
2013-05-24,34.62,34.74,34.49,34.62,1123028
2013-05-28,34.83,34.92,34.46,34.65,1457342
2013-05-29,34.46,34.47,33.85,34.06,1752262
2013-05-30,34.26,34.91,34.2,34.65,1720614
2013-05-31,34.5,34.66,34.1,34.1,2751912
2013-06-03,34.12,34.39,33.81,34.37,1980911
2013-06-04,34.31,34.38,33.89,34.15,1861611
2013-06-05,34.0,34.04,33.57,33.82,1851025
2013-06-06,33.82,33.88,33.35,33.66,1395513
2013-06-07,33.43,33.95,32.81,33.92,2540496
2013-06-10,33.96,34.12,33.67,33.72,1207338
2013-06-11,33.37,33.87,33.37,33.72,984534
2013-06-12,33.93,33.93,33.57,33.59,1313566
2013-06-13,33.33,34.06,33.33,33.98,1713707
2013-06-14,33.84,34.19,33.63,34.06,1432850
2013-06-17,34.33,34.52,33.98,34.17,1551444
2013-06-18,34.27,34.77,34.26,34.75,1132275
2013-06-19,34.71,34.75,34.05,34.1,1525887
2013-06-20,33.87,33.87,33.31,33.39,1275379
2013-06-21,33.62,33.71,33.15,33.45,1976184
2013-06-24,33.24,33.24,32.75,32.75,1733526
2013-06-25,33.0,33.56,32.93,33.48,1975731
2013-06-26,33.75,34.06,33.65,34.03,1860632
2013-06-27,33.95,34.02,33.75,33.95,1324198
2013-06-28,33.82,34.11,33.72,33.94,2847372
2013-07-01,33.97,34.27,33.84,34.14,1658115
2013-07-02,34.09,34.31,33.65,33.79,1745699
2013-07-03,33.6,33.78,33.47,33.71,484365
2013-07-05,33.83,34.18,33.52,34.15,930377
2013-07-08,34.2,34.42,34.05,34.27,1672965
2013-07-09,34.5,34.88,34.47,34.78,881839
2013-07-10,34.75,35.08,34.6,34.72,992506
2013-07-11,35.12,35.36,35.05,35.33,1056348
2013-07-12,35.33,35.5,35.12,35.26,839385
2013-07-15,35.26,35.45,35.23,35.31,581493
2013-07-16,35.28,35.4,35.02,35.14,804495
2013-07-17,35.27,35.34,35.0,35.13,824494
2013-07-18,35.18,35.59,35.13,35.44,856326
2013-07-19,35.46,35.5,35.01,35.3,928936
2013-07-22,35.27,35.42,35.06,35.13,867948
2013-07-23,35.19,35.23,34.94,35.0,1008066
2013-07-24,35.13,35.61,35.05,35.11,1466003
2013-07-25,35.11,35.18,34.56,35.14,1903558
2013-07-26,35.13,35.25,33.99,34.27,1992383
2013-07-29,34.14,34.21,33.75,33.8,2293394
2013-07-30,33.93,34.25,33.84,34.18,1397396
2013-07-31,34.2,34.22,33.67,33.91,2307617
2013-08-01,34.06,34.58,34.02,34.41,1330120
2013-08-02,34.34,34.57,34.27,34.54,1273863
2013-08-05,34.42,34.64,34.34,34.55,748675
2013-08-06,34.48,34.55,34.32,34.43,1260788
2013-08-07,34.26,34.48,34.15,34.44,1473263
2013-08-08,34.58,35.04,34.5,34.93,847848
2013-08-09,34.96,34.98,34.68,34.83,1389964
2013-08-12,34.66,34.9,34.55,34.74,1044700
2013-08-13,34.72,34.99,34.6,34.89,1007852
2013-08-14,34.82,34.98,34.72,34.84,998349
2013-08-15,34.49,34.49,33.55,33.75,2099466
