Date,Open,High,Low,Close,Volume
2013-01-02,78.2,78.59,77.33,78.43,768060
2013-01-03,78.32,79.14,77.96,78.16,502602
2013-01-04,78.22,78.8,78.01,78.48,349780
2013-01-07,78.15,79.08,78.03,78.98,438849
2013-01-08,79.09,79.23,78.34,78.62,641074
2013-01-09,78.8,79.3,78.8,78.95,745171
2013-01-10,79.12,79.46,78.57,79.06,790855
2013-01-11,79.04,79.27,78.81,79.12,407519
2013-01-14,79.03,79.16,78.56,78.82,766773
2013-01-15,77.68,79.48,77.68,79.34,447124
2013-01-16,78.79,79.39,78.66,79.33,324197
2013-01-17,79.47,79.7,79.24,79.32,429577
2013-01-18,79.44,80.28,79.18,80.23,620308
2013-01-22,80.06,81.37,78.78,80.64,890073
2013-01-23,80.43,80.73,80.24,80.34,361880
2013-01-24,80.21,80.84,79.94,80.75,731103
2013-01-25,80.83,81.46,80.31,81.44,413317
2013-01-28,81.79,81.79,80.55,81.52,535520
2013-01-29,81.37,81.85,81.12,81.82,490700
2013-01-30,82.03,82.03,79.99,80.32,821989
2013-01-31,80.0,81.18,78.89,80.38,831380
2013-02-01,80.9,81.32,80.23,80.74,786480
2013-02-04,80.43,80.93,80.24,80.76,626335
2013-02-05,80.97,81.54,80.16,81.13,772271
2013-02-06,80.69,81.38,80.58,81.06,882810
2013-02-07,81.19,81.36,80.49,81.02,517000
2013-02-08,81.22,81.93,80.94,81.89,296853
2013-02-11,81.87,82.28,81.36,81.79,644276
2013-02-12,81.79,82.94,81.73,82.79,706241
2013-02-13,82.8,82.96,82.45,82.76,521369
2013-02-14,82.52,82.69,81.94,82.15,369719
2013-02-15,82.09,82.7,81.7,82.7,475706
2013-02-19,83.21,83.5,82.99,83.49,624148
2013-02-20,83.27,83.76,82.1,82.16,636968
2013-02-21,82.24,82.81,80.98,81.09,518454
2013-02-22,81.62,82.02,81.32,81.64,382277
2013-02-25,81.81,82.04,80.12,80.13,535236
2013-02-26,80.55,81.11,79.9,80.67,597409
2013-02-27,80.67,81.55,80.32,81.31,687493
2013-02-28,81.47,82.07,81.07,81.62,1146270
2013-03-01,81.34,82.67,81.08,82.67,938999
2013-03-04,82.5,83.0,82.23,82.77,690445
2013-03-05,83.04,83.31,82.51,82.93,696349
2013-03-06,83.0,83.99,82.48,83.87,591451
2013-03-07,83.74,84.28,83.42,84.0,678872
2013-03-08,84.13,84.81,83.58,84.45,586835
2013-03-11,84.43,85.5,84.31,85.25,623270
2013-03-12,85.36,85.58,84.67,85.43,446872
2013-03-13,85.38,86.06,84.96,85.76,433575
2013-03-14,85.67,87.5,85.67,86.18,644120
2013-03-15,86.22,86.33,85.55,85.74,1500468
2013-03-18,85.31,85.89,84.98,85.6,886307
2013-03-19,85.7,85.9,84.87,84.95,847090
2013-03-20,85.32,86.04,84.71,85.99,474587
2013-03-21,85.6,86.27,85.21,85.46,665667
2013-03-22,85.86,86.07,85.46,86.07,414325
2013-03-25,86.15,86.9,86.03,86.16,466528
2013-03-26,86.16,86.87,86.1,86.29,460297
2013-03-27,85.17,86.27,85.17,86.17,274531
2013-03-28,86.14,86.37,85.5,86.11,886932
2013-04-01,86.05,86.66,85.73,86.35,442059
2013-04-02,86.38,87.22,86.38,87.06,446209
2013-04-03,87.54,87.76,86.21,86.54,584513
2013-04-04,86.6,88.37,86.4,88.15,795799
2013-04-05,87.16,88.5,86.59,88.44,794144
2013-04-08,88.45,88.96,87.62,88.73,754751
2013-04-09,88.94,88.94,87.83,88.19,599322
2013-04-10,88.4,88.81,88.06,88.35,731428
2013-04-11,88.54,89.16,88.2,88.49,669477
2013-04-12,88.24,88.98,87.96,88.31,473634
2013-04-15,88.1,88.48,85.89,85.94,728014
2013-04-16,86.56,87.95,86.11,87.7,652688
2013-04-17,87.15,87.15,85.78,86.58,700931
2013-04-18,86.53,86.59,85.8,85.99,734176
2013-04-19,86.05,89.18,86.02,87.7,1208914
2013-04-22,87.88,87.88,86.28,86.84,781548
2013-04-23,87.37,88.32,87.06,88.1,670366
2013-04-24,88.25,88.74,87.24,88.72,880658
2013-04-25,89.62,89.62,87.62,88.65,617004
2013-04-26,88.5,89.18,88.08,88.38,481770
2013-04-29,88.49,88.98,88.32,88.7,465173
2013-04-30,88.77,90.7,88.47,90.7,878617
2013-05-01,90.02,90.5,88.52,88.61,597018
2013-05-02,88.93,89.65,88.71,88.92,439345
2013-05-03,89.1,89.94,89.1,89.77,377193
2013-05-06,89.79,91.12,89.79,90.96,417870
2013-05-07,90.84,91.25,90.27,90.83,419502
2013-05-08,90.58,91.31,90.33,90.92,841902
2013-05-09,91.16,91.4,89.71,90.03,474529
2013-05-10,90.2,90.42,89.43,90.33,456560
2013-05-13,90.19,91.08,89.87,90.81,357933
2013-05-14,91.08,91.45,90.6,90.88,421530
2013-05-15,90.73,91.47,90.2,91.34,402307
2013-05-16,91.11,91.72,90.71,91.12,522396
2013-05-17,91.55,92.14,91.25,92.13,351265
2013-05-20,92.1,93.38,92.1,93.24,664243
2013-05-21,93.22,95.39,93.18,94.21,845468
2013-05-22,94.23,94.99,91.47,92.07,537270
2013-05-23,90.88,91.58,89.14,91.18,821165
2013-05-24,90.75,91.29,89.87,90.97,379446
2013-05-28,91.92,92.25,89.57,90.43,447424
2013-05-29,89.33,89.73,87.74,89.62,968556
2013-05-30,89.53,90.2,88.1,88.22,610576
2013-05-31,87.92,88.54,86.98,86.98,811457
2013-06-03,87.19,87.75,86.01,86.72,752165
2013-06-04,86.74,87.25,85.92,86.13,665373
2013-06-05,86.31,86.55,84.96,85.55,636610
2013-06-06,85.55,87.15,85.18,87.1,485384
2013-06-07,87.79,88.01,85.57,86.91,444105
2013-06-10,87.28,87.88,86.18,87.88,647025
2013-06-11,87.08,87.62,85.54,86.67,1003442
2013-06-12,87.01,87.16,86.26,87.01,1568426
2013-06-13,87.59,89.96,87.08,89.67,1012999
2013-06-14,89.62,91.99,89.4,91.36,1109577
2013-06-17,91.71,92.77,90.91,91.57,1265110
2013-06-18,91.52,92.19,91.21,91.72,828519
2013-06-19,91.61,91.81,88.69,89.06,1316601
2013-06-20,88.0,88.07,83.68,84.36,1155034
2013-06-21,85.16,86.44,84.06,85.19,1361377
2013-06-24,84.42,86.79,83.0,84.84,1078323
2013-06-25,85.78,86.3,84.79,85.64,1036364
2013-06-26,86.64,87.67,86.6,86.64,925023
2013-06-27,87.02,88.93,86.96,88.76,845884
2013-06-28,88.45,88.91,87.38,88.19,670344
2013-07-01,88.53,88.85,87.6,87.87,611793
2013-07-02,87.92,89.58,87.23,89.51,1242906
2013-07-03,88.87,90.78,88.34,90.27,582959
