Date,Open,High,Low,Close,Volume
2013-01-02,29.08,29.26,28.85,29.26,7992702
2013-01-03,28.66,28.7,27.98,28.63,9399162
2013-01-04,29.17,29.45,28.84,29.42,5809105
2013-01-07,29.25,29.33,28.74,28.97,3372142
2013-01-08,28.91,29.0,28.46,28.98,7375699
2013-01-09,29.03,29.22,28.59,28.71,5371719
2013-01-10,28.95,29.09,28.34,28.6,9119619
2013-01-11,28.54,28.57,27.92,28.31,7472766
2013-01-14,28.31,28.38,27.97,28.09,4847460
2013-01-15,28.05,28.95,27.93,28.89,5913002
2013-01-16,28.89,29.37,28.7,29.23,4607927
2013-01-17,29.44,29.69,29.21,29.57,6593935
2013-01-18,29.47,29.98,28.73,29.14,8288219
2013-01-22,29.02,29.23,28.83,29.14,6656596
2013-01-23,29.07,29.2,28.76,29.1,3539004
2013-01-24,29.04,29.6,29.02,29.4,7339184
2013-01-25,29.53,29.55,29.1,29.35,5850036
2013-01-28,29.41,29.47,29.12,29.27,4088533
2013-01-29,29.24,29.37,28.86,28.89,5237469
2013-01-30,28.69,28.89,28.41,28.53,7470554
2013-01-31,28.51,28.51,28.04,28.37,8518514
2013-02-01,28.66,29.15,28.56,29.1,5278761
2013-02-04,28.86,28.89,28.62,28.69,4854853
2013-02-05,28.89,29.04,28.72,28.76,4963866
2013-02-06,28.62,28.84,28.5,28.74,6460723
2013-02-07,28.76,28.97,28.46,28.83,4725256
2013-02-08,28.87,29.3,28.8,29.25,3136331
2013-02-11,29.15,29.5,29.15,29.35,4077283
2013-02-12,29.37,29.55,29.34,29.42,4051250
2013-02-13,29.46,29.54,28.86,28.94,4857578
2013-02-14,28.76,28.91,28.72,28.79,3558760
2013-02-15,28.64,28.71,27.98,28.12,7363033
2013-02-19,27.8,27.87,27.52,27.69,8983994
2013-02-20,27.69,27.89,27.52,27.58,7404324
2013-02-21,27.55,27.89,27.3,27.46,5213360
2013-02-22,27.67,27.93,27.65,27.9,3904531
2013-02-25,28.05,28.17,27.11,27.12,5637240
2013-02-26,27.4,27.49,26.93,27.41,5085659
2013-02-27,27.35,27.83,27.31,27.72,5292211
2013-02-28,27.75,27.93,27.44,27.59,4162134
2013-03-01,27.38,27.85,26.96,27.55,6901456
2013-03-04,27.56,28.04,27.51,28.02,4957899
2013-03-05,28.17,28.31,27.88,28.0,4825838
2013-03-06,28.16,28.44,28.08,28.17,3717737
2013-03-07,28.25,28.84,28.21,28.56,5186973
2013-03-08,29.55,29.67,29.03,29.35,9330009
2013-03-11,29.43,29.91,29.35,29.73,5577998
2013-03-12,29.75,29.85,29.4,29.46,3795999
2013-03-13,29.48,29.69,29.32,29.63,3740313
2013-03-14,29.7,29.9,29.29,29.62,5181352
2013-03-15,29.35,29.41,28.91,29.06,7893839
2013-03-18,28.7,29.07,28.62,28.81,5372736
2013-03-19,28.86,29.0,28.47,28.56,4895027
2013-03-20,28.81,28.84,28.59,28.64,3311164
2013-03-21,28.42,28.58,28.2,28.29,3011495
2013-03-22,28.34,28.41,28.05,28.23,3840764
2013-03-25,28.34,28.6,28.22,28.51,4778457
2013-03-26,28.6,28.76,28.37,28.74,3507187
2013-03-27,28.51,28.6,28.33,28.54,3203791
2013-03-28,28.56,28.82,28.24,28.81,5036193
2013-04-01,28.81,28.88,28.17,28.28,3577765
2013-04-02,27.99,28.27,27.64,27.81,8853412
2013-04-03,27.77,27.82,26.97,27.36,9257363
2013-04-04,27.28,27.75,27.17,27.41,5495258
2013-04-05,27.0,28.09,27.0,28.04,7110403
2013-04-08,28.13,28.78,27.82,28.64,6001258
2013-04-09,28.72,29.02,28.64,28.91,4160708
2013-04-10,28.94,29.24,28.9,29.14,4198532
2013-04-11,29.09,29.21,28.58,28.98,5503946
2013-04-12,28.58,28.84,28.48,28.79,3837098
2013-04-15,28.63,28.75,27.87,27.87,3684775
2013-04-16,28.12,28.12,27.68,27.98,5679790
2013-04-17,27.74,27.91,27.35,27.61,5109587
2013-04-18,27.75,27.75,27.18,27.32,5608598
2013-04-19,27.93,28.78,27.62,28.31,10357242
2013-04-22,28.29,28.29,27.76,27.97,4336921
2013-04-23,28.14,28.36,27.94,28.3,4402583
2013-04-24,28.3,29.0,28.29,28.97,5470470
2013-04-25,29.05,29.52,29.0,29.27,4599437
2013-04-26,29.23,29.35,28.93,29.05,3950541
2013-04-29,29.5,29.69,29.28,29.33,5601947
2013-04-30,29.34,29.38,29.01,29.25,3656474
2013-05-01,29.21,29.24,28.86,28.94,2952899
2013-05-02,28.96,29.24,28.85,29.15,1773156
2013-05-03,29.46,29.67,29.24,29.37,2584525
2013-05-06,29.39,29.89,29.33,29.82,2614230
2013-05-07,29.9,30.38,29.86,30.29,3556196
2013-05-08,30.27,31.04,30.07,30.85,6080530
2013-05-09,30.88,31.02,30.52,30.55,5367872
2013-05-10,30.58,30.66,30.15,30.46,4158593
2013-05-13,30.41,30.78,30.32,30.54,4147636
2013-05-14,30.53,30.92,30.46,30.86,3101603
2013-05-15,30.82,31.3,30.64,31.21,2684293
2013-05-16,31.09,31.53,31.06,31.27,3646474
2013-05-17,31.45,31.91,31.37,31.88,4295413
2013-05-20,31.78,32.48,31.77,32.3,4150814
2013-05-21,32.25,32.38,32.03,32.15,3339437
2013-05-22,32.01,32.7,31.59,31.88,7975985
2013-05-23,31.6,31.9,31.41,31.75,7722319
2013-05-24,31.61,32.01,31.25,31.94,3355152
2013-05-28,32.4,32.72,32.15,32.34,6126417
2013-05-29,32.04,32.35,31.91,32.0,5603737
2013-05-30,32.1,32.84,31.94,32.6,4746232
2013-05-31,32.52,32.61,32.09,32.09,4234075
2013-06-03,32.14,32.34,31.54,32.24,4808299
2013-06-04,32.25,32.67,31.93,32.02,3896068
2013-06-05,31.94,32.17,31.5,31.55,6889700
2013-06-06,31.5,31.9,31.35,31.88,3635811
2013-06-07,32.01,32.3,31.8,32.25,3264664
2013-06-10,32.38,32.58,32.12,32.44,3790621
2013-06-11,32.04,32.22,31.61,31.7,4293639
2013-06-12,31.94,32.0,31.32,31.33,4081278
2013-06-13,31.36,32.02,31.28,31.95,3750828
2013-06-14,31.58,31.77,30.87,31.09,3955863
2013-06-17,31.28,31.5,31.1,31.35,3310067
2013-06-18,31.39,31.88,31.3,31.75,2635905
2013-06-19,31.67,31.74,31.22,31.25,3957502
2013-06-20,30.95,31.48,30.75,30.94,7123635
2013-06-21,31.16,31.45,30.96,31.23,6096390
2013-06-24,30.88,30.88,30.17,30.42,6624654
2013-06-25,30.79,31.34,30.61,31.22,3438112
2013-06-26,31.57,31.76,31.25,31.36,5013751
2013-06-27,31.57,31.86,31.38,31.7,4215491
2013-06-28,31.63,31.74,31.25,31.57,3355946
2013-07-01,31.79,32.22,31.63,31.99,2893955
2013-07-02,31.91,32.7,31.88,32.51,5384583
2013-07-03,32.18,33.0,32.01,32.92,4400650
2013-07-05,33.23,34.36,33.09,34.31,6693744
2013-07-08,34.5,34.59,33.93,34.06,3917273
2013-07-09,33.97,34.64,33.75,34.33,6502259
2013-07-10,34.36,34.4,33.74,33.93,4265029
2013-07-11,34.39,34.45,33.27,33.34,4667474
2013-07-12,33.4,33.97,33.4,33.97,2955586
2013-07-15,34.04,34.22,33.58,34.09,2691867
2013-07-16,34.08,34.2,33.06,33.47,3130553
2013-07-17,33.52,33.88,33.4,33.82,2632472
2013-07-18,33.9,34.49,33.71,34.3,3973167
2013-07-19,35.79,36.29,34.05,34.83,5853927
2013-07-22,34.74,35.09,34.45,35.08,2919787
2013-07-23,35.08,35.28,34.79,35.16,3983380
2013-07-24,35.28,35.44,35.02,35.09,3277048
2013-07-25,34.93,35.28,34.64,35.14,3650465
2013-07-26,34.88,34.96,34.66,34.89,2327177
2013-07-29,34.89,34.91,34.39,34.52,2788423
2013-07-30,34.71,35.05,34.53,34.66,2659703
2013-07-31,34.77,35.54,34.73,34.79,4646349
2013-08-01,35.13,35.81,35.01,35.75,2737216
2013-08-02,35.59,35.78,35.25,35.44,2511215
2013-08-05,35.42,35.67,35.24,35.42,1839237
2013-08-06,35.39,35.41,35.0,35.23,2693321
2013-08-07,35.07,35.12,34.75,34.9,2443772
2013-08-08,35.08,35.72,34.95,35.51,3532220
2013-08-09,35.17,35.24,34.62,34.97,4711634
2013-08-12,34.72,35.04,34.7,34.8,2630891
2013-08-13,34.89,35.04,34.57,34.92,1686741
2013-08-14,34.92,35.24,34.92,34.98,1900231
2013-08-15,34.74,34.97,34.28,34.38,3115328
2013-08-16,34.27,34.97,34.27,34.6,2488189
2013-08-19,34.52,34.52,33.96,33.98,2564775
2013-08-20,34.03,34.36,33.88,34.23,2829926
2013-08-21,34.11,34.28,33.73,33.88,2575123
2013-08-22,33.95,34.63,33.93,34.35,1796870
2013-08-23,34.63,34.63,33.87,34.24,2683742
2013-08-26,34.21,34.36,33.73,33.77,2620216
2013-08-27,33.32,33.39,32.29,32.44,4282497
2013-08-28,32.35,32.6,31.95,32.3,3091166
2013-08-29,32.14,32.74,32.01,32.42,2361683
2013-08-30,32.47,32.49,31.92,32.02,2971606
2013-09-03,32.55,32.75,31.59,31.9,4606797
2013-09-04,31.95,32.55,31.91,32.36,5917705
2013-09-05,32.4,32.75,32.3,32.55,3112068
2013-09-06,33.01,33.24,32.29,32.91,4359719
2013-09-09,32.91,33.1,32.73,33.0,3137425
2013-09-10,33.18,33.38,33.04,33.16,3277399
2013-09-11,33.08,33.51,33.01,33.26,3274951
2013-09-12,33.52,33.54,33.15,33.22,2802557
2013-09-13,33.26,33.4,32.98,33.31,2141178
2013-09-16,33.71,33.78,33.33,33.6,2341795
2013-09-17,33.58,33.99,33.39,33.96,2627852
2013-09-18,33.92,34.44,33.72,34.17,4301889
2013-09-19,34.3,34.39,32.85,33.14,6566750
2013-09-20,33.09,33.29,32.88,32.94,6559721
2013-09-23,32.84,32.97,32.28,32.55,4237326
2013-09-24,32.48,32.85,32.11,32.48,3868307
2013-09-25,32.52,32.88,32.11,32.63,3779294
2013-09-26,32.67,32.86,32.41,32.64,3030899
2013-09-27,32.36,32.82,32.3,32.6,3176282
2013-09-30,32.25,32.64,32.07,32.42,5057154
2013-10-01,32.51,32.92,32.37,32.8,2721409
2013-10-02,32.53,32.79,32.38,32.65,2769054
2013-10-03,32.6,32.75,32.22,32.59,3456576
2013-10-04,32.61,33.03,32.54,32.99,2145955
2013-10-07,32.61,32.66,32.27,32.29,1719374
2013-10-08,32.22,32.49,32.15,32.16,3461113
2013-10-09,32.19,32.43,31.97,32.27,5618809
2013-10-10,32.66,33.39,32.65,33.35,3002025
2013-10-11,32.99,33.52,32.65,33.51,4049570
2013-10-14,33.22,33.48,33.09,33.43,2768870
2013-10-15,33.31,33.54,33.15,33.21,2287068
2013-10-16,33.5,34.0,33.34,33.84,2673693
2013-10-17,33.63,34.23,33.45,34.03,3078785
2013-10-18,34.61,34.92,33.86,34.67,5211861
2013-10-21,34.53,34.83,34.44,34.56,2622712
2013-10-22,34.54,34.84,34.38,34.59,5507355
2013-10-23,34.34,34.4,33.6,33.71,10101707
2013-10-24,33.72,33.79,33.09,33.36,6832561
2013-10-25,33.42,33.75,33.29,33.71,3834091
2013-10-28,33.7,34.29,33.56,34.07,3092288
2013-10-29,34.14,34.17,33.79,34.02,1989539
2013-10-30,34.09,34.25,33.93,34.14,2918946
2013-10-31,34.07,34.13,33.64,33.64,3131248
