Date,Open,High,Low,Close,Volume
2013-01-02,31.59,32.0,31.27,31.95,7446477
2013-01-03,31.93,32.0,31.32,31.38,4948817
2013-01-04,31.47,31.63,31.11,31.45,4520851
2013-01-07,31.39,31.91,31.16,31.48,5594098
2013-01-08,31.32,31.92,30.82,31.39,8464176
2013-01-09,32.0,33.5,31.95,33.48,17975082
2013-01-10,33.66,33.72,32.98,33.68,9941043
2013-01-11,33.75,33.78,33.05,33.29,7241735
2013-01-14,33.55,34.45,32.8,33.97,11264419
2013-01-15,33.93,34.69,33.55,34.46,8044343
2013-01-16,34.22,34.7,34.06,34.3,4906418
2013-01-17,34.41,35.08,34.36,35.02,7421985
2013-01-18,34.94,35.41,34.6,35.38,8398388
2013-01-22,35.46,37.92,35.34,37.89,15326825
2013-01-23,37.9,37.94,36.15,36.62,11842253
2013-01-24,36.39,37.37,36.27,36.87,8486687
2013-01-25,37.13,37.56,36.92,37.25,8976244
2013-01-28,37.7,37.83,37.25,37.41,8838297
2013-01-29,35.14,35.15,33.6,33.91,16672965
2013-01-30,33.91,34.44,33.85,33.89,5939983
2013-01-31,33.21,34.84,32.96,33.98,13520872
2013-02-01,34.38,34.4,33.23,33.67,7864892
2013-02-04,33.44,34.17,33.16,33.8,7083861
2013-02-05,33.82,34.24,33.43,33.96,5903837
2013-02-06,33.8,34.7,33.72,34.62,6000311
2013-02-07,34.39,34.76,33.53,34.74,9803890
2013-02-08,34.85,36.83,34.76,35.48,10520758
2013-02-11,35.56,35.66,34.8,35.05,4311993
2013-02-12,35.12,35.14,34.66,34.68,3486369
2013-02-13,34.93,35.08,34.64,35.01,3404630
2013-02-14,34.81,35.26,34.8,34.95,3537420
2013-02-15,34.78,35.02,34.24,34.44,5091327
2013-02-19,34.74,34.74,33.97,34.18,4976995
2013-02-20,34.24,34.24,32.39,32.5,5580616
2013-02-21,32.23,32.34,31.38,31.72,5674851
2013-02-22,31.98,32.25,31.37,31.84,4413196
2013-02-25,32.31,32.4,30.79,30.84,4889746
2013-02-26,30.93,31.53,30.26,31.33,5136311
2013-02-27,31.28,32.13,31.03,31.97,3485292
2013-02-28,31.86,32.5,31.71,32.16,5460052
2013-03-01,32.03,32.45,31.72,32.32,3921461
2013-03-04,32.29,32.4,31.55,32.04,4806401
2013-03-05,32.29,32.62,32.1,32.34,3912681
2013-03-06,32.52,33.26,32.45,33.02,5379251
2013-03-07,33.18,33.2,31.94,32.22,5739702
2013-03-08,32.43,32.56,32.01,32.5,4433548
2013-03-11,32.31,33.39,32.2,33.33,4424573
2013-03-12,33.28,35.06,33.12,34.94,8729905
2013-03-13,35.04,35.82,34.7,35.32,6580715
2013-03-14,35.5,35.95,35.37,35.89,5130196
2013-03-15,35.7,35.82,34.8,35.35,10203285
2013-03-18,34.81,35.56,34.5,35.29,3330573
2013-03-19,35.3,35.44,34.09,34.39,4444676
2013-03-20,34.81,35.11,34.69,34.95,2573432
2013-03-21,34.7,34.78,34.08,34.52,3195104
2013-03-22,34.63,34.85,34.15,34.72,2421692
2013-03-25,34.93,34.99,34.26,34.72,3751975
2013-03-26,35.09,36.48,35.01,35.88,9470642
2013-03-27,35.68,36.86,35.59,36.68,5966116
2013-03-28,36.65,36.95,36.26,36.56,4485077
2013-04-01,36.86,37.14,36.41,36.72,3534968
2013-04-02,36.72,36.72,35.8,36.28,3947274
2013-04-03,36.42,37.0,35.95,36.06,5040649
2013-04-04,36.13,36.37,35.77,36.34,2524548
2013-04-05,35.88,35.88,35.01,35.51,6002604
2013-04-08,35.81,36.25,35.18,35.98,3671110
2013-04-09,36.0,37.26,35.95,36.96,5694103
2013-04-10,37.18,37.9,37.0,37.68,5664792
2013-04-11,36.99,37.04,35.75,36.53,7282087
2013-04-12,36.49,36.6,35.84,36.09,3970162
2013-04-15,35.79,36.55,34.57,34.8,6120715
2013-04-16,34.98,35.85,34.8,35.34,4611728
2013-04-17,35.01,35.27,34.08,34.72,4970753
2013-04-18,34.89,35.15,33.69,33.93,5917412
2013-04-19,33.77,34.54,33.22,34.44,5205873
2013-04-22,34.5,35.22,34.35,34.81,3383924
2013-04-23,35.3,36.24,35.1,36.03,4746749
