Date,Open,High,Low,Close,Volume
2013-01-02,35.95,37.57,35.8,37.56,2481489
2013-01-03,37.44,37.48,36.54,36.69,2584202
2013-01-04,36.68,36.9,36.6,36.75,1182865
2013-01-07,36.52,36.77,36.37,36.41,1889363
2013-01-08,36.39,36.47,34.85,36.06,4419411
2013-01-09,37.25,37.51,35.14,35.82,4685209
2013-01-10,36.33,36.35,35.51,35.68,3262749
2013-01-11,35.74,35.99,35.41,35.63,2838038
2013-01-14,35.31,35.88,34.46,35.33,5360684
2013-01-15,34.95,36.58,34.54,36.41,3536556
2013-01-16,37.2,38.9,37.0,38.65,6863259
2013-01-17,38.39,38.99,38.21,38.55,3023189
2013-01-18,38.58,38.79,37.99,38.74,1849094
2013-01-22,38.59,38.67,37.71,38.1,3081492
2013-01-23,37.95,38.4,37.78,37.89,2005714
2013-01-24,37.96,38.21,37.62,37.77,1734634
2013-01-25,37.98,38.75,37.72,38.5,2418941
2013-01-28,38.49,38.85,38.26,38.66,1443895
2013-01-29,38.75,39.64,38.62,39.42,2835255
2013-01-30,39.3,39.58,39.07,39.17,2703122
2013-01-31,39.16,39.25,28.37,32.36,38179148
2013-02-01,32.98,33.71,31.82,32.68,12077646
2013-02-04,32.17,32.32,31.45,31.55,6566460
2013-02-05,31.17,31.43,30.41,30.91,10273364
2013-02-06,30.81,31.55,30.68,31.37,5717099
2013-02-07,31.43,31.83,31.08,31.59,5235005
2013-02-08,31.62,32.42,31.61,31.85,4908434
2013-02-11,31.64,31.7,31.05,31.32,2966042
2013-02-12,31.3,31.71,31.14,31.49,3067911
2013-02-13,31.65,32.16,31.39,31.88,2996131
2013-02-14,40.8,44.18,40.05,43.75,50295629
2013-02-15,43.2,44.2,43.01,43.39,10443047
2013-02-19,43.3,43.71,42.86,43.28,5268699
2013-02-20,43.18,43.19,41.13,41.8,7540958
2013-02-21,43.17,43.43,42.04,42.96,10012673
2013-02-22,43.07,43.98,42.91,43.96,3032185
2013-02-25,44.13,44.99,43.26,43.97,5603082
2013-02-26,44.06,44.85,43.89,44.71,2286512
2013-02-27,44.55,44.92,44.4,44.65,2723630
2013-02-28,44.49,44.74,43.89,44.24,2555935
2013-03-01,44.14,44.33,43.61,43.84,2625056
2013-03-04,43.62,44.54,43.6,44.45,1725402
2013-03-05,45.01,45.01,44.01,44.14,2569855
2013-03-06,44.24,44.24,43.07,43.25,2901530
2013-03-07,43.25,44.1,43.24,44.05,2575399
2013-03-08,44.18,44.9,42.42,43.99,4454555
2013-03-11,43.63,43.92,43.38,43.47,2270041
2013-03-12,43.41,43.64,42.93,43.28,2403720
2013-03-13,43.32,44.01,43.32,43.89,1543045
2013-03-14,43.95,44.84,43.83,44.71,2231874
2013-03-15,44.55,45.92,44.4,45.75,4678529
2013-03-18,46.7,47.29,46.44,47.1,4071399
2013-03-19,47.12,47.35,46.55,47.2,2670828
2013-03-20,47.43,47.82,46.82,46.87,1879221
2013-03-21,46.58,47.27,46.26,46.26,1669159
2013-03-22,46.21,47.09,46.15,46.59,1383380
2013-03-25,46.74,46.88,46.12,46.79,1400278
2013-03-26,47.01,47.58,46.85,47.54,1244757
2013-03-27,47.17,47.48,46.88,47.41,809371
2013-03-28,47.54,47.67,47.12,47.64,1494496
2013-04-01,47.66,47.68,46.94,47.3,1017561
2013-04-02,47.48,49.22,47.33,48.79,2826200
2013-04-03,48.91,48.91,48.09,48.35,3606034
2013-04-04,48.21,48.88,47.78,48.25,2969415
2013-04-05,47.55,48.05,47.51,47.84,2980624
2013-04-08,49.06,49.23,48.2,48.57,3567420
2013-04-09,48.59,48.88,48.25,48.63,2619680
2013-04-10,48.5,49.15,48.2,48.77,4581887
2013-04-11,48.03,49.54,48.03,49.42,3181539
2013-04-12,48.99,49.54,48.77,49.19,2183512
2013-04-15,48.82,49.05,47.98,48.18,2857284
2013-04-16,48.57,48.91,47.71,48.11,3017216
2013-04-17,47.83,47.96,46.83,47.4,2973064
2013-04-18,47.48,47.56,46.87,47.34,1597121
2013-04-19,47.39,48.61,47.36,48.52,6405336
2013-04-22,48.34,48.59,47.64,47.79,2166396
2013-04-23,48.21,48.9,48.04,48.89,3920815
2013-04-24,48.67,48.86,47.78,48.04,2001063
2013-04-25,48.32,48.53,48.03,48.47,1851801
2013-04-26,48.26,48.32,47.67,47.79,1220957
2013-04-29,47.66,47.99,47.41,47.75,1158439
2013-04-30,47.55,49.36,47.39,49.35,4171490
2013-05-01,48.97,49.91,48.97,49.23,2804016
2013-05-02,49.25,49.93,49.24,49.91,2455797
2013-05-03,50.1,50.34,49.75,50.21,2068714
2013-05-06,50.09,50.34,49.55,50.23,1321612
2013-05-07,50.26,50.52,50.1,50.15,1673884
2013-05-08,50.19,50.32,49.85,49.9,1642469
2013-05-09,49.91,49.97,48.72,48.8,2055577
2013-05-10,48.98,49.44,48.68,49.35,1786024
2013-05-13,49.37,49.7,49.1,49.36,792202
2013-05-14,49.46,50.16,49.38,50.13,1426558
2013-05-15,49.89,50.59,49.66,50.24,1052395
2013-05-16,51.01,53.0,51.01,51.76,4418143
2013-05-17,51.84,52.27,51.32,52.21,1833757
2013-05-20,51.9,52.1,51.37,51.45,1243817
2013-05-21,51.45,52.26,51.25,51.89,1962616
2013-05-22,51.84,52.42,51.19,51.5,2075039
2013-05-23,51.15,51.94,50.83,51.88,1500486
2013-05-24,51.68,53.02,51.43,53.0,2188996
2013-05-28,53.48,54.2,53.08,53.47,2323011
2013-05-29,53.22,53.94,52.98,53.55,2620093
2013-05-30,53.65,54.64,53.56,54.36,2712555
2013-05-31,54.1,54.44,52.66,53.01,3363328
2013-06-03,53.21,53.5,52.03,53.41,2142715
2013-06-04,53.34,53.65,51.73,52.11,2862799
2013-06-05,51.95,53.27,51.57,51.95,3185121
2013-06-06,52.19,52.49,50.74,52.34,3234162
2013-06-07,52.59,53.49,52.59,53.34,2679510
2013-06-10,53.48,53.62,52.67,52.8,1377841
2013-06-11,52.26,52.88,51.83,52.16,1702079
2013-06-12,52.21,52.36,51.2,51.51,1770991
2013-06-13,51.5,52.1,51.09,52.01,1220838
2013-06-14,51.89,52.13,51.49,52.02,1017686
2013-06-17,52.36,52.73,51.89,52.35,1058902
2013-06-18,52.2,52.67,51.75,52.59,974065
2013-06-19,52.61,52.79,51.69,51.7,1007807
2013-06-20,51.3,51.31,50.11,50.38,2288704
2013-06-21,50.79,51.02,50.04,50.49,2049927
2013-06-24,50.01,50.77,49.09,50.33,1650545
2013-06-25,50.6,50.91,50.22,50.51,1194149
2013-06-26,50.85,51.8,50.75,51.39,1407281
2013-06-27,51.64,52.41,51.59,51.87,1032075
2013-06-28,51.71,52.31,51.42,52.12,3066037
2013-07-01,52.49,53.25,52.16,53.15,2818010
2013-07-02,52.44,53.75,50.16,51.25,8252582
2013-07-03,50.93,51.07,50.31,50.46,2666397
2013-07-05,50.79,50.93,50.22,50.59,1883191
2013-07-08,50.67,51.09,50.31,50.97,1687666
2013-07-09,51.23,51.49,50.8,51.26,1237195
2013-07-10,51.27,51.5,50.96,51.23,974249
2013-07-11,52.14,52.4,51.57,52.21,2143537
2013-07-12,52.14,52.48,51.93,52.31,767402
2013-07-15,52.43,52.5,52.02,52.25,1029223
2013-07-16,52.13,52.69,52.01,52.39,1705686
2013-07-17,52.5,52.5,51.65,51.84,2503867
2013-07-18,51.77,51.94,51.57,51.89,2159513
2013-07-19,52.02,52.07,51.3,52.02,2245131
2013-07-22,51.86,52.37,51.78,52.18,1297925
2013-07-23,52.33,52.33,51.46,51.5,1252631
2013-07-24,51.54,51.78,50.17,50.9,2251650
2013-07-25,50.63,50.63,49.32,50.0,3076160
2013-07-26,49.83,50.78,49.71,50.6,1502937
2013-07-29,50.61,51.3,50.5,51.11,1094417
2013-07-30,51.33,51.98,51.33,51.53,1424143
2013-07-31,51.73,52.52,51.63,52.09,1948098
2013-08-01,52.5,53.45,52.5,53.09,1601005
2013-08-02,53.14,53.72,52.95,53.42,982645
2013-08-05,53.3,54.03,53.3,54.02,1131130
2013-08-06,54.02,54.22,53.8,54.11,1601452
2013-08-07,54.04,54.21,53.88,53.97,1526726
2013-08-08,54.1,54.8,53.98,54.67,1108477
2013-08-09,54.5,54.76,54.18,54.26,1211188
2013-08-12,53.99,54.09,53.68,54.07,712946
2013-08-13,54.13,54.9,53.92,54.71,1260523
2013-08-14,54.7,54.74,54.39,54.43,1068519
2013-08-15,53.78,53.99,53.34,53.61,1303488
2013-08-16,53.42,54.04,53.17,53.94,1107510
2013-08-19,53.78,54.39,53.62,53.83,949270
2013-08-20,53.8,54.6,53.64,54.21,777364
2013-08-21,53.98,54.25,53.12,53.94,1429055
2013-08-22,53.94,55.27,53.94,55.18,1130807
2013-08-23,55.34,56.0,55.14,55.86,1831174
2013-08-26,55.9,55.9,55.58,55.69,1540095
2013-08-27,55.07,55.45,54.75,55.0,1061897
