Date,Open,High,Low,Close,Volume
2013-01-02,21.04,21.75,21.04,21.65,5464737
2013-01-03,21.83,22.04,21.43,21.49,3063766
2013-01-04,21.5,21.57,20.6,20.95,6131025
2013-01-07,20.89,21.49,20.77,21.26,2651027
2013-01-08,21.22,21.27,20.35,20.41,4622934
2013-01-09,20.7,21.1,20.47,21.01,3096752
2013-01-10,21.65,22.01,21.22,21.32,4737445
2013-01-11,21.38,21.55,21.07,21.37,2049616
2013-01-14,20.63,21.28,20.62,21.01,3050200
2013-01-15,20.86,20.97,20.25,20.5,3808253
2013-01-16,20.62,21.5,20.44,21.31,4019729
2013-01-17,21.46,21.81,21.35,21.66,3568481
2013-01-18,21.55,21.82,20.84,20.88,4200620
2013-01-22,21.01,21.17,20.72,20.76,4114123
2013-01-23,21.09,22.31,20.8,21.84,5376235
2013-01-24,20.76,22.11,20.45,21.44,7083434
2013-01-25,21.58,21.81,20.98,21.05,4192667
2013-01-28,21.39,21.61,21.16,21.31,4542389
2013-01-29,21.45,21.51,21.1,21.17,4446879
2013-01-30,21.15,21.84,21.15,21.56,7536500
2013-01-31,24.29,24.68,23.78,23.94,13535258
2013-02-01,24.26,24.68,24.08,24.33,7412067
2013-02-04,24.0,24.5,23.34,23.53,5318623
2013-02-05,23.69,23.82,23.43,23.59,3030879
2013-02-06,23.73,24.19,23.56,24.18,3893838
2013-02-07,24.02,24.25,23.55,23.77,2946615
2013-02-08,23.87,24.31,23.87,23.93,2522548
2013-02-11,23.87,24.34,23.73,24.25,2388014
2013-02-12,24.14,24.5,24.03,24.2,2991270
2013-02-13,24.21,24.5,24.06,24.3,2684874
2013-02-14,24.12,25.04,24.1,24.97,4413204
2013-02-15,24.95,25.0,24.39,24.5,2876718
2013-02-19,24.75,25.1,24.48,24.54,2511078
2013-02-20,24.54,24.57,23.57,23.62,3727210
2013-02-21,23.4,23.48,20.4,21.16,20354287
2013-02-22,21.65,22.34,21.6,21.85,9046261
2013-02-25,21.96,22.08,20.9,20.93,7601833
2013-02-26,21.1,21.15,20.28,20.44,5795976
2013-02-27,20.35,21.46,20.35,21.19,5244697
2013-02-28,21.5,21.64,21.2,21.3,3672672
2013-03-01,21.08,21.18,20.6,20.7,5449468
2013-03-04,20.68,20.82,20.25,20.42,5361187
2013-03-05,20.67,20.96,20.36,20.87,6769540
2013-03-06,20.9,21.24,20.48,21.16,6465013
2013-03-07,21.33,21.51,21.04,21.09,2768163
2013-03-08,21.23,21.51,21.05,21.4,2690506
2013-03-11,21.3,21.64,21.15,21.44,2945131
2013-03-12,21.36,21.66,21.33,21.51,2788807
2013-03-13,21.55,22.56,21.52,22.17,3844030
2013-03-14,22.42,22.67,22.16,22.3,2863979
2013-03-15,22.24,22.48,21.66,21.74,6062014
2013-03-18,21.36,21.74,20.98,21.57,3395651
2013-03-19,21.69,21.85,21.42,21.64,3211197
2013-03-20,21.75,21.93,21.4,21.68,2570826
2013-03-21,21.44,21.67,21.13,21.52,2945161
2013-03-22,21.58,21.7,21.33,21.49,2565391
2013-03-25,21.69,21.81,21.15,21.27,2927920
2013-03-26,21.48,21.76,21.16,21.6,2986748
2013-03-27,21.54,21.77,21.21,21.64,2706379
2013-03-28,21.59,22.06,21.54,22.02,2027561
2013-04-01,21.98,22.08,21.15,21.2,2798380
2013-04-02,21.33,21.55,20.85,20.97,3669429
2013-04-03,21.07,21.12,20.35,20.53,3755523
2013-04-04,20.52,21.02,20.44,21.01,2589732
2013-04-05,20.58,20.95,20.25,20.91,2291499
2013-04-08,20.88,21.29,20.77,21.24,1829990
2013-04-09,21.37,21.39,20.83,21.1,1859220
2013-04-10,21.23,22.02,21.1,21.84,2975914
2013-04-11,21.66,22.5,21.51,22.42,5056348
2013-04-12,22.14,22.35,21.92,22.1,3538040
2013-04-15,21.99,22.13,21.22,21.25,2470160
2013-04-16,21.56,21.7,21.23,21.64,2387962
2013-04-17,21.31,21.35,20.49,20.68,4466739
2013-04-18,20.84,20.99,20.1,20.15,2475680
2013-04-19,20.16,20.32,19.57,20.17,3029646
2013-04-22,20.17,20.62,19.57,20.58,3859343
2013-04-23,20.8,21.32,20.63,20.8,3588617
2013-04-24,21.06,21.6,20.86,21.44,3248583
2013-04-25,21.47,22.26,21.45,22.02,5248991
2013-04-26,22.03,22.3,21.05,21.42,5431623
2013-04-29,21.66,22.35,21.31,22.05,5946344
2013-04-30,21.92,22.12,21.69,22.07,3776237
2013-05-01,22.17,22.18,21.37,21.57,3914848
2013-05-02,21.72,22.03,21.61,21.95,2329861
2013-05-03,22.24,22.61,22.12,22.36,3215505
2013-05-06,22.49,23.34,22.46,23.04,3587848
2013-05-07,23.01,23.09,22.5,22.68,2992975
2013-05-08,22.68,23.08,22.62,23.01,2419057
2013-05-09,22.91,23.4,22.81,23.26,2186852
2013-05-10,23.2,23.78,23.2,23.69,3351802
2013-05-13,23.68,23.8,23.43,23.56,2688511
2013-05-14,23.54,23.78,23.49,23.68,2912509
2013-05-15,23.55,23.95,23.5,23.95,2404863
2013-05-16,23.77,24.08,23.54,23.6,2614216
2013-05-17,23.81,23.91,23.58,23.89,2800449
2013-05-20,23.76,23.89,23.55,23.73,1905215
2013-05-21,23.73,24.0,23.54,23.68,2089724
2013-05-22,23.75,23.89,22.98,23.23,2736590
2013-05-23,22.72,23.21,22.34,23.09,3055588
2013-05-24,22.92,22.97,22.32,22.64,2757259
2013-05-28,23.0,23.16,22.71,22.86,2131116
2013-05-29,22.74,22.76,22.41,22.58,2732100
2013-05-30,22.94,23.73,22.86,23.64,4906415
2013-05-31,23.62,24.58,23.51,23.86,5957220
2013-06-03,23.92,24.15,23.38,23.57,3234320
2013-06-04,23.54,24.01,23.28,23.6,3130067
2013-06-05,23.44,23.55,22.93,23.13,3629107
2013-06-06,23.24,23.29,21.9,22.66,6071485
2013-06-07,22.63,22.75,21.84,22.4,3956623
2013-06-10,22.46,22.58,22.14,22.17,2170851
2013-06-11,21.87,21.97,21.28,21.34,3843048
2013-06-12,21.5,21.59,20.62,20.72,3656311
2013-06-13,20.94,22.09,20.87,21.98,4660392
2013-06-14,22.34,22.34,21.73,21.77,1801429
2013-06-17,22.0,22.15,21.69,21.83,1371978
2013-06-18,21.92,22.46,21.92,22.31,2407057
2013-06-19,22.37,22.6,22.2,22.21,3406771
2013-06-20,21.88,22.09,21.55,21.62,3954567
2013-06-21,21.77,22.0,21.35,21.8,4304660
2013-06-24,21.54,21.57,20.95,21.16,5310884
2013-06-25,21.44,21.63,21.11,21.4,3052627
