Date,Open,High,Low,Close,Volume
2013-01-02,56.9,57.53,54.51,55.13,4837920
2013-01-03,55.5,55.78,54.71,54.95,4163516
2013-01-04,55.22,56.36,55.22,55.51,6416199
2013-01-07,55.51,56.08,55.02,55.63,3681337
2013-01-08,55.88,57.64,55.77,57.33,4130914
2013-01-09,57.48,58.58,57.4,57.96,4801343
2013-01-10,57.64,57.97,56.24,57.49,5513098
2013-01-11,57.6,59.31,57.56,58.89,5109517
2013-01-14,59.4,61.8,59.32,61.01,6284018
2013-01-15,60.81,61.43,60.12,61.41,3693763
2013-01-16,60.82,61.41,60.4,61.0,2243493
2013-01-17,61.13,61.84,60.59,61.57,2916282
2013-01-18,61.49,61.94,60.87,61.8,3454679
2013-01-22,61.6,61.6,59.86,60.68,6183967
2013-01-23,50.98,52.44,50.47,50.75,50981965
2013-01-24,51.36,51.46,50.75,50.9,14511717
2013-01-25,51.47,51.7,50.68,51.21,11300786
2013-01-28,51.39,51.59,50.83,51.52,5973706
2013-01-29,51.77,52.35,51.48,52.22,7133358
2013-01-30,52.27,52.35,51.35,51.55,7867941
2013-01-31,51.73,52.03,50.84,51.0,5768704
2013-02-01,51.38,51.39,49.54,49.87,9587260
2013-02-04,49.86,50.13,48.52,48.67,7616492
2013-02-05,48.73,49.25,48.66,48.81,4709264
2013-02-06,48.93,49.25,48.65,49.1,6453028
2013-02-07,49.28,49.74,48.51,48.61,5844525
2013-02-08,48.69,49.09,48.38,48.93,4458129
2013-02-11,48.92,49.14,48.58,48.93,3390778
2013-02-12,48.77,49.59,48.77,49.01,4732987
2013-02-13,48.94,49.31,48.7,48.77,3729742
2013-02-14,48.45,48.68,48.1,48.2,5002691
2013-02-15,48.36,48.67,48.05,48.4,4974089
2013-02-19,48.85,49.11,48.06,49.02,4666672
2013-02-20,49.02,49.46,47.96,48.13,4446329
2013-02-21,48.09,48.46,47.11,47.62,6382883
2013-02-22,47.87,47.97,46.47,46.79,5931601
2013-02-25,47.27,47.53,46.71,46.77,5980753
2013-02-26,46.95,47.14,45.87,46.5,6770564
2013-02-27,48.22,49.0,47.75,47.82,14253946
2013-02-28,47.93,48.64,47.55,48.33,5352302
2013-03-01,48.02,48.52,47.86,48.22,4099765
2013-03-04,48.24,49.54,48.18,49.28,5047554
2013-03-05,49.59,50.89,49.54,50.1,5969357
2013-03-06,50.25,50.42,49.54,49.93,7395384
2013-03-07,50.1,50.19,48.12,48.54,9074782
2013-03-08,48.94,49.24,48.38,48.93,12465447
2013-03-11,49.05,49.81,48.53,49.5,7458954
2013-03-12,49.69,49.89,48.61,48.81,5786747
2013-03-13,50.04,50.1,48.91,49.67,7498456
2013-03-14,49.88,50.4,49.52,49.99,5533451
2013-03-15,50.25,50.73,50.01,50.41,7036962
2013-03-18,49.88,50.18,49.13,49.27,6972387
2013-03-19,49.52,49.69,47.81,48.47,7702787
2013-03-20,48.8,49.42,48.52,49.29,4121136
2013-03-21,49.1,50.4,49.1,49.81,7366379
2013-03-22,50.1,50.65,50.02,50.27,4801692
2013-03-25,50.44,50.55,49.35,49.72,4372954
2013-03-26,49.83,49.88,48.83,49.5,3825012
2013-03-27,49.34,49.9,48.64,49.61,4025768
2013-03-28,49.47,50.07,49.01,49.99,5576044
2013-04-01,49.78,50.33,49.45,49.99,4267826
2013-04-02,50.13,50.87,50.09,50.39,4580185
2013-04-03,50.5,50.98,50.1,50.55,5055839
2013-04-04,50.48,50.82,50.06,50.33,4282455
2013-04-05,49.7,50.18,48.76,50.1,4873148
2013-04-08,50.07,50.48,49.41,50.0,2940452
2013-04-09,49.9,50.09,49.25,49.93,4760376
2013-04-10,50.1,51.45,50.1,51.21,6193033
2013-04-11,51.3,52.75,51.25,52.33,6856154
2013-04-12,52.05,52.46,51.84,52.37,4362263
2013-04-15,52.06,52.14,51.21,51.44,5685114
2013-04-16,51.62,51.74,50.76,51.71,4122782
2013-04-17,51.04,51.11,50.44,50.85,4730401
2013-04-18,50.97,52.56,50.44,51.38,8466870
2013-04-19,50.63,51.79,50.4,51.2,5689472
2013-04-22,51.22,51.45,50.28,50.59,7838124
2013-04-23,55.89,56.74,54.97,55.55,20610127
2013-04-24,55.22,56.51,55.22,56.28,7100057
2013-04-25,56.2,57.98,56.08,57.53,5640899
2013-04-26,57.48,57.74,57.03,57.42,3535618
2013-04-29,57.76,58.95,57.25,58.27,5029015
2013-04-30,58.33,58.95,57.96,58.86,4100866
2013-05-01,58.8,58.9,58.1,58.24,4145225
2013-05-02,58.2,58.99,57.92,58.18,3961071
2013-05-03,58.56,58.96,58.2,58.25,3417616
2013-05-06,58.26,58.34,57.28,57.33,3827857
2013-05-07,56.65,58.32,56.5,58.28,6216647
2013-05-08,58.12,58.82,57.78,58.74,3464659
2013-05-09,58.84,58.98,58.27,58.53,2979629
2013-05-10,58.41,59.83,58.32,59.5,4640155
2013-05-13,59.14,59.78,59.1,59.18,2934621
2013-05-14,59.2,59.45,58.77,59.1,3080109
2013-05-15,59.07,59.47,58.47,58.85,3245603
2013-05-16,58.88,59.44,58.16,58.38,2926561
2013-05-17,58.51,59.23,58.37,59.23,4443237
2013-05-20,59.25,59.83,58.96,59.53,3663963
2013-05-21,58.94,59.61,58.85,59.6,3992848
2013-05-22,59.59,60.12,58.79,59.05,4217550
2013-05-23,58.35,58.61,57.82,58.59,3062954
2013-05-24,58.25,58.31,57.0,57.76,3474312
2013-05-28,58.88,59.54,58.18,58.58,3483023
2013-05-29,58.3,58.63,57.97,58.23,2164102
2013-05-30,58.16,58.83,58.08,58.37,2161994
2013-05-31,58.3,59.17,58.02,58.26,3015977
2013-06-03,58.58,58.99,58.11,58.54,3504967
2013-06-04,58.07,58.88,58.0,58.57,3703932
2013-06-05,58.21,58.26,57.29,57.57,4128626
2013-06-06,57.41,57.53,57.0,57.52,3735717
2013-06-07,58.0,59.0,57.84,58.75,3349009
2013-06-10,58.8,59.04,58.21,58.69,1992949
2013-06-11,57.95,58.8,57.81,58.45,3011264
2013-06-12,58.76,58.76,57.05,57.72,5045453
2013-06-13,57.82,58.93,57.45,58.7,3576658
2013-06-14,58.59,58.81,58.21,58.52,3710166
2013-06-17,58.8,59.49,57.78,58.13,4015700
2013-06-18,58.08,58.49,57.64,58.48,2105459
2013-06-19,58.5,59.0,58.08,58.19,2263819
2013-06-20,57.75,57.94,57.09,57.29,3299051
2013-06-21,57.78,57.89,56.1,56.54,3981535
2013-06-24,55.76,55.81,53.79,55.27,5269614
2013-06-25,55.4,55.97,54.94,55.14,3051824
2013-06-26,55.79,56.43,55.59,55.99,2638233
2013-06-27,56.51,56.68,56.09,56.38,1837871
2013-06-28,56.27,57.69,56.24,57.09,4643427
2013-07-01,57.35,57.72,56.91,57.02,2054794
2013-07-02,56.96,57.32,56.2,56.6,2141075
2013-07-03,56.1,56.91,55.84,56.46,1097977
2013-07-05,56.9,57.73,56.61,57.45,1708948
2013-07-08,57.72,57.99,57.34,57.75,2064458
2013-07-09,58.05,58.29,57.69,58.01,2270547
2013-07-10,58.81,58.83,58.08,58.6,2127212
2013-07-11,59.25,59.36,58.83,59.05,1626912
2013-07-12,58.99,59.32,58.29,59.0,1667167
2013-07-15,58.99,59.3,58.63,59.18,1266896
2013-07-16,59.2,59.32,57.83,58.25,2986170
2013-07-17,58.3,58.79,57.8,58.07,2477565
2013-07-18,58.39,58.89,58.19,58.8,2231901
2013-07-19,59.0,59.45,58.73,59.31,2878268
2013-07-22,59.19,59.32,58.68,59.09,1751770
2013-07-23,59.08,59.5,58.98,59.45,1682492
2013-07-24,59.5,59.58,58.9,59.36,2595818
2013-07-25,59.26,59.57,59.07,59.55,1942712
2013-07-26,58.29,59.21,57.85,59.18,3123205
2013-07-29,58.8,58.8,57.38,57.85,6155567
2013-07-30,52.6,54.07,52.1,53.3,16270468
2013-07-31,52.58,53.35,52.4,53.13,6794769
2013-08-01,53.62,53.97,52.94,53.32,5100980
2013-08-02,53.12,53.78,53.05,53.33,3915887
2013-08-05,53.57,54.28,53.52,53.8,3979297
2013-08-06,53.87,54.04,53.29,53.94,4083904
2013-08-07,53.64,54.01,53.43,53.81,3270845
2013-08-08,54.1,54.49,53.84,53.87,4099373
2013-08-09,53.97,54.11,53.06,53.37,3712677
2013-08-12,53.07,53.56,52.6,53.06,3271166
2013-08-13,53.23,53.39,52.89,53.29,2357519
2013-08-14,53.29,53.5,52.88,53.23,2166652
2013-08-15,52.8,53.15,52.28,52.46,2964803
2013-08-16,52.33,52.53,51.85,51.9,3467844
2013-08-19,51.8,52.12,51.53,51.85,3116146
2013-08-20,51.75,52.83,51.72,52.06,2401167
2013-08-21,52.09,52.94,52.01,52.33,3391864
2013-08-22,52.59,52.8,52.15,52.7,2010511
