Date,Open,High,Low,Close,Volume
2013-01-02,21.72,22.31,21.57,22.3,1543851
2013-01-03,22.39,23.22,22.33,22.38,2202243
2013-01-04,22.38,22.44,22.18,22.27,1871033
2013-01-07,22.18,22.39,22.15,22.29,1314126
2013-01-08,22.29,22.79,22.25,22.7,1958014
2013-01-09,23.02,23.58,23.02,23.55,2711689
2013-01-10,23.6,23.66,23.21,23.33,2378542
2013-01-11,23.34,23.69,23.31,23.66,1676498
2013-01-14,23.59,23.75,23.52,23.75,1719326
2013-01-15,23.64,23.78,23.58,23.76,1588957
2013-01-16,23.7,23.78,23.67,23.73,1358672
2013-01-17,23.84,24.0,23.8,23.87,1476846
2013-01-18,23.84,23.91,23.49,23.62,2508526
2013-01-22,23.63,23.73,23.5,23.56,2862952
2013-01-23,23.69,23.76,23.29,23.33,3839694
2013-01-24,23.26,23.74,23.26,23.65,1348613
2013-01-25,23.68,23.81,23.61,23.75,1205154
2013-01-28,23.74,23.74,23.27,23.27,1371529
2013-01-29,23.19,23.22,22.99,23.07,1972600
2013-01-30,23.09,23.29,22.93,22.98,1542600
2013-01-31,23.0,23.32,22.98,23.25,1636886
2013-02-01,23.46,23.47,23.2,23.21,1009739
2013-02-04,23.1,23.26,22.97,23.13,1902623
2013-02-05,23.22,23.39,23.17,23.31,1072129
2013-02-06,23.24,23.39,23.1,23.36,913160
2013-02-07,23.32,23.34,22.96,23.08,1053210
2013-02-08,23.16,23.27,23.12,23.2,873203
2013-02-11,23.25,23.25,22.92,23.01,988780
2013-02-12,22.97,23.13,22.96,23.0,991264
2013-02-13,23.03,23.09,22.96,23.01,699202
2013-02-14,22.95,23.07,22.86,23.03,1514119
2013-02-15,23.04,23.32,23.04,23.27,1583941
2013-02-19,23.34,23.48,23.22,23.48,1436411
2013-02-20,22.16,22.79,21.53,21.97,7274585
2013-02-21,21.87,22.29,21.62,22.27,3322671
2013-02-22,23.18,23.26,22.63,22.87,2114076
2013-02-25,23.27,23.52,23.06,23.16,3349407
2013-02-26,23.24,23.42,22.97,23.36,2494076
2013-02-27,23.31,23.79,23.22,23.75,2429012
2013-02-28,23.69,23.87,23.52,23.76,2125206
2013-03-01,23.65,23.84,23.5,23.8,1422260
2013-03-04,23.67,23.82,23.51,23.78,2041980
2013-03-05,23.88,24.12,23.88,24.11,1497719
2013-03-06,24.14,24.19,23.96,24.17,1658971
2013-03-07,24.14,24.3,24.11,24.25,1177892
2013-03-08,24.29,24.38,24.15,24.25,1284250
2013-03-11,24.22,24.45,24.21,24.39,1101996
2013-03-12,24.31,24.43,24.26,24.35,1705935
2013-03-13,24.41,24.42,24.25,24.41,2062725
2013-03-14,24.43,24.47,24.32,24.45,1190317
2013-03-15,24.38,24.43,24.22,24.29,1724349
2013-03-18,24.08,24.15,23.95,24.01,1041900
2013-03-19,24.02,24.03,23.75,23.83,818818
2013-03-20,23.95,24.11,23.95,24.1,1069179
2013-03-21,23.93,24.25,23.92,24.19,1360366
2013-03-22,24.29,24.43,24.2,24.37,1112762
2013-03-25,24.43,24.54,24.27,24.5,2111868
2013-03-26,24.6,24.78,24.51,24.73,1671744
2013-03-27,24.65,24.68,24.46,24.57,797783
2013-03-28,24.54,24.83,24.43,24.78,1164580
2013-04-01,24.75,24.8,24.33,24.44,967971
2013-04-02,24.57,24.66,24.27,24.32,1488932
2013-04-03,24.38,24.42,23.95,24.02,1295393
2013-04-04,24.08,24.24,24.0,24.22,976040
2013-04-05,24.03,24.07,23.92,24.03,1817427
2013-04-08,24.03,24.2,23.99,24.17,919368
2013-04-09,24.25,24.6,24.24,24.48,1835794
2013-04-10,24.52,24.9,24.49,24.9,1226108
2013-04-11,24.91,25.05,24.84,24.94,1302868
2013-04-12,24.84,24.92,24.69,24.9,1263232
2013-04-15,24.76,24.86,24.33,24.33,1271611
2013-04-16,24.47,24.61,24.28,24.58,1206550
2013-04-17,24.48,24.48,24.0,24.23,1299396
2013-04-18,24.26,24.3,23.79,23.82,1623213
2013-04-19,23.92,23.98,23.69,23.95,803278
2013-04-22,23.96,24.04,23.65,24.01,813155
2013-04-23,24.08,24.29,23.89,24.24,1255184
2013-04-24,23.63,23.63,22.66,23.49,5610103
2013-04-25,23.48,23.66,23.33,23.44,1652776
2013-04-26,23.12,23.49,23.12,23.24,1458943
2013-04-29,23.37,23.58,23.3,23.49,976028
2013-04-30,23.54,23.7,23.39,23.62,1244479
2013-05-01,23.5,23.77,23.44,23.5,1188841
2013-05-02,23.57,23.65,23.29,23.64,961416
2013-05-03,23.74,24.03,23.68,23.92,1549894
2013-05-06,23.85,24.0,23.72,23.82,1260945
2013-05-07,23.85,23.96,23.8,23.93,1073472
2013-05-08,23.91,24.02,23.88,23.99,826618
2013-05-09,24.11,24.36,24.02,24.07,1931264
2013-05-10,24.13,24.3,24.07,24.24,1288665
2013-05-13,24.19,24.23,23.85,23.96,1212004
2013-05-14,23.98,24.08,23.93,23.98,1390889
2013-05-15,23.94,24.03,23.82,23.96,1556162
2013-05-16,23.92,24.05,23.78,23.9,1796790
2013-05-17,23.95,24.22,23.9,24.2,1136185
2013-05-20,24.14,24.19,23.95,24.14,1290282
2013-05-21,24.16,24.18,23.96,24.01,841241
2013-05-22,23.98,24.1,23.55,23.66,962948
2013-05-23,23.51,23.87,23.5,23.6,1101312
2013-05-24,23.5,23.72,23.4,23.65,715984
2013-05-28,23.84,23.99,23.75,23.82,627237
2013-05-29,23.66,23.73,23.44,23.64,884527
2013-05-30,23.68,23.88,23.64,23.72,485308
2013-05-31,23.62,23.8,23.5,23.51,1236405
2013-06-03,23.51,23.51,23.19,23.47,1331259
2013-06-04,23.48,23.64,23.28,23.46,1156501
2013-06-05,23.42,23.44,23.19,23.19,697328
2013-06-06,23.19,23.34,22.99,23.17,1381390
2013-06-07,23.28,23.54,23.25,23.43,975966
2013-06-10,23.46,23.53,23.33,23.41,835011
2013-06-11,23.15,23.49,23.14,23.19,1768831
2013-06-12,23.36,23.37,22.91,22.94,2118374
2013-06-13,22.94,23.95,22.91,23.76,2685711
2013-06-14,23.77,23.8,23.42,23.46,1295476
2013-06-17,23.56,23.64,23.29,23.35,1788177
2013-06-18,23.32,23.36,23.22,23.25,2406157
2013-06-19,23.23,23.25,22.98,23.0,2108665
2013-06-20,22.82,22.9,22.58,22.62,1306545
2013-06-21,22.86,23.37,22.7,22.78,3313910
2013-06-24,22.68,23.43,22.64,23.19,2420741
2013-06-25,23.38,23.6,23.24,23.52,2376151
2013-06-26,23.64,23.79,23.55,23.74,1123000
2013-06-27,23.86,24.37,23.79,24.32,1717913
2013-06-28,24.05,24.59,24.03,24.48,2277790
2013-07-01,24.52,24.92,24.5,24.71,2128788
2013-07-02,24.65,24.78,24.52,24.65,1476406
2013-07-03,24.5,24.76,24.5,24.71,613654
2013-07-05,24.85,24.85,24.6,24.78,1232162
2013-07-08,24.63,24.93,24.56,24.9,1909584
2013-07-09,24.97,25.29,24.86,25.28,1815316
2013-07-10,25.28,25.34,25.12,25.3,2116630
2013-07-11,25.57,25.77,25.53,25.67,1151211
2013-07-12,25.67,25.76,25.45,25.64,805928
2013-07-15,25.7,25.87,25.64,25.72,1327319
2013-07-16,25.66,25.8,25.47,25.5,957973
2013-07-17,25.55,25.63,25.44,25.45,730807
2013-07-18,25.48,25.76,25.44,25.62,976293
2013-07-19,25.6,25.66,25.37,25.47,922133
2013-07-22,25.44,25.84,25.23,25.64,1493729
2013-07-23,25.99,26.25,25.85,26.0,2789106
2013-07-24,26.35,27.62,26.32,27.19,3033143
2013-07-25,27.1,27.24,26.9,27.13,1628702
2013-07-26,26.55,27.2,26.5,27.17,1568843
2013-07-29,27.08,27.34,27.04,27.16,947662
2013-07-30,27.3,27.41,27.11,27.34,1025215
2013-07-31,27.46,27.7,27.24,27.41,1295076
