Date,Open,High,Low,Close,Volume
2013-01-02,48.71,49.76,48.7,49.76,8168831
2013-01-03,49.63,49.96,49.46,49.78,5771885
2013-01-04,49.8,49.94,49.26,49.37,5977779
2013-01-07,49.08,49.21,48.55,49.12,4946709
2013-01-08,49.07,50.15,48.85,50.15,8978072
2013-01-09,50.11,50.28,49.39,49.63,5281380
2013-01-10,49.95,49.99,49.44,49.81,4660738
2013-01-11,49.69,49.87,49.43,49.61,2726043
2013-01-14,49.65,49.78,48.92,49.3,5153762
2013-01-15,49.02,49.22,48.92,49.13,4586059
2013-01-16,49.08,49.31,48.84,49.17,3370427
2013-01-17,49.51,50.18,49.23,49.4,6749738
2013-01-18,49.58,49.93,49.41,49.93,4027067
2013-01-22,49.81,50.33,49.5,50.33,5200568
2013-01-23,50.08,50.97,50.05,50.82,4691095
2013-01-24,50.73,51.29,50.61,50.8,4727675
2013-01-25,50.88,50.99,50.18,50.4,5104935
2013-01-28,50.57,50.63,50.0,50.09,5119205
2013-01-29,49.89,50.22,49.5,50.06,5056665
2013-01-30,50.02,50.34,49.7,50.14,4282903
2013-01-31,50.05,50.73,49.9,50.52,4336622
2013-02-01,50.77,51.18,50.55,50.88,7565323
2013-02-04,50.44,50.83,50.11,50.44,4482561
2013-02-05,50.57,50.71,49.9,49.96,7450331
2013-02-06,51.01,52.72,50.7,52.01,13206987
2013-02-07,52.0,52.38,51.37,52.36,7616370
2013-02-08,52.16,52.85,52.16,52.57,6173786
2013-02-11,52.28,52.3,51.82,52.13,5250173
2013-02-12,52.03,52.69,52.03,52.5,5841848
2013-02-13,52.61,53.65,52.26,52.85,9524052
2013-02-14,52.64,53.89,52.54,53.63,8479130
2013-02-15,53.72,53.88,53.29,53.52,8872566
2013-02-19,53.61,53.9,53.44,53.79,4890231
2013-02-20,53.52,53.88,53.13,53.23,4176970
2013-02-21,52.97,53.08,52.33,52.61,6026468
2013-02-22,52.67,53.0,52.52,52.99,4390893
2013-02-25,53.0,53.35,51.62,51.64,6433022
2013-02-26,51.69,52.37,51.69,52.28,5270002
2013-02-27,52.32,53.42,52.04,53.31,6220502
2013-02-28,53.36,53.62,53.14,53.17,4029678
2013-03-01,53.04,54.0,52.66,53.62,6780690
2013-03-04,53.37,54.16,53.13,54.16,5976081
2013-03-05,54.39,55.55,54.34,55.05,6826474
2013-03-06,55.31,56.07,55.0,55.46,8275123
2013-03-07,56.75,56.89,55.7,56.78,14357720
2013-03-08,56.72,57.85,56.67,57.46,10274285
2013-03-11,57.44,57.47,56.78,57.26,8501112
2013-03-12,57.15,57.21,56.36,56.42,9343605
2013-03-13,56.45,56.78,56.26,56.63,5580115
2013-03-14,56.92,57.36,56.84,57.32,5214932
2013-03-15,56.95,57.01,56.19,56.65,13898124
2013-03-18,56.08,56.6,55.87,56.22,4500400
2013-03-19,56.36,56.42,55.17,55.48,7176851
2013-03-20,55.95,56.49,55.91,56.36,5238100
2013-03-21,56.08,56.35,55.82,56.11,3445534
2013-03-22,56.44,57.06,56.08,56.79,4254379
2013-03-25,56.94,57.41,56.04,56.54,5134670
2013-03-26,56.82,57.23,56.45,56.91,6839068
2013-03-27,56.44,56.75,55.95,56.63,4629567
2013-03-28,56.72,58.02,56.72,57.62,10451752
2013-04-01,57.65,57.78,57.16,57.62,5483238
2013-04-02,57.8,58.09,57.33,57.58,4914461
2013-04-03,57.78,58.51,57.77,58.1,16041603
2013-04-04,58.1,58.68,57.98,58.27,14703762
2013-04-05,57.66,57.98,57.43,57.88,12146106
2013-04-08,57.83,58.35,57.47,58.35,7573233
2013-04-09,58.29,59.09,58.25,58.8,6912487
2013-04-10,58.88,59.74,58.7,59.56,6163570
2013-04-11,59.6,59.82,59.43,59.66,5177157
2013-04-12,59.34,59.62,59.1,59.46,5867378
2013-04-15,59.27,60.0,58.45,58.47,6715863
2013-04-16,58.78,60.0,58.76,59.73,4859070
2013-04-17,59.32,59.7,59.11,59.52,5974904
2013-04-18,59.6,59.66,58.34,58.47,6183342
2013-04-19,58.75,59.95,58.01,59.75,7017517
2013-04-22,59.9,60.3,59.37,60.19,4135812
2013-04-23,60.37,60.72,59.86,60.4,4367086
2013-04-24,60.45,60.63,59.52,59.59,4636598
2013-04-25,59.57,59.78,58.93,59.39,8001744
2013-04-26,59.38,60.06,59.29,59.67,5053517
2013-04-29,59.94,60.27,59.54,60.13,4225790
2013-04-30,60.03,60.49,59.65,59.78,6878472
2013-05-01,59.5,59.97,58.23,59.48,12382842
2013-05-02,59.56,60.16,59.4,59.75,6086170
2013-05-03,60.13,60.72,59.98,60.43,4637409
2013-05-06,60.27,60.96,60.11,60.64,4486241
2013-05-07,60.9,61.53,60.66,61.52,4316771
2013-05-08,61.39,61.73,60.69,61.13,5845409
2013-05-09,61.15,61.47,60.76,61.1,4470681
2013-05-10,61.12,61.44,60.68,60.94,4106943
2013-05-13,60.72,60.99,60.61,60.91,3217992
2013-05-14,61.05,61.48,60.95,61.27,3693015
2013-05-15,61.01,61.21,60.75,61.13,5107647
2013-05-16,60.74,61.06,60.66,60.72,5174617
2013-05-17,60.85,61.16,60.41,60.71,5714897
2013-05-20,60.72,61.0,59.76,60.07,4896287
2013-05-21,60.33,60.83,60.18,60.47,5473480
2013-05-22,60.47,61.06,59.61,59.96,5787116
2013-05-23,59.2,60.56,59.14,60.16,5081271
2013-05-24,59.76,59.84,59.17,59.28,4418873
2013-05-28,59.88,60.43,59.77,60.29,5912256
2013-05-29,59.85,59.88,59.0,59.2,4149340
2013-05-30,59.35,59.92,59.31,59.58,4674854
2013-05-31,59.58,60.0,58.37,58.37,6737914
2013-06-03,58.32,58.6,57.43,58.6,5301386
2013-06-04,58.58,59.1,57.93,58.34,3646578
2013-06-05,58.01,58.07,56.61,56.9,7161211
2013-06-06,56.68,57.51,56.3,57.48,4688330
2013-06-07,58.0,58.81,57.62,58.77,3369920
2013-06-10,58.78,58.78,57.49,57.7,4882067
2013-06-11,57.15,57.53,56.81,56.89,5529812
2013-06-12,57.32,57.43,55.86,56.16,5387305
2013-06-13,56.21,58.0,55.86,57.91,6137102
2013-06-14,57.67,58.17,57.44,57.47,4813129
2013-06-17,57.82,58.45,57.55,57.94,5078343
2013-06-18,57.85,59.13,57.77,58.89,3515358
2013-06-19,58.97,59.18,57.85,57.86,3568680
2013-06-20,57.43,57.57,56.09,56.32,4598923
2013-06-21,56.85,57.08,55.82,56.81,6804044
2013-06-24,56.24,56.8,55.7,56.28,4933518
2013-06-25,56.8,57.2,56.52,56.67,3920199
2013-06-26,57.14,57.9,57.14,57.39,5318159
2013-06-27,57.7,58.12,57.4,57.82,3828966
2013-06-28,57.65,58.25,57.49,57.82,6836944
2013-07-01,58.12,58.94,58.12,58.3,4820646
2013-07-02,58.24,59.72,58.16,59.52,6524686
2013-07-03,58.95,60.11,58.67,60.07,4210992
2013-07-05,60.31,61.45,60.3,61.41,5219274
2013-07-08,61.57,61.63,60.72,60.93,5721444
2013-07-09,61.14,61.46,60.94,61.28,5248004
2013-07-10,61.23,61.31,60.85,61.01,3633437
2013-07-11,61.91,62.1,61.61,61.67,5071791
2013-07-12,61.75,61.9,61.12,61.7,5809775
2013-07-15,61.61,61.79,61.3,61.42,4244249
2013-07-16,61.37,61.88,60.76,61.29,3571474
2013-07-17,61.49,61.79,61.2,61.63,2699055
2013-07-18,61.85,62.43,61.77,62.25,4239123
2013-07-19,61.91,62.42,61.53,61.77,3644873
2013-07-22,61.91,62.47,61.82,62.22,2533995
2013-07-23,62.06,62.92,62.06,62.84,3591682
2013-07-24,62.85,62.95,61.99,62.3,3051154
2013-07-25,62.26,62.78,62.09,62.71,3171786
2013-07-26,62.54,63.05,62.4,63.02,2637722
2013-07-29,62.84,62.86,62.32,62.5,2843979
2013-07-30,62.81,62.84,61.92,62.07,3251873
2013-07-31,62.17,62.88,61.89,62.26,3984987
2013-08-01,63.04,63.54,62.86,63.06,3681233
2013-08-02,63.13,64.5,63.07,64.29,5338553
2013-08-05,64.14,64.72,64.09,64.47,3392327
2013-08-06,64.42,64.6,63.46,64.08,4979279
2013-08-07,65.61,66.01,63.77,63.84,9519318
2013-08-08,64.24,64.5,63.1,63.94,6488088
2013-08-09,63.7,64.49,63.32,63.4,4010571
2013-08-12,63.13,63.8,62.98,63.33,2880641
2013-08-13,63.54,63.57,62.66,63.1,2691060
2013-08-14,63.11,63.11,62.26,62.32,4068105
2013-08-15,61.96,62.12,60.57,61.21,5072486
2013-08-16,60.92,61.53,60.78,60.86,3943864
2013-08-19,60.72,61.26,60.07,60.85,3406626
2013-08-20,60.93,61.98,60.58,61.88,3966714
2013-08-21,61.62,61.93,61.13,61.26,3888411
2013-08-22,61.38,62.56,61.19,62.37,3217968
2013-08-23,62.34,62.8,62.17,62.36,2570810
2013-08-26,62.37,62.89,62.08,62.09,2508392
2013-08-27,61.33,62.05,61.08,61.51,3736064
2013-08-28,61.29,61.37,60.8,60.98,3784940
2013-08-29,60.75,61.61,60.51,61.0,2265380
2013-08-30,61.1,61.12,60.26,60.53,3108530
2013-09-03,61.38,61.96,61.0,61.36,3883481
2013-09-04,61.51,62.3,61.37,61.99,3408828
2013-09-05,61.88,62.26,61.48,61.58,2403603
2013-09-06,61.87,61.98,60.88,61.45,2512922
2013-09-09,61.43,62.41,61.43,62.24,2975581
2013-09-10,62.44,63.0,62.44,62.94,2726685
2013-09-11,62.85,63.62,62.85,63.32,2930032
2013-09-12,63.32,63.68,62.73,62.8,3862359
