Date,Open,High,Low,Close,Volume
2013-01-02,25.33,25.48,25.12,25.48,3282183
2013-01-03,25.47,25.95,25.35,25.69,4971479
2013-01-04,26.02,26.53,26.01,26.23,5109773
2013-01-07,26.42,26.54,26.06,26.4,2867601
2013-01-08,26.27,26.41,26.17,26.36,2770481
2013-01-09,26.47,26.6,26.27,26.37,2071787
2013-01-10,26.5,26.61,26.25,26.61,3027952
2013-01-11,26.52,26.65,26.29,26.41,2001463
2013-01-14,26.4,26.5,26.16,26.45,1973671
2013-01-15,26.2,26.47,26.15,26.41,2423950
2013-01-16,26.21,26.39,26.08,26.29,2124234
2013-01-17,26.42,27.2,26.4,27.09,3749300
2013-01-18,27.17,27.22,26.69,27.22,2379237
2013-01-22,27.2,27.22,26.69,27.08,3389497
2013-01-23,26.82,28.08,26.6,27.84,6672424
2013-01-24,27.85,28.45,27.83,28.38,4931128
2013-01-25,28.67,28.75,28.36,28.75,3042919
2013-01-28,28.79,28.84,28.41,28.68,2340203
2013-01-29,28.62,28.94,28.43,28.83,2123054
2013-01-30,28.82,29.39,28.64,28.72,2471921
2013-01-31,28.64,29.18,28.64,28.76,2792899
2013-02-01,29.04,29.15,28.8,28.89,2692741
2013-02-04,28.68,28.99,28.54,28.59,1505587
2013-02-05,28.75,28.99,28.67,28.84,1976486
2013-02-06,28.66,29.13,28.57,29.04,2090145
2013-02-07,29.08,29.22,28.52,28.93,1891915
2013-02-08,28.92,29.41,28.92,29.31,2412603
2013-02-11,29.32,29.58,29.11,29.56,2355215
2013-02-12,29.58,29.65,29.11,29.14,2170907
2013-02-13,29.21,29.75,29.21,29.4,1645650
2013-02-14,29.24,29.51,29.09,29.48,1856566
2013-02-15,29.45,29.75,29.28,29.39,2740360
2013-02-19,29.46,29.73,29.32,29.58,5241387
2013-02-20,29.52,29.7,29.14,29.22,2483651
2013-02-21,29.12,29.12,28.29,28.58,3385823
2013-02-22,28.69,29.15,28.69,29.14,2036353
2013-02-25,29.29,29.39,27.97,27.97,3546507
2013-02-26,28.11,28.25,27.71,28.06,2633602
2013-02-27,28.06,29.01,28.01,28.8,2148447
2013-02-28,28.85,29.24,28.83,28.85,2073548
2013-03-01,28.59,28.8,28.23,28.47,2529708
2013-03-04,28.33,28.71,28.17,28.64,2584897
2013-03-05,28.87,29.64,28.87,29.43,2426397
2013-03-06,29.52,29.99,29.52,29.82,2747550
2013-03-07,29.77,29.95,29.62,29.66,1983396
2013-03-08,29.89,30.46,29.82,30.4,2184991
2013-03-11,30.17,30.77,29.81,30.7,2190300
2013-03-12,30.59,30.93,30.45,30.66,2107857
2013-03-13,30.65,30.86,30.49,30.76,1665649
2013-03-14,30.83,31.19,30.81,31.15,3778258
2013-03-15,31.01,31.25,30.9,31.05,3950999
2013-03-18,30.69,31.1,30.24,30.92,1718838
2013-03-19,31.07,31.16,30.46,30.7,1600606
2013-03-20,30.94,31.3,30.78,31.21,1900058
2013-03-21,31.0,31.22,30.71,30.71,1396759
2013-03-22,30.91,31.11,30.65,30.75,2073054
2013-03-25,30.59,30.83,29.64,29.69,3216787
2013-03-26,29.98,30.08,29.69,29.86,1749473
2013-03-27,29.65,29.65,29.22,29.5,2036291
2013-03-28,29.59,29.86,29.38,29.81,1822179
2013-04-01,29.82,29.86,29.05,29.19,2355829
2013-04-02,29.34,29.52,28.57,28.77,2075861
2013-04-03,28.77,28.98,28.51,28.52,2350281
2013-04-04,28.58,28.81,28.46,28.79,1954668
2013-04-05,28.3,28.72,28.16,28.56,2930587
2013-04-08,28.57,28.97,28.43,28.97,1902034
2013-04-09,29.08,29.08,28.59,28.68,2203646
2013-04-10,28.74,29.29,28.74,29.14,2329309
2013-04-11,29.16,30.22,29.16,29.94,3814674
2013-04-12,29.78,29.86,29.54,29.81,2135037
2013-04-15,29.56,29.65,28.43,28.48,1803494
2013-04-16,28.79,29.46,28.77,29.35,4416133
2013-04-17,26.64,26.72,25.22,25.41,16627450
2013-04-18,26.07,26.3,25.6,25.76,6123089
2013-04-19,25.86,26.5,25.52,26.35,3735868
2013-04-22,26.41,26.41,25.5,25.78,3170481
2013-04-23,25.91,26.21,25.62,25.72,3938831
2013-04-24,25.79,26.05,25.53,25.76,4020236
2013-04-25,25.93,26.44,25.91,26.18,3909123
2013-04-26,26.02,26.15,25.54,26.06,5793957
2013-04-29,26.14,26.33,25.95,26.14,1815233
2013-04-30,25.96,26.12,25.63,25.75,2029714
2013-05-01,25.66,25.74,24.87,24.88,3942982
2013-05-02,25.02,25.66,24.91,25.57,6194992
2013-05-03,25.98,26.31,25.7,25.72,4083671
2013-05-06,25.72,26.78,25.68,26.76,4385231
2013-05-07,26.9,27.48,26.78,26.9,3450421
2013-05-08,26.86,26.88,26.54,26.73,1557107
2013-05-09,26.74,27.25,26.68,27.04,1813925
2013-05-10,27.02,27.13,26.69,27.13,1979117
2013-05-13,27.11,27.23,26.97,27.15,2538703
