Date,Open,High,Low,Close,Volume
2013-01-02,47.0,48.56,46.71,47.91,3288226
2013-01-03,47.97,48.39,47.08,48.05,2468312
2013-01-04,48.32,49.73,47.52,48.99,2529346
2013-01-07,48.47,48.66,47.79,48.25,1667634
2013-01-08,48.7,48.83,47.76,48.1,1922644
2013-01-09,48.58,49.06,48.12,48.25,1664721
2013-01-10,48.85,48.9,47.72,48.2,1829743
2013-01-11,48.4,48.46,46.83,47.57,1828790
2013-01-14,47.55,47.96,47.19,47.6,1198655
2013-01-15,47.3,49.07,47.17,48.71,1889975
2013-01-16,48.5,48.96,47.67,48.32,1687884
2013-01-17,48.81,49.72,48.74,49.28,1672463
2013-01-18,49.25,50.37,49.25,50.04,1438890
2013-01-22,50.03,50.12,48.3,48.93,3447421
2013-01-23,48.93,49.52,48.47,49.43,2057419
2013-01-24,49.19,51.5,46.67,49.16,5330323
2013-01-25,49.28,51.25,49.19,51.12,2704155
2013-01-28,50.98,51.84,49.91,51.41,1511063
2013-01-29,51.06,51.53,50.71,51.02,1150660
2013-01-30,51.21,51.25,49.65,49.86,1481370
2013-01-31,49.59,50.74,49.55,50.62,1516623
2013-02-01,50.91,53.37,50.91,52.26,2417797
2013-02-04,51.68,52.16,50.6,50.75,1689772
2013-02-05,51.55,52.27,51.18,51.95,1233787
2013-02-06,51.56,52.65,51.02,52.55,1545555
2013-02-07,52.4,52.5,51.38,52.45,1300760
2013-02-08,52.52,53.44,52.45,53.09,1081905
2013-02-11,53.09,53.84,52.86,53.32,1244021
2013-02-12,54.0,55.04,53.77,54.3,2053598
2013-02-13,54.5,55.73,54.37,55.49,2054475
2013-02-14,55.21,56.18,54.88,55.9,1486243
2013-02-15,55.72,56.16,54.61,54.87,1970433
2013-02-19,55.0,55.7,54.52,55.64,1225444
2013-02-20,55.85,56.87,52.72,53.09,2928406
2013-02-21,52.91,53.09,49.27,50.94,4257043
2013-02-22,51.42,53.28,51.41,52.71,2339970
2013-02-25,53.25,54.11,50.41,50.47,2910914
2013-02-26,50.93,51.35,49.1,51.1,3562258
2013-02-27,51.12,53.56,50.98,52.54,2041496
2013-02-28,52.56,54.26,52.36,53.41,2009076
2013-03-01,52.58,53.24,51.67,52.63,2064140
2013-03-04,52.49,52.49,50.9,52.05,2662723
2013-03-05,54.88,55.99,54.25,54.94,4594954
2013-03-06,55.1,55.49,54.13,54.26,1682329
2013-03-07,54.41,54.56,53.41,53.78,1435500
2013-03-08,54.43,54.99,53.61,54.8,1452373
2013-03-11,54.08,54.65,53.66,54.31,1428108
2013-03-12,54.31,54.47,53.18,53.53,1878740
2013-03-13,53.69,54.9,53.42,54.64,1569172
2013-03-14,54.95,55.28,53.77,54.24,1413688
2013-03-15,53.98,54.08,52.57,52.69,2393717
2013-03-18,52.05,53.59,51.26,52.99,1747107
2013-03-19,53.46,54.46,52.48,53.42,1438983
2013-03-20,54.07,55.62,53.84,55.23,1805819
2013-03-21,54.69,55.83,53.19,54.18,1406868
2013-03-22,54.55,54.92,53.2,53.83,1092219
2013-03-25,54.04,54.89,52.52,53.02,1418851
2013-03-26,53.38,53.51,52.43,52.98,1120875
2013-03-27,52.24,53.83,51.7,53.51,2490743
