Date,Open,High,Low,Close,Volume
2013-01-02,38.26,38.54,36.78,37.59,4927660
2013-01-03,37.7,38.06,37.56,37.95,3161048
2013-01-04,38.12,38.5,37.8,38.45,2711496
2013-01-07,38.06,38.17,37.07,37.34,4676728
2013-01-08,37.28,37.68,37.14,37.32,3528132
2013-01-09,37.4,37.56,36.8,36.92,3810544
2013-01-10,37.04,37.73,36.85,37.73,3490936
2013-01-11,37.95,37.95,37.24,37.25,2790648
2013-01-14,37.25,38.5,37.0,38.47,2991380
2013-01-15,38.34,38.93,38.11,38.47,3932992
2013-01-16,38.53,38.62,38.04,38.22,1736452
2013-01-17,38.3,38.38,37.16,37.78,4424340
2013-01-18,37.8,37.8,36.83,36.98,7369120
2013-01-22,37.08,37.29,36.85,37.22,4141248
2013-01-23,36.91,37.72,36.66,37.69,3945472
2013-01-24,37.65,37.76,35.7,36.44,8146912
2013-01-25,36.46,37.3,36.25,37.24,5243412
2013-01-28,37.18,37.21,36.62,36.92,3769576
2013-01-29,36.97,37.01,36.6,36.75,2945920
2013-01-30,36.62,36.96,36.43,36.44,2761920
2013-01-31,36.5,37.21,36.5,36.9,3973884
2013-02-01,37.28,37.28,36.85,36.97,3346564
2013-02-04,36.9,37.43,36.68,36.76,4133892
2013-02-05,36.78,37.38,36.78,37.18,3416308
2013-02-06,37.28,38.27,37.19,37.82,4863644
2013-02-07,37.82,38.62,37.62,38.47,4786184
2013-02-08,38.5,38.72,38.06,38.26,3831592
2013-02-11,38.08,38.22,37.72,38.02,2484396
2013-02-12,38.12,38.49,37.97,38.17,2640748
2013-02-13,38.16,38.27,37.89,38.08,2687860
2013-02-14,37.97,38.38,37.58,38.2,4637348
2013-02-15,38.54,39.87,38.46,39.47,6417308
2013-02-19,39.59,40.84,39.55,40.84,5696648
2013-02-20,40.94,40.94,40.04,40.11,3820540
2013-02-21,39.88,40.18,39.5,39.74,3321812
2013-02-22,40.06,40.1,39.2,39.64,2103688
2013-02-25,39.94,40.13,39.38,39.38,2760772
2013-02-26,38.9,39.72,38.9,39.51,2511448
2013-02-27,39.12,40.25,39.05,40.22,3697916
2013-02-28,40.17,40.52,39.94,40.32,2649936
2013-03-01,40.31,40.31,39.84,40.17,3229944
2013-03-04,40.19,40.88,40.19,40.85,2213336
2013-03-05,41.0,41.29,40.7,41.06,3117732
2013-03-06,40.84,41.23,40.63,40.79,2005512
2013-03-07,40.86,41.06,40.32,40.62,2486144
2013-03-08,40.69,40.82,40.35,40.7,2362684
2013-03-11,40.63,40.76,40.16,40.44,2480212
2013-03-12,40.26,40.79,40.24,40.72,2644432
2013-03-13,40.59,41.16,40.55,41.03,2437264
2013-03-14,41.15,41.46,40.94,41.26,2476452
2013-03-15,40.97,41.56,40.9,41.32,3734844
2013-03-18,41.15,41.26,40.62,40.92,2128620
2013-03-19,41.02,41.46,40.84,41.42,3270572
2013-03-20,41.62,41.72,41.35,41.6,2319968
2013-03-21,41.59,41.62,40.94,41.57,2215428
2013-03-22,41.86,42.2,41.46,41.53,3145832
2013-03-25,41.7,41.92,40.82,41.41,4143112
2013-03-26,41.56,41.56,41.07,41.42,1428492
2013-03-27,41.17,41.54,41.12,41.49,1249068
2013-03-28,41.62,42.16,41.48,41.94,2355304
2013-04-01,41.94,41.94,41.12,41.4,1948028
2013-04-02,41.43,42.06,41.38,41.98,1242644
2013-04-03,42.04,42.4,41.87,42.06,2412860
2013-04-04,42.12,42.46,41.96,42.44,1676820
2013-04-05,41.94,42.38,41.52,42.27,2505900
2013-04-08,42.21,42.49,42.08,42.49,1438776
2013-04-09,42.46,42.64,42.2,42.24,1765668
2013-04-10,42.36,43.29,42.35,43.1,2040504
2013-04-11,43.04,43.58,42.63,42.84,3088384
2013-04-12,42.66,43.04,42.41,42.9,3454640
2013-04-15,42.79,42.85,41.57,41.57,2431488
2013-04-16,41.9,42.49,41.64,42.44,1996676
2013-04-17,42.29,42.74,41.69,42.31,1977788
2013-04-18,42.42,42.5,41.68,41.92,1294948
2013-04-19,42.06,42.57,41.95,42.29,1403828
2013-04-22,42.46,43.49,42.46,43.25,2224032
2013-04-23,43.32,43.69,43.03,43.46,1690824
2013-04-24,43.58,43.75,43.07,43.55,1999416
2013-04-25,43.7,44.73,43.52,44.69,2628088
2013-04-26,44.36,44.41,42.78,43.7,4137736
2013-04-29,43.75,44.23,43.27,43.7,1805608
2013-04-30,43.7,44.57,43.59,44.56,2623332
2013-05-01,44.49,44.69,43.65,43.85,2798016
2013-05-02,44.21,44.29,43.5,43.84,2510604
2013-05-03,44.06,44.55,43.56,44.39,2201328
2013-05-06,44.26,44.59,44.14,44.34,1941580
2013-05-07,44.56,45.0,44.52,44.99,2067744
2013-05-08,44.99,45.36,44.64,45.25,1925340
2013-05-09,45.24,45.5,44.91,45.16,1755128
2013-05-10,45.2,45.86,45.12,45.78,2378368
2013-05-13,45.63,45.77,45.21,45.58,2040144
2013-05-14,45.57,46.21,45.53,46.18,1489104
2013-05-15,45.97,46.76,45.97,46.42,3129468
2013-05-16,46.42,46.6,45.2,45.38,2386884
2013-05-17,45.37,46.16,45.37,45.93,2013552
2013-05-20,45.96,46.48,45.9,46.38,1792632
2013-05-21,45.62,46.67,45.62,46.54,1598600
2013-05-22,46.62,46.98,46.07,46.26,1299092
2013-05-23,45.7,46.56,45.44,46.28,1295720
2013-05-24,46.04,46.12,45.5,45.96,1710668
2013-05-28,46.53,46.72,45.96,46.18,983456
2013-05-29,46.04,46.46,45.88,46.14,1222900
2013-05-30,46.27,46.48,45.99,46.24,1734524
2013-05-31,46.21,46.8,45.96,45.96,2467956
2013-06-03,45.95,46.42,45.56,46.4,1952576
2013-06-04,46.31,46.86,45.63,46.66,1670948
2013-06-05,46.37,46.81,46.21,46.34,2175112
2013-06-06,45.84,46.22,45.54,46.19,1819788
2013-06-07,46.25,46.84,43.94,46.79,2066876
2013-06-10,46.82,46.99,46.5,46.75,1002380
2013-06-11,46.48,47.41,46.35,47.02,2088492
2013-06-12,47.4,47.46,47.04,47.4,2353184
2013-06-13,47.55,47.66,46.85,47.12,3056124
2013-06-14,46.91,47.16,46.62,46.78,1412784
2013-06-17,47.12,47.35,46.68,47.04,1791308
2013-06-18,47.07,47.7,46.95,47.62,1771184
2013-06-19,47.64,48.27,47.64,48.12,3392688
2013-06-20,47.88,47.94,46.56,46.71,2282836
2013-06-21,46.95,47.47,46.13,46.5,3068268
2013-06-24,46.11,46.76,45.61,46.41,2415240
2013-06-25,46.81,47.26,46.56,47.05,2514052
2013-06-26,47.69,47.94,47.31,47.83,2712396
2013-06-27,48.0,48.25,47.74,48.02,1516328
2013-06-28,47.95,48.76,47.57,48.26,3595488
2013-07-01,48.48,49.25,48.4,48.76,2073604
2013-07-02,48.64,49.04,48.04,48.4,2643636
2013-07-03,48.09,48.54,47.72,48.46,984236
2013-07-05,48.52,49.4,48.52,49.07,1724780
2013-07-08,49.46,49.87,49.08,49.25,2049996
2013-07-09,50.11,50.11,48.68,49.62,1284480
2013-07-10,49.5,49.84,49.19,49.47,1665288
2013-07-11,49.88,50.02,49.67,49.93,1685852
2013-07-12,49.86,50.14,49.68,49.89,1264692
2013-07-15,49.83,50.02,49.64,49.88,1974200
2013-07-16,49.85,50.05,49.5,49.54,1977448
2013-07-17,49.64,49.87,49.26,49.37,1981484
2013-07-18,48.9,49.96,48.9,49.88,2387128
2013-07-19,49.3,49.88,48.56,49.24,5120600
2013-07-22,48.39,49.09,48.38,48.72,3024776
2013-07-23,48.83,49.22,48.71,49.04,1389736
2013-07-24,49.28,49.46,48.97,49.18,1230460
2013-07-25,49.15,49.51,48.98,49.45,1553396
2013-07-26,49.08,49.82,49.0,49.77,1581132
2013-07-29,49.66,49.74,49.16,49.28,1161756
