Date,Open,High,Low,Close,Volume
2013-01-02,37.32,37.67,37.25,37.66,1136636
2013-01-03,37.72,37.75,37.49,37.57,784696
2013-01-04,37.65,37.77,37.51,37.69,957095
2013-01-07,37.6,37.66,37.13,37.33,1327822
2013-01-08,37.21,37.31,37.07,37.14,1567274
2013-01-09,37.21,37.3,37.03,37.2,1161337
2013-01-10,37.4,37.78,37.27,37.73,1768148
2013-01-11,37.97,38.42,37.85,38.03,1231193
2013-01-14,38.02,38.24,37.88,38.06,1235322
2013-01-15,38.06,38.06,37.75,38.04,922302
2013-01-16,37.88,38.01,37.71,37.78,821693
2013-01-17,37.79,38.11,37.75,37.95,970007
2013-01-18,37.99,38.11,37.77,38.11,1072785
2013-01-22,38.14,38.58,38.12,38.56,792091
2013-01-23,38.48,38.55,38.26,38.55,1113247
2013-01-24,38.6,38.83,38.54,38.58,865804
2013-01-25,38.78,38.94,38.46,38.77,972985
2013-01-28,38.67,38.72,38.41,38.52,1123235
2013-01-29,38.5,38.91,38.5,38.88,1080494
2013-01-30,38.79,39.24,38.5,39.15,1905512
2013-01-31,39.28,39.43,39.01,39.43,2563325
2013-02-01,39.67,39.85,39.44,39.8,1989269
2013-02-04,39.75,39.88,39.56,39.6,1675010
2013-02-05,39.67,39.9,39.64,39.7,943075
2013-02-06,39.56,39.77,39.38,39.72,1200708
2013-02-07,39.78,40.0,39.65,40.0,1308505
2013-02-08,39.99,40.09,39.79,40.06,1175919
2013-02-11,40.07,40.15,39.95,40.14,1166671
2013-02-12,39.78,39.93,39.61,39.93,830662
2013-02-13,39.95,40.08,39.69,39.84,865008
2013-02-14,39.7,39.9,39.36,39.45,1573179
2013-02-15,39.6,39.83,39.5,39.78,1283839
2013-02-19,39.88,40.22,39.81,40.21,797565
2013-02-20,40.19,40.47,40.11,40.13,731785
2013-02-21,40.14,40.28,39.99,40.12,918647
2013-02-22,40.19,40.43,40.19,40.37,865240
2013-02-25,40.45,40.92,40.2,40.21,1491846
2013-02-26,40.38,40.72,40.22,40.43,1301324
2013-02-27,40.39,40.86,40.39,40.76,1136470
2013-02-28,40.77,41.41,40.67,41.3,2441333
2013-03-01,41.21,41.34,40.95,41.31,1510200
2013-03-04,41.2,41.74,41.17,41.74,1266385
2013-03-05,41.85,41.95,41.65,41.91,1514672
2013-03-06,41.9,41.9,41.4,41.53,1425059
2013-03-07,41.47,41.62,41.06,41.09,1276232
2013-03-08,41.16,41.44,41.01,41.39,1078752
2013-03-11,41.37,41.63,41.3,41.63,799879
2013-03-12,41.6,41.68,41.33,41.53,743409
2013-03-13,41.5,41.66,41.39,41.48,1335523
2013-03-14,41.53,41.53,41.26,41.41,1346912
2013-03-15,41.22,41.51,41.18,41.37,2540843
2013-03-18,41.04,41.3,40.91,41.14,1160918
2013-03-19,41.2,41.31,40.79,41.09,1257574
2013-03-20,41.29,41.62,41.19,41.44,1107701
2013-03-21,41.35,41.56,41.25,41.36,1097890
2013-03-22,41.44,41.64,40.94,41.53,1184126
2013-03-25,41.67,41.78,41.2,41.34,978201
2013-03-26,41.45,41.86,41.39,41.86,1038748
2013-03-27,41.76,42.0,41.54,41.98,1393451
2013-03-28,41.98,42.95,41.93,42.89,2720347
2013-04-01,42.82,42.87,42.37,42.56,1442663
2013-04-02,42.66,42.8,42.43,42.6,890416
2013-04-03,42.73,42.73,42.33,42.5,944247
2013-04-04,42.55,42.7,42.41,42.65,1170173
2013-04-05,42.39,42.93,42.31,42.85,723913
2013-04-08,42.81,43.2,42.64,43.19,892098
2013-04-09,43.26,43.29,42.88,43.02,1009415
2013-04-10,43.07,43.4,43.05,43.2,1252027
2013-04-11,43.2,43.32,42.99,43.2,1344015
2013-04-12,43.14,43.6,43.14,43.59,1184029
2013-04-15,43.43,43.67,42.83,42.83,1325695
2013-04-16,42.93,43.37,42.59,43.24,914847
2013-04-17,43.13,43.22,42.52,42.8,2001143
2013-04-18,42.96,43.13,42.73,42.98,1574299
2013-04-19,43.1,43.62,42.97,43.61,917156
2013-04-22,43.6,43.78,43.38,43.59,944002
2013-04-23,43.75,43.82,43.44,43.79,1032475
2013-04-24,43.89,44.19,43.66,43.99,1373779
2013-04-25,44.12,44.39,43.9,44.14,778966
2013-04-26,44.15,44.41,44.0,44.03,770976
2013-04-29,44.05,44.65,44.0,44.46,1066749
2013-04-30,44.63,45.0,44.36,44.94,2293090
2013-05-01,44.78,44.84,44.22,44.34,1272769
2013-05-02,44.37,44.5,44.1,44.29,1036707
2013-05-03,44.66,44.75,44.39,44.53,1531757
2013-05-06,44.49,44.56,43.71,43.79,1078888
2013-05-07,43.82,44.22,43.77,44.21,1582559
2013-05-08,44.13,44.38,43.65,43.83,1291130
2013-05-09,43.86,43.91,42.68,43.13,1421909
2013-05-10,42.97,43.15,42.64,43.12,1455596
2013-05-13,42.93,43.0,42.67,42.75,1045204
2013-05-14,42.72,43.2,42.71,43.05,1155406
2013-05-15,43.02,43.75,42.95,43.55,828818
2013-05-16,43.46,43.55,43.18,43.25,1233218
2013-05-17,43.4,43.72,43.32,43.7,1283943
2013-05-20,43.33,43.71,43.08,43.26,1668396
2013-05-21,43.28,43.56,43.1,43.5,1411037
2013-05-22,43.44,43.92,42.64,42.85,1340860
2013-05-23,42.54,42.56,41.72,42.41,1645502
2013-05-24,42.3,42.39,41.84,41.98,993252
2013-05-28,42.21,42.34,41.56,41.94,1460918
2013-05-29,41.7,41.7,40.56,40.89,1918369
2013-05-30,41.07,41.94,40.97,41.05,1540024
2013-05-31,40.92,41.56,40.81,40.81,1848612
2013-06-03,40.94,41.15,40.33,41.04,1665694
