Date,Open,High,Low,Close,Volume
2013-01-02,36.4,37.09,36.4,37.09,3440730
2013-01-03,37.13,37.39,36.89,37.02,2559939
2013-01-04,36.95,37.08,36.44,36.5,2502258
2013-01-07,36.25,36.57,36.2,36.35,1938359
2013-01-08,36.25,36.36,35.57,35.61,3877816
2013-01-09,35.72,35.92,35.33,35.89,3434303
2013-01-10,35.94,36.25,35.84,36.0,2402843
2013-01-11,36.0,36.06,35.67,35.8,2639181
2013-01-14,36.46,36.46,35.58,35.84,5139606
2013-01-15,35.71,35.82,35.38,35.72,3556536
2013-01-16,35.56,36.24,35.56,36.2,3636164
2013-01-17,36.56,36.84,36.31,36.44,4161538
2013-01-18,36.31,37.63,36.26,37.17,6583179
2013-01-22,37.08,37.1,36.61,36.74,2933659
2013-01-23,36.8,36.95,36.57,36.7,1719359
2013-01-24,36.44,37.06,36.34,36.8,3414105
2013-01-25,36.88,37.24,36.68,36.85,3174226
2013-01-28,36.72,37.0,36.69,36.72,2215416
2013-01-29,36.72,36.84,36.44,36.65,1628509
2013-01-30,36.56,36.89,36.56,36.66,2446748
2013-01-31,36.68,36.84,36.43,36.49,1974071
2013-02-01,36.59,37.2,36.52,37.16,3173389
2013-02-04,36.76,36.95,36.44,36.45,2455560
2013-02-05,36.6,37.05,36.49,36.92,2387538
2013-02-06,36.69,37.02,36.58,37.0,2863409
2013-02-07,36.89,37.06,36.65,36.86,3048428
2013-02-08,37.0,37.63,36.97,37.51,3721016
2013-02-11,37.46,37.58,37.26,37.46,2004285
2013-02-12,37.35,37.71,37.22,37.58,1859525
2013-02-13,37.63,38.0,37.48,37.8,2908631
2013-02-14,37.61,38.62,37.42,38.44,4376224
2013-02-15,38.54,38.54,37.87,38.12,2445781
2013-02-19,38.66,39.43,38.31,39.14,4673075
2013-02-20,39.16,39.18,38.29,38.29,3377862
2013-02-21,38.15,38.22,37.48,37.65,3085135
2013-02-22,37.82,38.12,37.63,37.96,2764721
2013-02-25,38.31,38.42,37.3,37.3,2103485
2013-02-26,37.22,37.27,36.45,36.67,8315426
2013-02-27,36.73,37.56,36.58,37.39,3296129
2013-02-28,37.41,37.74,37.2,37.27,3151541
2013-03-01,37.02,37.03,36.4,36.65,3905809
2013-03-04,36.75,36.75,36.37,36.39,3582271
2013-03-05,36.72,37.33,36.67,37.19,3900286
2013-03-06,37.42,37.83,37.34,37.46,4905884
2013-03-07,37.57,38.3,37.5,38.24,4843114
2013-03-08,38.33,38.53,37.92,38.37,3864559
2013-03-11,38.2,38.46,38.03,38.33,2576801
2013-03-12,38.22,38.54,37.94,38.51,2704004
2013-03-13,38.43,38.66,38.29,38.52,2881062
2013-03-14,38.85,39.24,38.74,38.85,3905137
2013-03-15,38.77,38.92,38.08,38.45,4167877
2013-03-18,37.99,38.21,37.63,37.76,2159468
2013-03-19,38.1,38.5,37.52,37.82,4855633
2013-03-20,38.13,38.36,37.94,38.24,2024074
2013-03-21,37.92,38.24,37.66,37.85,1804235
2013-03-22,38.04,38.21,37.85,37.97,1499568
2013-03-25,38.12,38.12,37.55,37.9,1738483
2013-03-26,38.09,38.38,37.97,38.2,1619429
2013-03-27,37.89,38.15,37.58,37.95,2249382
2013-03-28,37.93,38.2,37.81,38.17,2630646
2013-04-01,38.47,38.47,37.6,37.65,1751415
2013-04-02,37.74,37.82,37.05,37.28,2838246
2013-04-03,37.29,37.43,36.02,36.21,4443661
2013-04-04,36.2,36.92,36.14,36.81,3907906
2013-04-05,36.13,36.42,35.51,36.36,4503552
2013-04-08,36.47,36.78,36.15,36.74,2474401
2013-04-09,36.76,37.01,36.42,36.76,1509549
2013-04-10,36.84,37.89,36.8,37.76,3201323
2013-04-11,37.64,37.9,37.31,37.41,2241000
2013-04-12,37.36,37.4,36.63,37.08,3072581
2013-04-15,37.02,37.28,36.51,36.58,3103422
2013-04-16,36.76,37.14,36.6,37.08,2372098
2013-04-17,36.66,36.66,35.38,35.88,3961782
2013-04-18,36.16,36.27,35.49,35.6,2220662
2013-04-19,35.62,35.9,34.98,35.51,2881480
2013-04-22,35.62,36.13,35.15,35.91,2189646
2013-04-23,36.18,36.6,36.03,36.55,3234118
2013-04-24,36.25,36.67,36.22,36.5,3074527
2013-04-25,36.9,38.04,36.55,37.79,6062388
2013-04-26,37.87,37.87,37.36,37.44,3933092
2013-04-29,37.43,37.81,37.3,37.69,2905785
2013-04-30,37.65,38.0,37.37,37.91,2859039
2013-05-01,37.88,38.16,37.5,37.61,2255368
2013-05-02,37.73,38.08,37.64,38.02,2121697
2013-05-03,38.33,38.57,38.04,38.16,2252199
2013-05-06,38.26,38.48,37.98,38.01,2999327
2013-05-07,38.0,38.25,37.8,38.14,2601091
2013-05-08,38.14,38.58,38.07,38.57,1828752
2013-05-09,38.53,38.75,38.38,38.48,1705504
2013-05-10,38.63,38.73,38.46,38.56,1266764
2013-05-13,38.15,38.29,37.89,37.89,1579863
2013-05-14,37.97,38.35,37.86,38.35,1869727
2013-05-15,38.19,38.82,38.18,38.74,2991494
2013-05-16,38.98,39.73,38.7,38.74,3532386
2013-05-17,39.0,39.32,38.89,39.22,2915956
2013-05-20,39.09,39.3,38.92,38.95,1993420
2013-05-21,39.1,39.48,38.99,39.47,4051570
2013-05-22,39.3,40.1,39.13,39.51,7704526
2013-05-23,39.28,39.36,38.91,39.21,3716434
2013-05-24,38.91,39.46,38.91,39.4,2827107
2013-05-28,40.0,40.33,39.64,39.96,5181972
2013-05-29,39.75,40.6,39.64,40.45,3828301
2013-05-30,40.56,41.47,40.45,41.32,5392649
2013-05-31,41.0,41.31,40.65,40.65,3757989
2013-06-03,40.6,40.83,40.23,40.57,2781091
2013-06-04,40.83,41.36,40.52,40.69,2621320
2013-06-05,40.69,40.77,40.04,40.4,3688473
2013-06-06,40.69,40.69,39.57,39.77,3606602
2013-06-07,40.07,40.67,39.75,40.6,3385435
2013-06-10,40.66,40.85,40.21,40.37,3002325
2013-06-11,39.94,40.06,39.15,39.16,4195913
2013-06-12,39.47,39.52,37.72,37.79,9524519
2013-06-13,37.63,38.94,37.63,38.81,5032190
2013-06-14,38.75,39.36,38.62,38.88,3611458
2013-06-17,39.12,39.66,39.11,39.49,3053351
2013-06-18,39.48,40.24,39.46,40.2,3111799
2013-06-19,40.26,40.46,39.76,39.76,3728235
