Date,Open,High,Low,Close,Volume
15-Mar-18,109.35,109.42,107.05,107.47,2014888
14-Mar-18,111.20,111.20,108.36,108.75,1592595
13-Mar-18,111.64,112.59,109.96,110.34,2233231
12-Mar-18,112.68,112.83,110.83,111.14,1824299
9-Mar-18,110.33,112.49,109.86,112.28,1860100
8-Mar-18,109.92,110.35,108.46,109.37,2181313
7-Mar-18,108.94,109.97,107.77,109.38,2144003
6-Mar-18,109.26,111.13,108.61,109.74,1794573
5-Mar-18,106.77,109.03,105.93,108.67,2413583
2-Mar-18,106.62,107.54,105.04,107.21,2403928
1-Mar-18,108.29,110.53,107.33,108.13,3693767
28-Feb-18,110.20,110.29,108.17,108.22,2226615
27-Feb-18,110.51,110.94,109.18,109.66,2054449
26-Feb-18,111.85,111.98,109.61,110.51,2469276
23-Feb-18,111.49,112.14,110.30,111.60,1516611
22-Feb-18,109.80,111.71,109.49,110.83,1509685
21-Feb-18,108.66,111.26,108.35,109.09,1984497
20-Feb-18,108.00,109.63,107.41,108.59,2295796
16-Feb-18,109.80,110.48,108.26,108.61,2782445
15-Feb-18,113.30,114.45,108.74,109.97,3118308
14-Feb-18,108.71,112.64,108.24,112.00,1757511
13-Feb-18,109.37,110.59,108.04,109.64,1852823
12-Feb-18,108.23,110.71,108.14,109.70,2260652
9-Feb-18,107.15,107.83,102.82,106.99,3113077
8-Feb-18,110.09,110.56,105.51,105.79,2543583
7-Feb-18,113.13,114.22,110.20,110.27,3163677
6-Feb-18,106.09,114.35,106.00,113.82,4939488
5-Feb-18,111.74,112.99,107.45,108.77,3146641
2-Feb-18,117.56,117.84,111.53,112.17,4224647
1-Feb-18,119.10,119.74,116.89,117.56,3431741
31-Jan-18,119.24,120.35,118.85,119.84,3213885
30-Jan-18,119.91,121.14,118.38,118.85,3319073
29-Jan-18,121.62,121.95,120.69,120.91,1228242
26-Jan-18,121.30,121.78,120.18,121.49,2157188
25-Jan-18,119.60,120.95,119.60,120.74,1585020
24-Jan-18,119.18,120.43,118.43,118.94,1701386
23-Jan-18,118.52,119.05,117.65,118.43,1479389
22-Jan-18,118.98,119.70,118.52,118.94,2067828
19-Jan-18,117.39,119.99,117.15,119.92,2863969
18-Jan-18,116.26,117.32,115.50,116.89,2248395
17-Jan-18,116.26,117.04,115.72,116.88,1704023
16-Jan-18,117.97,118.13,115.11,115.89,1996269
12-Jan-18,117.65,118.00,116.39,117.68,2070462
11-Jan-18,116.49,117.94,115.13,117.70,1892030
10-Jan-18,114.71,115.37,114.16,115.03,1235998
9-Jan-18,114.33,116.34,114.21,115.15,1794033
8-Jan-18,114.40,114.40,113.04,114.11,1283204
5-Jan-18,113.25,114.46,112.33,114.37,1082016
4-Jan-18,112.80,113.44,111.81,112.80,1630994
3-Jan-18,111.82,112.42,110.70,112.26,1437330
