,0
0,A
1,AAL
2,AAP
3,AAPL
4,ABBV
5,ABC
6,ABT
7,ACN
8,ADBE
9,ADI
10,ADM
11,ADP
12,ADS
13,ADSK
14,AEE
15,AEP
16,AES
17,AET
18,AFL
19,AGN
20,AIG
21,AIV
22,AIZ
23,AJG
24,AKAM
25,ALB
26,ALGN
27,ALK
28,ALL
29,ALLE
30,ALXN
31,AMAT
32,AMD
33,AME
34,AMG
35,AMGN
36,AMP
37,AMT
38,AMZN
39,ANDV
40,ANSS
41,ANTM
42,AON
43,AOS
44,APA
45,APC
46,APD
47,APH
48,APTV
49,ARE
50,ARNC
51,ATVI
52,AVB
53,AVGO
54,AVY
55,AWK
56,AXP
57,AYI
58,AZO
59,BA
60,BAC
61,BAX
62,BBT
63,BBY
64,BDX
65,BEN
66,BF.B
67,BHF
68,BHGE
69,BIIB
70,BK
71,BKNG
72,BLK
73,BLL
74,BMY
75,BRK.B
76,BSX
77,BWA
78,BXP
79,C
80,CA
81,CAG
82,CAH
83,CAT
84,CB
85,CBG
86,CBOE
87,CBS
88,CCI
89,CCL
90,CDNS
91,CELG
92,CERN
93,CF
94,CFG
95,CHD
96,CHK
97,CHRW
98,CHTR
99,CI
100,CINF
101,CL
102,CLX
103,CMA
104,CMCSA
105,CME
106,CMG
107,CMI
108,CMS
109,CNC
110,CNP
111,COF
112,COG
113,COL
114,COO
115,COP
116,COST
117,COTY
118,CPB
119,CRM
120,CSCO
121,CSRA
122,CSX
123,CTAS
124,CTL
125,CTSH
126,CTXS
127,CVS
128,CVX
129,CXO
130,D
131,DAL
132,DE
133,DFS
134,DG
135,DGX
136,DHI
137,DHR
138,DIS
139,DISCA
140,DISCK
141,DISH
142,DLR
143,DLTR
144,DOV
145,DPS
146,DRE
147,DRI
148,DTE
149,DUK
150,DVA
151,DVN
152,DWDP
153,DXC
154,EA
155,EBAY
156,ECL
157,ED
158,EFX
159,EIX
160,EL
161,EMN
162,EMR
163,EOG
164,EQIX
165,EQR
166,EQT
167,ES
168,ESRX
169,ESS
170,ETFC
171,ETN
172,ETR
173,EVHC
174,EW
175,EXC
176,EXPD
177,EXPE
178,EXR
179,F
180,FAST
181,FB
182,FBHS
183,FCX
184,FDX
185,FE
186,FFIV
187,FIS
188,FISV
189,FITB
190,FL
191,FLIR
192,FLR
193,FLS
194,FMC
195,FOX
196,FOXA
197,FRT
198,FTI
199,FTV
200,GD
201,GE
202,GGP
203,GILD
204,GIS
205,GLW
206,GM
207,GOOG
208,GOOGL
209,GPC
210,GPN
211,GPS
212,GRMN
213,GS
214,GT
215,GWW
216,HAL
217,HAS
218,HBAN
219,HBI
220,HCA
221,HCP
222,HD
223,HES
224,HIG
225,HII
226,HLT
227,HOG
228,HOLX
229,HON
230,HP
231,HPE
232,HPQ
233,HRB
234,HRL
235,HRS
236,HSIC
237,HST
238,HSY
239,HUM
240,IBM
241,ICE
242,IDXX
243,IFF
244,ILMN
245,INCY
246,INFO
247,INTC
248,INTU
249,IP
250,IPG
251,IPGP
252,IQV
253,IR
254,IRM
255,ISRG
256,IT
257,ITW
258,IVZ
259,JBHT
260,JCI
261,JEC
262,JNJ
263,JNPR
264,JPM
265,JWN
266,K
267,KEY
268,KHC
269,KIM
270,KLAC
271,KMB
272,KMI
273,KMX
274,KO
275,KORS
276,KR
277,KSS
278,KSU
279,L
280,LB
281,LEG
282,LEN
283,LH
284,LKQ
285,LLL
286,LLY
287,LMT
288,LNC
289,LNT
290,LOW
291,LRCX
292,LUK
293,LUV
294,LYB
295,M
296,MA
297,MAA
298,MAC
299,MAR
300,MAS
301,MAT
302,MCD
303,MCHP
304,MCK
305,MCO
306,MDLZ
307,MDT
308,MET
309,MGM
310,MHK
311,MKC
312,MLM
313,MMC
314,MMM
315,MNST
316,MO
317,MON
318,MOS
319,MPC
320,MRK
321,MRO
322,MS
323,MSFT
324,MSI
325,MTB
326,MTD
327,MU
328,MYL
329,NAVI
331,NCLH
332,NDAQ
333,NEE
334,NEM
335,NFLX
336,NFX
337,NI
338,NKE
339,NLSN
340,NOC
341,NOV
342,NRG
343,NSC
344,NTAP
345,NTRS
346,NUE
347,NVDA
349,NWS
350,NWSA
351,O
352,OKE
353,OMC
354,ORCL
355,ORLY
356,OXY
357,PAYX
358,PBCT
359,PCAR
360,PCG
361,PDCO
362,PEG
363,PEP
364,PFE
365,PFG
366,PG
367,PGR
368,PH
369,PHM
370,PKG
371,PKI
372,PLD
373,PM
374,PNC
375,PNR
376,PNW
377,PPG
378,PPL
379,PRGO
380,PRU
381,PSA
382,PSX
383,PVH
384,PWR
385,PX
386,PXD
387,PYPL
388,QCOM
389,QRVO
390,RCL
391,RE
392,REG
393,REGN
394,RF
395,RHI
396,RHT
397,RJF
398,RL
399,RMD
400,ROK
401,ROP
402,ROST
403,RRC
404,RSG
405,RTN
406,SBAC
407,SBUX
408,SCG
409,SCHW
410,SEE
411,SHW
412,SIG
413,SJM
414,SLB
415,SLG
416,SNA
417,SNPS
418,SO
419,SPG
420,SPGI
421,SRCL
422,SRE
423,STI
424,STT
425,STX
426,STZ
427,SWK
428,SWKS
429,SYF
430,SYK
431,SYMC
432,SYY
433,T
434,TAP
435,TDG
436,TEL
437,TGT
438,TIF
439,TJX
440,TMK
441,TMO
442,TPR
443,TRIP
444,TROW
445,TRV
446,TSCO
447,TSN
448,TSS
449,TWX
450,TXN
451,TXT
452,UA
453,UAA
454,UAL
455,UDR
456,UHS
457,ULTA
458,UNH
459,UNM
460,UNP
461,UPS
462,URI
463,USB
464,UTX
465,V
466,VAR
467,VFC
468,VIAB
469,VLO
470,VMC
471,VNO
472,VRSK
473,VRSN
474,VRTX
475,VTR
476,VZ
477,WAT
478,WBA
479,WDC
480,WEC
482,WFC
483,WHR
485,WM
486,WMB
487,WMT
488,WRK
489,WU
490,WY
491,WYN
492,WYNN
493,XEC
494,XEL
495,XL
496,XLNX
497,XOM
498,XRAY
499,XRX
500,XYL
501,YUM
502,ZBH
503,ZION
504,ZTS
